"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2019,123842649,61,40,,137345591
2019,123838599,7,550,,137352613
2019,123838599,63,600,,137352615
2019,123842651,20,100,,137347598
2019,123842656,61,975,,137347607
2019,123842670,11,20,,137345618
2019,123842670,10,,,137345619
2019,123842674,8,1,,137347627
2019,123834299,10,,,137345627
2019,117376856,8,16,,128456048
2019,117386367,52,0,,128452110
2019,117376860,26,230,,128456061
2019,117386370,26,230,30-JUN-19,128456058
2019,117381290,3,50000,,128456065
2019,123842680,10,,,137347635
2019,123842684,10,,,137347641
2019,123838635,10,,,137345634
2019,117376867,24,1,,128452127
2019,117376867,16,40,,128452126
2019,117376867,13,300,,128452125
2019,117386384,47,0,,128456083
2019,117386384,63,1,,128456084
2019,117386384,25,65,,128456082
2019,117386384,9,0,,128456081
2019,117376871,7,350,,128452139
2019,117376871,17,1500,,128452140
2019,117376871,26,1400,,128452141
2019,117376871,61,1050,,128452142
2019,117386390,52,0,,128456091
2019,117386392,17,100,,128456092
2019,117386392,61,300,,128456094
2019,117386392,26,900,,128456093
2019,123838639,3,29000,,137352669
2019,117376884,6,3500,,128452161
2019,123838638,3,29000,31-AUG-19,137352668
2019,117386402,38,300,,128456112
2019,117376901,3,62000,,128452178
2019,117376901,63,500,,128452179
2019,117376904,43,175,,128452185
2019,117376904,39,500,,128452183
2019,117376903,39,500,29-JUN-19,128452181
2019,117381321,36,650,,128458204
2019,117381321,63,25,,128458206
2019,117381321,44,300,,128458205
2019,123842693,63,200,,137347651
2019,117376913,10,,,128452198
2019,117376920,10,,,128452207
2019,117381332,26,1150,,128458215
2019,117381332,20,370,,128452210
2019,117381332,13,900,,128452208
2019,117381332,17,6800,,128452209
2019,123842693,9,0,,137352676
2019,123842693,20,20,,137352677
2019,117386417,51,,,128456138
2019,117381338,3,24650,28-MAR-19,128452222
2019,117386417,3,24650,,128456137
2019,123842693,51,0,,137352679
2019,123834321,63,1000,,137345652
2019,117381341,3,7500,30-JUN-19,128458226
2019,117381342,3,7500,,128458227
2019,117386433,52,0,,128456159
2019,123838659,20,600,,137352694
2019,117386438,60,233,,128452240
2019,123842720,3,8000,,137347681
2019,117376940,9,,,128452244
2019,117376944,20,15000,,128452248
2019,123838675,3,5000,,137352712
2019,123838675,7,1200,,137352713
2019,117376947,20,56000,,128452252
2019,117376961,3,7000,,128452272
2019,123838675,25,100,,137352715
2019,123834340,3,5000,24-AUG-19,137345678
2019,123838677,3,20000,,137347690
2019,123838676,3,20000,08-DEC-19,137352717
2019,117386462,52,0,,128452281
2019,123842730,32,1,,137347693
2019,123838681,10,,,137347697
2019,123842738,3,1,,137345691
2019,123842738,38,600,,137345692
2019,117376990,25,3000,,128452312
2019,117376990,17,500,,128452314
2019,117376990,63,200,,128456214
2019,117376990,7,300,,128452311
2019,117376990,20,200,,128452315
2019,117376990,26,200,,128456215
2019,117376990,6,1000,,128452313
2019,117386478,25,1,,128452317
2019,117386478,23,1,,128456220
2019,117381379,63,500,,128458273
2019,117381379,25,120,,128458275
2019,117381379,61,300,,128458274
2019,117376998,20,1200,,128458291
2019,117386489,10,,,128456237
2019,123834383,3,1,,137345738
2019,117377007,13,430,,128452336
2019,123834388,61,600,,137352791
2019,123842787,38,10,20-AUG-19,137347770
2019,117377024,38,40,,128462372
2019,117377024,6,340,,128462371
2019,123838744,38,10,,137352795
2019,123842789,10,,,137347773
2019,123834410,3,1,,137345767
2019,123838754,6,120,,137352810
2019,123838754,13,2500,,137345768
2019,117386511,42,200,,128458319
2019,117377037,38,160,,128458334
2019,117377037,9,0,,128462397
2019,117377037,67,1,,128458335
2019,117377037,25,300,,128462398
2019,117377037,3,20000,,128462396
2019,123842821,51,0,,137347813
2019,123838775,9,0,,137345803
2019,123838775,20,50,,137345804
2019,123838775,25,50,,137352847
2019,117377051,3,100000,,128462420
2019,117377062,30,1,,128462432
2019,123838775,51,0,,137345805
2019,117377066,3,21000,06-MAR-19,128462437
2019,117377065,3,21000,,128462436
2019,123842833,52,0,,137345819
2019,117381431,63,1,,128458356
2019,117381431,9,0,,128462444
2019,117381431,25,10,,128458354
2019,117381431,20,80,,128462445
2019,117377074,64,1,18-AUG-19,128462448
2019,117377073,3,1,,128462446
2019,117377073,64,1,,128462447
2019,123834464,19,125,10-DEC-19,137345846
2019,123834465,19,125,,137345847
2019,123838805,52,0,,137345851
2019,117377081,51,,,128462466
2019,117377087,54,1,,128458378
2019,117386557,29,300,,128456335
2019,123838844,10,,,137352968
2019,117377115,20,3000,,128462503
2019,117381450,9,0,,128458386
2019,117377117,20,600,,128462511
2019,117377117,17,2800,,128462510
2019,117377117,63,680,,128462512
2019,117377117,6,2400,,128462509
2019,117377122,25,50,,128462518
