"DATA_YEAR","VICTIM_ID","INJURY_ID"
2019,129132111,5
2019,129140139,4
2019,129140206,5
2019,129142972,5
2019,129140207,5
2019,129140205,5
2019,129142987,4
2019,129140425,5
2019,129140467,4
2019,129140481,4
2019,129140526,5
2019,129140538,5
2019,129143099,5
2019,129140643,5
2019,129140748,5
2019,129143135,5
2019,129140811,4
2019,129143159,4
2019,129140851,4
2019,129140882,5
2019,129140974,5
2019,129141011,5
2019,129141019,4
2019,129143205,4
2019,129141023,4
2019,129132203,3
2019,129141104,4
2019,129132218,5
2019,129141394,5
2019,129143306,5
2019,129141463,4
2019,129141491,5
2019,129141490,5
2019,129141489,5
2019,129143375,5
2019,129143430,5
2019,129141686,5
2019,129141810,5
2019,129141809,4
2019,129143535,4
2019,129143539,4
2019,129143587,5
2019,129143618,5
2019,129143627,5
2019,129143658,5
2019,129142179,5
2019,129142187,5
2019,129143667,5
2019,129142186,5
2019,129143671,4
2019,129142233,5
2019,129143785,5
2019,129142385,4
2019,129143901,5
2019,129143900,4
2019,129143931,5
2019,129143959,5
2019,129143990,5
2019,129142799,4
2019,129142800,4
2019,129142873,5
2019,129147924,5
2019,129144098,4
2019,129144518,4
2019,129149177,4
2019,129149268,5
2019,129149392,5
2019,129149399,5
2019,129149454,5
2019,129149459,4
2019,129149458,4
2019,129149488,4
2019,129149527,4
2019,129149530,6
2019,129144737,4
2019,129149564,5
2019,129144768,4
2019,129144869,2
2019,129144873,4
2019,129144877,5
2019,129149837,4
2019,129149894,4
2019,129144919,4
2019,129144919,1
2019,129150030,5
2019,129152982,5
2019,129150061,5
2019,129150067,5
2019,129150098,4
2019,129144953,5
2019,129150133,5
2019,129150161,5
2019,129150159,5
2019,129144968,4
2019,129144983,5
2019,129145015,5
2019,129145023,5
2019,129150348,5
2019,129145030,5
2019,129150352,3
2019,129145035,5
2019,129150366,4
2019,129145047,4
2019,129150389,5
2019,129150390,5
2019,129145068,5
2019,129145076,4
2019,129145075,4
2019,129150451,5
2019,129150450,5
2019,129150449,5
2019,129145088,5
2019,129145091,5
2019,129145090,4
2019,129150507,5
2019,129150532,5
2019,129150533,5
2019,129145128,4
2019,129150563,5
2019,129153059,5
2019,129145144,4
2019,129153063,5
2019,129153082,4
2019,129145205,4
2019,129145237,5
2019,129145251,5
2019,129150746,5
2019,129145348,5
2019,130302675,4
2019,130333043,5
2019,130333042,5
2019,130333078,5
2019,130302658,5
2019,130333143,4
2019,130333220,5
2019,130302864,5
2019,130302887,4
2019,130337939,5
2019,130337988,4
2019,130338044,5
2019,130338071,5
2019,130338107,4
2019,130338126,4
2019,130338125,4
2019,130338127,5
2019,130338157,4
2019,130338188,5
2019,130328794,5
2019,130333527,5
2019,130338238,5
2019,130333528,5
2019,130338253,5
2019,130333646,5
2019,130338434,5
2019,130338429,5
2019,130333665,5
2019,130333664,5
2019,130338465,5
2019,130333666,5
2019,130333663,5
2019,130338473,5
2019,130333672,5
2019,130338476,5
2019,130338478,5
2019,130333675,5
2019,130333674,5
2019,130338477,5
2019,130338483,5
2019,130338499,5
2019,130338595,4
2019,130338605,5
2019,130338604,5
2019,130338766,4
2019,130338904,4
2019,130338928,5
2019,130338998,5
2019,130339014,5
2019,130339015,5
2019,130339033,5
2019,130339042,1
2019,130339085,3
2019,130334182,5
2019,130339114,5
2019,130339144,3
2019,130339205,5
2019,130334442,5
2019,130339329,5
2019,130339384,4
2019,130339405,5
2019,130339496,5
2019,130339570,5
2019,130339688,5
2019,130339691,4
2019,130334809,5
2019,130339773,4
2019,130339790,5
2019,130339789,5
2019,130339800,5
2019,130339832,5
2019,130339850,5
2019,130334872,4
2019,130334937,5
2019,130340051,4
2019,130329019,5
2019,130334990,3
2019,130340109,5
2019,130340149,5
2019,130335880,4
2019,130341144,6
2019,130341144,2
2019,130341241,4
2019,130336047,5
2019,130341248,4
2019,130336207,5
2019,130341394,4
2019,130336357,5
2019,130336356,5
2019,130341620,4
2019,130341659,5
2019,130336484,4
2019,130342051,5
2019,130336945,8
2019,130336945,4
2019,130342414,5
2019,130342521,8
2019,130342556,4
2019,130342607,5
2019,130337185,5
2019,130342720,4
2019,130342769,2
2019,130342814,5
2019,130342829,5
2019,130342830,5
2019,130337271,5
2019,130337274,4
2019,130342871,5
2019,130342883,4
2019,130337293,4
2019,130343134,5
2019,130343151,5
2019,130337383,4
2019,130337391,5
2019,130337424,4
2019,130343308,4
2019,130343307,4
2019,130343428,5
2019,130343449,4
2019,130343450,4
2019,130337472,5
2019,130337471,5
2019,130343568,5
2019,130337497,5
2019,130343578,5
2019,130343701,4
2019,130343725,4
2019,130343797,4
2019,130343831,4
2019,130337684,5
2019,130343843,5
2019,130343867,5
2019,130343876,5
2019,130329447,5
2019,130344020,4
2019,130344021,5
2019,130344022,5
2019,130337800,5
2019,130337799,5
2019,130337848,5
2019,130337854,5
2019,130344095,4
2019,130344106,5
2019,130347963,5
2019,130344115,5
2019,130344114,5
2019,130347965,5
2019,130333009,4
2019,130302564,4
2019,130328934,5
2019,130334687,5
2019,130339619,4
2019,130339710,4
2019,130339719,4
2019,130334820,4
2019,130334818,4
2019,130339808,4
2019,130334831,5
2019,130339864,5
2019,130339917,4
2019,130339963,5
2019,130339968,5
2019,130340094,4
2019,130340326,6
2019,130340330,5
2019,130340328,5
2019,130340327,5
2019,130335153,4
2019,130335155,5
2019,130340423,5
2019,130335227,4
2019,130340436,2
2019,130340458,5
2019,130340552,5
2019,130340551,5
2019,130335313,5
2019,130340623,1
2019,130335404,4
2019,130335405,5
2019,130335406,5
2019,130340702,5
2019,130340710,5
2019,130340774,5
2019,130340798,4
2019,130340808,4
2019,130335579,4
2019,130335698,4
2019,130335868,4
2019,130341099,4
2019,130341101,5
2019,130341128,4
2019,130341141,5
2019,130335942,5
2019,130341157,4
2019,130336019,4
2019,130341374,5
2019,130341406,4
2019,130341475,4
2019,130336321,5
2019,130341541,4
2019,130341542,4
2019,130336376,5
2019,130341578,5
2019,130341629,4
2019,130341630,5
2019,130341624,4
2019,130341627,5
2019,130341626,5
2019,130336417,4
2019,130341704,5
2019,130341718,4
2019,130341733,4
2019,130336847,5
2019,130336855,4
2019,130342031,4
2019,130342143,5
2019,130342175,5
2019,130337006,4
2019,130337022,5
2019,130342304,4
2019,130337080,5
2019,130342442,4
2019,130342462,5
2019,130342535,4
2019,130342538,5
2019,130342534,4
2019,130342559,5
2019,130337153,4
2019,130342613,4
2019,130337171,5
2019,130329122,4
2019,130343236,4
2019,130343282,5
2019,130337413,4
2019,130343380,5
2019,130343411,5
2019,130337456,5
2019,130337457,5
2019,130343489,5
2019,130329266,5
2019,130343501,6
2019,130343554,5
2019,130337495,5
2019,130337520,4
2019,130343622,5
2019,130343633,5
2019,130343632,5
2019,130343715,5
2019,130343815,5
2019,130329392,5
2019,130343871,5
2019,130329407,5
2019,130343899,5
2019,130343911,4
2019,130343926,5
2019,130337716,4
2019,130329427,5
2019,130343936,4
2019,130343947,4
2019,130343946,4
2019,130343949,5
2019,130343959,4
2019,130337731,5
2019,130302527,5
2019,130302572,5
2019,130302493,4
2019,130302581,5
2019,130302595,4
2019,130302598,5
2019,130302604,4
2019,130302666,4
2019,130302667,4
2019,130302668,5
2019,130302669,5
2019,130333120,4
2019,130328773,4
2019,130302723,4
2019,130302722,4
2019,130302728,5
2019,130302749,4
2019,130302748,4
2019,130302760,5
2019,130302792,5
2019,130302796,4
2019,130333217,5
2019,130337938,5
2019,130333288,5
2019,130333287,5
2019,130337955,5
2019,130337967,5
2019,130337989,4
2019,130338047,5
2019,130338049,4
2019,130338085,6
2019,130338103,5
2019,130338120,5
2019,130338117,6
2019,130338118,5
2019,130338119,5
2019,130338135,5
2019,130338162,4
2019,130338192,5
2019,130338197,5
2019,130338237,5
2019,130338252,5
2019,130338299,5
2019,130338298,5
2019,130333585,5
2019,130333590,5
2019,130328802,5
2019,130338336,5
2019,130338443,5
2019,130338508,5
2019,130338507,5
2019,130333685,5
2019,130338517,5
2019,130338781,5
2019,130338807,4
2019,130339006,5
2019,130339019,5
2019,130339077,5
2019,130339078,5
2019,130339094,3
2019,130339100,5
2019,130339107,5
2019,130339110,8
2019,130339112,3
2019,130339138,5
2019,130339264,5
2019,130334376,4
2019,130339289,5
2019,130339412,5
2019,130339413,5
2019,130334533,4
2019,130339424,4
2019,130339439,5
2019,130339458,4
2019,130339501,5
2019,130339514,5
2019,130328931,5
2019,130335087,5
2019,130335111,4
2019,130340300,5
2019,130340329,8
2019,130340489,5
2019,130340520,5
2019,130335299,4
2019,130340575,5
2019,130340681,4
2019,130340691,5
2019,130341270,4
2019,130341279,5
2019,130341285,5
2019,130341291,5
2019,130336165,5
2019,130336175,5
2019,130336179,4
2019,130341350,4
2019,130341408,5
2019,130336310,4
2019,130336610,4
2019,130341841,4
2019,130341840,4
2019,130341857,4
2019,130336692,4
2019,130341892,4
2019,130336841,4
2019,130336844,4
2019,130342164,5
2019,130336985,5
2019,130342204,5
2019,130342280,5
2019,130342425,4
2019,130342436,5
2019,130342615,5
2019,130337175,5
2019,130342718,5
2019,130342747,5
2019,130342813,4
2019,130337262,4
2019,130342831,5
2019,130342868,5
2019,130342867,5
2019,130342884,5
2019,130342908,5
2019,130342950,5
2019,130342951,5
2019,130342948,5
2019,130342952,5
2019,130342967,4
2019,130343071,4
2019,130343128,5
2019,130343130,5
2019,130343150,4
2019,130343154,4
2019,130337382,4
2019,130337385,4
2019,130337398,4
2019,130343259,5
2019,130302660,5
2019,130302681,2
2019,130302695,4
2019,130302701,4
2019,130302726,5
2019,130302733,5
2019,130302752,4
2019,130302769,5
2019,130302811,5
2019,130302837,5
2019,130302890,5
2019,130337971,5
2019,130337972,5
2019,130338015,5
2019,130338027,5
2019,130338025,5
2019,130338026,5
2019,130338070,4
2019,130338081,5
2019,130338082,5
2019,130338092,4
2019,130338100,3
2019,130338108,5
2019,130338151,4
2019,130338176,5
2019,130338243,5
2019,130333538,5
2019,130338262,5
2019,130338277,5
2019,130333559,5
2019,130333560,5
2019,130338376,5
2019,130338383,5
2019,130338407,5
2019,130338426,5
2019,130338484,4
2019,130338486,5
2019,130338500,4
2019,130338519,5
2019,130338589,4
2019,130338633,5
2019,130338637,5
2019,130338755,5
2019,130339572,5
2019,130339636,4
2019,130339643,4
2019,130339757,5
2019,130339866,5
2019,130339888,5
2019,130334919,5
2019,130339984,5
2019,130339992,4
2019,130334949,5
2019,130340010,5
2019,130340075,5
2019,130340085,4
2019,130340187,4
2019,130335054,5
2019,130335057,5
2019,130340236,5
2019,130340288,4
2019,130340360,4
2019,130335189,4
2019,130340392,5
2019,130340438,5
2019,130335259,4
2019,130340484,5
2019,130340519,4
2019,130340536,4
2019,130340541,5
2019,130340811,4
2019,130340812,5
2019,130335598,4
2019,130340889,5
2019,130340949,5
2019,130335814,5
2019,130335831,4
2019,130341051,4
2019,130341073,4
2019,130341273,5
2019,130341290,5
2019,130341331,5
2019,130341349,5
2019,130341357,4
2019,130341471,6
2019,130341523,4
2019,130341570,5
2019,130341575,4
2019,130341576,4
2019,130336396,5
2019,130341953,4
2019,130341957,4
2019,130336885,5
2019,130336907,5
2019,130342050,4
2019,130342106,3
2019,130342106,8
2019,130342109,5
2019,130342190,5
2019,130342424,5
2019,130337118,5
2019,130342426,5
2019,130329098,4
2019,130342653,5
2019,130342725,4
2019,130342755,5
2019,130337226,4
2019,130329138,4
2019,130342812,5
2019,130342845,5
2019,130342882,5
2019,130342885,5
2019,130337308,5
2019,130337346,5
2019,130329180,5
2019,130302588,5
2019,130302671,4
2019,130333089,4
2019,130302706,4
2019,130302716,4
2019,130302745,5
2019,130302839,4
2019,130302862,5
2019,130302868,5
2019,130337943,5
2019,130337956,5
2019,130338063,4
2019,130338137,4
2019,130333452,6
2019,130333525,5
2019,130338234,4
2019,130338245,5
2019,130338254,5
2019,130328799,5
2019,130333578,5
2019,130338314,4
2019,130338408,4
2019,130333650,4
2019,130338574,4
2019,130338628,5
2019,130338815,4
2019,130333860,4
2019,130333873,4
2019,130333886,4
2019,130338908,5
2019,130338935,5
2019,130338938,4
2019,130338961,4
2019,130334138,5
2019,130339026,5
2019,130334137,5
2019,130328868,5
2019,130339080,4
2019,130328874,5
2019,130339096,5
2019,130339098,5
2019,130334257,5
2019,130339265,5
2019,130334372,3
2019,130339753,5
2019,130339793,5
2019,130340067,4
2019,130340097,5
2019,130335009,5
2019,130335159,4
2019,130340441,5
2019,130340467,5
2019,130340525,5
2019,130340534,5
2019,130335308,4
2019,130335363,4
2019,130340642,5
2019,130340891,5
2019,130335679,5
2019,130340977,5
2019,130340989,3
2019,130341028,4
2019,130341032,4
2019,130341043,4
2019,130342047,3
2019,130336918,5
2019,130342081,5
2019,130342130,3
2019,130342130,4
2019,130342150,5
2019,130329074,3
2019,130342427,4
2019,130337135,5
2019,130342514,5
2019,130329106,4
2019,130342540,4
2019,130342627,5
2019,130329127,5
2019,130342790,4
2019,130337258,4
2019,130342888,4
2019,130342915,5
2019,130342933,5
2019,130343007,5
2019,130302501,5
2019,130302529,5
2019,130302547,4
2019,130302568,4
2019,130302589,4
2019,130333792,3
2019,130338860,5
2019,130338969,5
2019,130339113,4
2019,130339276,4
2019,130339310,3
2019,130339349,5
2019,130334518,5
2019,130339399,5
2019,130339430,3
2019,130334557,4
2019,130339436,5
2019,130334586,5
2019,130339492,5
2019,130339727,5
2019,130339830,5
2019,130340303,5
2019,130335136,4
2019,130335145,5
2019,130335146,5
2019,130340364,4
2019,130335219,5
2019,130335400,5
2019,130340676,4
2019,130335425,4
2019,130340695,5
2019,130340741,4
2019,130340784,5
2019,130335576,5
2019,130340817,2
2019,130340853,4
2019,130335664,5
2019,130335688,5
2019,130340990,5
2019,130341031,5
2019,130341140,5
2019,130341146,5
2019,130341194,5
2019,130341216,4
2019,130341258,5
2019,130341277,5
2019,130341297,5
2019,130341302,4
2019,130336228,4
2019,130341472,5
2019,130341485,4
2019,130341550,5
2019,130336377,5
2019,130341623,4
2019,130341637,4
2019,130336428,5
2019,130341725,4
2019,130336528,4
2019,130336533,4
2019,130342030,4
2019,130342182,5
2019,130342197,4
2019,130342215,4
2019,130337011,5
2019,130342244,4
2019,130337014,4
2019,130342268,5
2019,130342336,5
2019,130342383,5
2019,130337139,5
2019,130342567,5
2019,130342565,5
2019,130342598,4
2019,130337181,4
2019,130342689,5
2019,130342694,5
2019,130329136,5
2019,130329137,4
2019,130337238,4
2019,130342820,4
2019,130342869,5
2019,130342877,5
2019,130342886,4
2019,130342893,5
2019,130329166,4
2019,130342932,5
2019,130342980,5
2019,130343016,5
2019,130302520,5
2019,130302523,5
2019,130302617,2
2019,130302646,4
2019,130302649,5
2019,130302714,6
2019,130302772,4
2019,130302866,5
2019,130337961,5
2019,130337969,4
2019,130337997,4
2019,130338000,5
2019,130338030,5
2019,130338059,5
2019,130338111,4
2019,130338112,4
2019,130338113,4
2019,130338143,4
2019,130338158,5
2019,130338181,4
2019,130333488,4
2019,130333487,5
2019,130338183,3
2019,130338199,4
2019,130333524,5
2019,130338239,5
2019,130338244,5
2019,130338269,5
2019,130338307,5
2019,130338306,5
2019,130338430,5
2019,130333645,5
2019,130338475,4
2019,130338527,5
2019,130333705,4
2019,130338572,5
2019,130338626,5
2019,130338643,4
2019,130333757,5
2019,130333759,5
2019,130338688,5
2019,130338708,6
2019,130338843,4
2019,130339314,5
2019,130339315,4
2019,130334429,5
2019,130334428,5
2019,130334430,5
2019,130334435,4
2019,130339348,5
2019,130339415,5
2019,130339426,5
2019,130339451,5
2019,130339452,5
2019,130339706,4
2019,130334797,5
2019,130339804,4
2019,130339803,5
2019,130339805,5
2019,130339890,5
2019,130339892,4
2019,130339913,4
2019,130328980,4
2019,130328997,5
2019,130334960,5
2019,130340042,4
2019,130340039,5
2019,130340207,4
2019,130341775,4
2019,130336680,4
2019,130341863,5
2019,130336708,4
2019,130336758,5
2019,130336765,4
2019,130336823,4
2019,130336976,5
2019,130336983,5
2019,130342278,5
2019,130337036,5
2019,130329089,4
2019,130329104,4
2019,130342531,6
2019,130342570,4
