"DATA_YEAR","VICTIM_ID","OFFENSE_ID"
2019,130332970,144203478
2019,130332980,144203487
2019,130332989,144203497
2019,130339675,144212562
2019,130339663,144205189
2019,130339667,144212553
2019,130339667,144212554
2019,130334781,144212568
2019,130339732,144205218
2019,130334802,144205219
2019,130339740,144212624
2019,130334805,144205223
2019,130339775,144205239
2019,130334826,144212681
2019,130339814,144205260
2019,130334852,144205282
2019,130339870,144205290
2019,130339874,144212754
2019,130334870,144205295
2019,130339882,144212761
2019,130339887,144212767
2019,130334882,144205307
2019,130334897,144212792
2019,130334898,144207165
2019,130334901,144212805
2019,130334916,144207169
2019,130339949,144212835
2019,130339961,144212851
2019,130334936,144207172
2019,130339971,144205353
2019,130339977,144212864
2019,130339986,144205358
2019,130334942,144212872
2019,130339988,144212872
2019,130334945,144212876
2019,130328995,144212877
2019,130328996,144212877
2019,130339996,144212877
2019,130339994,144212877
2019,130339995,144212877
2019,130339993,144212877
2019,130339997,144212877
2019,130339999,144212882
2019,130334948,144205367
2019,130329001,144212892
2019,130329002,144212894
2019,130334959,144212902
2019,130340033,144212911
2019,130340038,144212917
2019,130334963,144212927
2019,130340054,144212930
2019,130334966,144205395
2019,130340058,144207182
2019,130334969,144205398
2019,130340064,144212939
2019,130334972,144205405
2019,130334979,144205413
2019,130334983,144205417
2019,130334984,144205417
2019,130334986,144205420
2019,130340093,144212961
2019,130334995,144205426
2019,130334996,144212976
2019,130334998,144207187
2019,130335000,144212988
2019,130335004,144212998
2019,130335006,144205435
2019,130335021,144207193
2019,130340171,144205450
2019,130340172,144205450
2019,130340170,144205450
2019,130335026,144205454
2019,130340176,144213040
2019,130340180,144213048
2019,130335036,144213060
2019,130335045,144205476
2019,130335058,144213085
2019,130340231,144213096
2019,130340242,144213110
2019,130335095,144205523
2019,130335099,144213140
2019,130335103,144213140
2019,130340273,144213140
2019,130340272,144213140
2019,130335101,144213140
2019,130340276,144213140
2019,130340274,144213140
2019,130335100,144213140
2019,130335115,144213154
2019,130340295,144205548
2019,130340295,144205549
2019,130340298,144213155
2019,130335129,144213164
2019,130335141,144205580
2019,130335149,144205586
2019,130335154,144213183
2019,130335161,144205596
2019,130340348,144205608
2019,130340353,144213198
2019,130335178,144205619
2019,130335188,144213212
2019,130340371,144205632
2019,130335197,144205639
2019,130335200,144205641
2019,130335206,144205649
2019,130340403,144205654
2019,130335213,144213253
2019,130340410,144213253
2019,130335220,144205668
2019,130340435,144213276
2019,130340433,144213276
2019,130340444,144213281
2019,130340453,144213287
2019,130340462,144213293
2019,130340468,144205717
2019,130335262,144205721
2019,130335275,144213308
2019,130335274,144213308
2019,130335273,144213308
2019,130340496,144213321
