"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2019,35008520,1,35368977
2019,35017998,1,35378369
2019,35017997,1,35374097
2019,35008524,1,35374096
2019,35008564,1,35369020
2019,35018042,1,35378410
2019,35008567,1,35369022
2019,35018060,1,35374135
2019,35008590,1,35369044
2019,35013660,1,35374150
2019,35008608,1,35369060
2019,35008645,1,35369091
2019,35008667,1,35369111
2019,35018202,1,35378577
2019,35018203,1,35378578
2019,35013712,1,35374193
2019,35018219,1,35378599
2019,35008724,1,35374194
2019,35018222,1,35378604
2019,35013716,1,35374197
2019,35008730,1,35369175
2019,35018246,1,35374220
2019,35013775,1,35374248
2019,35013791,1,35369228
2019,35008780,1,35374262
2019,35008785,1,35369233
2019,35013799,1,35374272
2019,35013802,1,35374275
2019,35008790,1,35369238
2019,35008801,1,35369249
2019,35013810,1,35369251
2019,35008808,1,35369258
2019,35013816,1,35374286
2019,35008810,1,35369260
2019,35013825,1,35374293
2019,35013834,1,35374302
2019,35013835,1,35374303
2019,35013838,1,35374306
2019,35013845,1,35374313
2019,35013848,1,35374316
2019,35013851,1,35374319
2019,35013854,1,35374322
2019,35013857,1,35374325
2019,35013864,1,35369275
2019,35013870,1,35374336
2019,35013873,1,35374339
2019,35013877,1,35374343
2019,35013878,1,35374344
2019,35013882,1,35374348
2019,35013883,1,35374349
2019,35018262,1,35374234
2019,35013757,1,35378646
2019,35013765,1,35369206
2019,35018276,1,35378662
2019,34218060,1,34193409
2019,34218112,1,34200203
2019,34224748,1,34193462
2019,34224764,1,34198694
2019,34218150,1,34193497
2019,34224772,1,34200224
2019,34218178,1,34193522
2019,34229593,1,34200255
2019,34224835,1,34193559
2019,34229655,1,34198774
2019,34218249,1,34193593
2019,34218259,1,34193601
2019,34229692,1,34200351
2019,34229694,1,34200355
2019,34229701,1,34193613
2019,34229704,1,34200366
2019,34218305,1,34193637
2019,34224882,1,34193636
2019,34224888,1,34198827
2019,34224889,1,34198828
2019,34218346,1,34193691
2019,34224937,1,34198864
2019,34218069,1,34193414
2019,34218130,1,34200213
2019,34229550,1,34193480
2019,34229555,1,34200217
2019,34229561,1,34193496
2019,34218163,1,34198713
2019,34224783,1,34198715
2019,34218101,1,34193442
2019,34218099,1,34193440
2019,34218100,1,34193441
2019,34224751,1,34193467
2019,34224680,1,34200179
2019,34224682,1,34193413
2019,34218094,1,34198642
2019,34218103,1,34193445
2019,34224731,1,34198657
2019,34229594,1,34193525
2019,34218205,1,34193552
2019,34218211,1,34198771
2019,34218213,1,34193564
2019,34229661,1,34200316
2019,34218230,1,34193581
2019,34218233,1,34200330
2019,34224857,1,34198793
2019,34229681,1,34193590
2019,34229682,1,34200341
2019,34218272,1,34200361
2019,34229699,1,34198806
2019,34224870,1,34198809
2019,34218276,1,34198810
2019,34224871,1,34193615
2019,34224873,1,34198812
2019,34229708,1,34200369
2019,34218288,1,34193626
2019,34224881,1,34198823
2019,34229724,1,34193635
2019,34224884,1,34193644
2019,34218319,1,34193660
2019,34218326,1,34200402
2019,34218339,1,34193683
2019,34224904,1,34198838
2019,34229744,1,34193699
2019,34218355,1,34198846
2019,34224917,1,34198848
2019,34224920,1,34200408
2019,34229755,1,34193725
2019,34218377,2,34193731
2019,34229765,1,34193735
2019,34218383,1,34200434
2019,34229771,1,34200433
2019,33630244,1,33641913
2019,33630254,1,33641921
2019,33639592,1,33641934
2019,33639593,1,33641936
2019,33630295,1,33641969
2019,33635423,1,33647863
2019,33635441,1,33647885
2019,33630340,1,33642006
2019,33630345,7,33642012
2019,34224845,1,34198778
2019,34218221,1,34193573
2019,34229683,1,34198797
2019,34218250,1,34193594
2019,34229684,1,34200344
2019,34218258,1,34198800
2019,34218260,1,34198801
2019,34218261,1,34193602
2019,34218273,1,34193610
2019,34218275,1,34200362
2019,34229706,1,34193620
2019,34229741,1,34200400
2019,34229740,1,34200399
2019,34218328,1,34193669
2019,34218331,1,34193672
2019,34224900,1,34193679
2019,34218345,1,34193690
2019,34218352,1,34193700
2019,34218356,1,34198847
2019,34224932,1,34198859
2019,34224931,1,34198858
2019,34218372,1,34193718
2019,33639558,1,33641897
2019,33639596,1,33641938
2019,33635410,1,33647850
2019,33639610,1,33650957
2019,33630281,3,33647853
2019,33630297,1,33647862
2019,33635419,1,33650978
2019,33639550,1,33650900
2019,33639587,1,33647835
2019,33639619,1,33641960
2019,33635439,1,33647883
2019,33630333,1,33642001
2019,34224673,1,34193408
2019,34218065,1,34200180
2019,34224689,1,34198605
2019,34224726,1,34198652
2019,34218106,1,34193449
2019,34224745,1,34198670
2019,34224744,1,34198669
2019,34229537,1,34198674
2019,34218116,1,34193460
2019,34224757,1,34198685
2019,34224763,1,34198693
2019,34229559,1,34198699
2019,34224797,1,34200245
2019,34229608,1,34200268
2019,34218191,1,34193535
2019,34229646,1,34200301
2019,34229666,1,34200320
2019,34218232,1,34200329
2019,34224856,1,34198792
2019,34224855,1,34198791
2019,34218247,1,34200343
2019,34218254,1,34198799
2019,34224865,1,34193606
2019,34218286,3,34200372
2019,34218287,1,34193625
2019,34218322,1,34193662
2019,34224890,1,34198829
2019,34218333,1,34193674
2019,34218364,1,34200413
2019,34224947,1,34200421
2019,34218399,1,34198895
2019,34229787,1,34193758
2019,34218401,1,34193759
2019,34218403,1,34193763
2019,34224983,1,34193769
2019,34214489,1,34198584
2019,34224692,1,34198607
2019,34218077,1,34198615
2019,34218087,1,34200189
2019,34224716,1,34198640
2019,34224720,1,34198644
