"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2019,6,146826355
2019,3,146826354
2019,8,146826890
2019,6,146814659
2019,6,146814824
2019,2,146822107
2019,6,146815059
2019,6,146822244
2019,6,146815174
2019,9,146827385
2019,8,146815357
2019,8,146827682
2019,9,146828647
2019,1,146828655
2019,6,146828753
2019,6,146828754
2019,6,146831578
2019,9,146822842
2019,9,146829142
2019,9,146822857
2019,6,146831669
2019,9,146829157
2019,9,146831761
2019,9,146831787
2019,9,146822962
2019,9,146822976
2019,9,146829467
2019,9,146829602
2019,9,146829766
2019,6,146829849
2019,6,146829857
2019,6,146823230
2019,9,146823238
2019,9,146832141
2019,6,146823303
2019,9,146832193
2019,9,146832222
2019,9,146823356
2019,6,146830185
2019,6,146830212
2019,9,146823397
2019,1,146830246
2019,9,146830352
2019,1,146830398
2019,1,146830397
2019,6,146832515
2019,6,146830601
2019,1,146823727
2019,6,146823868
2019,9,146832616
2019,6,146830832
2019,9,146830912
2019,6,146830917
2019,4,146830963
2019,6,146823962
2019,9,146832674
2019,9,146823984
2019,1,146832683
2019,6,146823995
2019,6,146824020
2019,8,146831030
2019,9,146831078
2019,6,146831135
2019,9,146831138
2019,9,146831159
2019,9,146824098
2019,9,146836209
2019,9,146836291
2019,7,146824207
2019,6,146824208
2019,9,146824215
2019,9,146824237
2019,9,146832875
2019,9,146824245
2019,1,146836392
2019,6,146836454
2019,6,146836455
2019,9,146832907
2019,9,146836503
2019,9,146836590
2019,9,146824495
2019,9,146824508
2019,9,146836761
2019,9,146833081
2019,9,146833104
2019,9,146824615
2019,9,146824647
2019,6,146824668
2019,6,146837004
2019,9,146833274
2019,6,146833329
2019,9,146837136
2019,9,146833335
2019,9,146837206
2019,9,146837219
2019,9,146837233
2019,9,146837250
2019,9,146837258
2019,9,146833398
2019,9,146824889
2019,6,146837297
2019,6,146824899
2019,8,146824908
2019,9,146833429
2019,9,146833482
2019,9,146837461
2019,3,146837475
2019,9,146837483
2019,9,146824977
2019,6,146833503
2019,9,146824992
2019,9,146825002
2019,1,146833556
2019,9,146837847
2019,6,146833676
2019,9,146837870
2019,9,146833703
2019,9,146833711
2019,9,146825169
2019,9,146833722
2019,6,146838036
2019,9,146838112
2019,9,146825234
2019,9,146838130
2019,9,146838132
2019,9,146825251
2019,9,146838256
2019,6,146825408
2019,8,146825408
2019,8,146833964
2019,9,146825497
2019,9,146825528
2019,9,146838870
2019,9,146838871
2019,9,146834601
2019,6,146834694
2019,6,146841386
2019,9,146841769
2019,6,146841785
2019,9,146835192
2019,9,146841905
2019,6,146841921
2019,8,146841921
2019,9,146839489
2019,9,146835390
2019,9,146842158
2019,9,146842392
2019,9,146835735
2019,6,146839776
2019,6,146842500
2019,6,146839807
2019,9,146839812
2019,6,146842512
2019,1,147578030
2019,6,147578034
2019,6,147574892
2019,6,147578047
2019,6,147578056
2019,6,147574916
2019,1,147574958
2019,9,147574961
2019,6,147574968
2019,9,147574994
2019,6,147582929
2019,9,147583002
2019,6,147578222
2019,6,147570872
2019,6,147577229
2019,6,147571139
2019,6,147577230
2019,6,147573227
2019,6,147573246
2019,6,147573267
2019,6,147581233
2019,9,147581463
2019,8,147573710
2019,1,147581572
2019,8,147574030
2019,9,147574228
2019,3,147582243
2019,6,147577688
2019,6,147574533
2019,6,147574540
2019,9,147582475
2019,3,147574777
2019,1,147582702
2019,9,147582802
2019,1,147582828
2019,6,147582829
2019,6,147574949
2019,2,147583004
2019,6,147578591
2019,6,147578624
2019,6,147578625
2019,6,147578623
2019,6,147575480
2019,6,147583494
2019,6,147578764
2019,6,147583638
2019,9,147578924
2019,6,147569834
2019,3,147569834
2019,9,147576993
2019,6,147577234
2019,6,147577236
2019,6,147577235
2019,9,147581201
2019,6,147581208
2019,6,147573364
2019,6,147581549
2019,6,147569874
2019,8,147569900
2019,6,147570139
2019,6,147570146
2019,9,147570600
2019,7,147570656
2019,7,147570657
2019,6,147572968
2019,8,147571008
2019,6,147573098
2019,6,147571141
2019,6,147577294
2019,6,147582043
2019,6,147574460
2019,6,147574792
2019,6,147577973
2019,6,147578014
2019,6,147582755
2019,6,147574923
2019,6,147582822
2019,6,147582868
2019,6,147582975
2019,9,147578382
2019,6,147583208
2019,6,147578688
2019,6,147578716
2019,6,147583663
2019,6,147570773
2019,6,147569773
2019,6,147577120
2019,6,147577210
2019,6,147577211
2019,6,147577416
2019,5,147581453
2019,9,147581464
2019,9,147574343
2019,1,147574788
2019,6,147582706
2019,6,147574850
2019,6,147582781
2019,6,147582878
2019,6,147582885
2019,6,147582888
2019,8,147575083
2019,6,147578217
2019,6,147575428
2019,9,147575462
2019,6,147577840
2019,9,147577847
2019,6,147577855
2019,1,147577885
2019,6,147574736
2019,6,147574886
2019,6,147582764
2019,6,147582890
2019,6,147582935
2019,9,147578243
2019,1,147583061
2019,4,147583218
2019,6,147583246
2019,6,147583266
2019,6,147578676
2019,6,147575479
2019,8,147575479
2019,6,147578754
2019,6,147578930
2019,6,147578949
2019,6,146838540
2019,9,146838592
2019,9,146834082
2019,9,146825784
2019,6,146825805
2019,9,146825825
2019,9,146834324
2019,9,146825972
2019,9,146834398
2019,9,146834397
2019,9,146826040
2019,2,146841269
2019,9,146834685
2019,6,146834708
2019,8,146841467
2019,1,146834961
2019,6,146841796
2019,6,146841955
2019,9,146835295
2019,3,146835297
2019,6,146835306
2019,9,146841997
2019,6,146839542
2019,6,146842021
2019,9,146842034
2019,6,146842072
2019,6,146842071
2019,6,146839602
2019,9,146835500
2019,9,146842289
2019,9,146839731
2019,9,146842429
2019,6,146842483
2019,6,146839823
2019,6,147572069
2019,6,147572070
2019,1,147569955
2019,6,147570097
2019,6,147570098
2019,6,147570104
2019,6,147572317
2019,9,147576940
2019,6,147577103
2019,6,147570767
2019,3,147572775
2019,6,147572796
2019,9,147577203
2019,6,147573148
2019,6,147581742
2019,9,147581984
2019,6,147574003
2019,6,147574001
2019,1,147582016
2019,5,147582304
2019,9,147577717
2019,9,147582449
2019,6,147582459
2019,6,147574581
2019,6,147574584
2019,6,147574580
2019,1,147574608
2019,9,147582598
2019,6,147574713
2019,1,147574731
2019,8,147574744
2019,6,147582645
2019,3,147577989
2019,6,147574876
2019,3,147582756
2019,6,147582809
2019,3,147582835
2019,6,147582836
2019,1,147582834
2019,8,148576865
2019,8,148577091
2019,9,148569221
2019,9,148571884
2019,8,148577155
2019,6,148571897
2019,1,148571948
2019,8,148571950
2019,1,148571977
2019,6,148577505
2019,2,148577670
2019,6,148569694
2019,8,148569904
2019,6,148569958
2019,6,148578097
2019,6,148578154
2019,6,148578174
2019,6,148570148
2019,6,148578230
2019,9,148570158
2019,6,148570210
2019,8,148570649
2019,9,148570814
2019,9,148579011
2019,2,148571018
2019,9,148571023
2019,9,148579093
2019,9,148572345
2019,6,148581180
2019,6,148579227
2019,9,148581193
2019,9,148579286
2019,3,148579361
2019,9,148579385
2019,9,148572398
2019,9,148572404
2019,6,148581358
2019,3,148579711
2019,9,148572467
2019,6,148581535
2019,8,148579849
2019,6,148581654
2019,6,148572500
2019,9,148581662
2019,6,148572514
2019,9,148581888
2019,6,148580127
2019,6,148580193
2019,7,148582053
2019,6,148580257
2019,6,148580268
2019,6,148580351
2019,3,148582211
2019,3,148582213
2019,6,148580370
2019,6,148582262
2019,6,148582272
2019,6,148580446
2019,9,148582405
2019,6,148582406
2019,8,148582406
2019,9,148582464
2019,6,148582470
2019,8,148582470
2019,6,148582473
2019,8,148582473
2019,9,148582474
2019,6,148572780
2019,6,148582504
2019,9,148572789
2019,6,148582509
2019,3,148582509
2019,6,148582518
2019,3,148572796
2019,6,148580567
2019,2,148580567
2019,9,148580569
2019,9,148582537
2019,9,148580586
2019,3,148582568
2019,9,148582573
2019,6,148582582
2019,9,148572826
2019,6,148582583
2019,6,148580602
2019,10,148582587
2019,9,148580609
2019,3,148582626
2019,6,148582630
2019,1,148582630
2019,8,148582630
2019,6,148580648
2019,1,148580648
2019,8,148580648
2019,9,148582656
2019,6,148572847
2019,6,148572848
2019,6,148582654
2019,6,148582666
2019,6,148572851
2019,6,148580669
2019,3,148580669
2019,6,148580671
2019,3,148580671
