"DATA_YEAR","BIAS_ID","OFFENSE_ID"
2019,21,144180470
2019,21,144180507
2019,21,144203500
2019,21,144180523
2019,21,144180545
2019,21,144203535
2019,21,144180555
2019,21,144180560
2019,21,144180570
2019,21,144203542
2019,21,144180574
2019,21,144180577
2019,21,144180580
2019,21,144180586
2019,21,144180590
2019,21,144180605
2019,21,144180603
2019,21,144180613
2019,21,144203583
2019,21,144180644
2019,21,144180643
2019,21,144180658
2019,21,144180673
2019,21,144203614
2019,21,144203615
2019,21,144180699
2019,21,144180703
2019,21,144180727
2019,21,144180726
2019,21,144203644
2019,21,144180745
2019,21,144180756
2019,21,144180762
2019,21,144180768
2019,21,144203668
2019,21,144180773
2019,21,144206992
2019,21,144180786
2019,21,144180794
2019,21,144180818
2019,21,144180817
2019,21,144203705
2019,21,144180846
2019,21,144180855
2019,21,144180861
2019,21,144203718
2019,21,144180867
2019,21,144180872
2019,21,144180886
2019,21,144180919
2019,21,144180923
2019,21,144180926
2019,21,144203765
2019,21,144203766
2019,21,144180934
2019,21,144180943
2019,21,144180945
2019,21,144180963
2019,21,144180966
2019,21,144180979
2019,21,144203816
2019,21,144180999
2019,21,144181002
2019,21,144181016
2019,21,144181019
2019,21,144203866
2019,21,144181048
2019,21,144181057
2019,21,144181062
2019,21,144181070
2019,21,144181069
2019,21,144181084
2019,21,144181094
2019,21,144181093
2019,21,144181100
2019,21,144181107
2019,21,144181114
2019,21,144203939
2019,21,144181123
2019,21,144181139
2019,21,144181148
2019,21,144181156
2019,21,144203960
2019,21,144203971
2019,21,144211174
2019,21,144211182
2019,21,144211190
2019,21,144211196
2019,21,144211197
2019,21,144203997
2019,21,144211223
2019,21,144204012
2019,21,144204016
2019,21,144204022
2019,21,144211242
2019,21,144211254
2019,21,144204038
2019,21,144211268
2019,21,144207006
2019,21,144211278
2019,21,144207010
2019,21,144211311
2019,21,144211335
2019,21,144211380
2019,21,144211385
2019,21,144204087
2019,21,144211393
2019,21,144211401
2019,21,144211409
2019,21,144211440
2019,21,144204112
2019,21,144204118
2019,21,144211631
2019,21,144211632
2019,21,144211634
2019,21,144211656
2019,21,144204255
2019,21,144204261
2019,21,144204271
2019,21,144211682
2019,21,144204277
2019,21,144211703
2019,21,144211708
2019,21,144211727
2019,21,144211726
2019,21,144204307
2019,21,144204326
2019,21,144204338
2019,21,144211756
2019,21,144204348
2019,21,144204360
2019,21,144204365
2019,21,144204367
2019,21,144211784
2019,21,144204554
2019,21,144211904
2019,21,144204566
2019,21,144204575
2019,21,144211918
2019,21,144211923
2019,21,144211927
2019,21,144211931
2019,21,144211941
2019,21,144211942
2019,21,144211943
2019,21,144211945
2019,21,144204608
2019,21,144204609
2019,21,144211954
2019,21,144204617
2019,21,144204623
2019,21,144211968
