"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2019,129142105,133927514,1,40390305
2019,129142106,133927514,1,40390308
2019,129142105,133927513,1,40390306
2019,129143617,133927523,1,40398205
2019,129142123,133927526,18,40390311
2019,129143640,133935845,1,40398212
2019,129143641,133935845,3,40398213
2019,129142161,133927551,21,40398214
2019,129143666,133927564,18,40398223
2019,129142261,133931132,3,40390375
2019,129143712,133935970,16,40398242
2019,129143712,133935969,16,40390385
2019,129143722,133927616,25,40398246
2019,129143723,133927617,25,40398249
2019,129143723,133927616,3,40398248
2019,129143722,133927617,3,40398247
2019,129143727,133927621,18,40398251
2019,129143733,133935995,3,40398254
2019,129143739,133936004,18,40398257
2019,129142310,133936011,3,40390400
2019,129143743,133936015,17,40398261
2019,129143741,133936015,5,40398259
2019,129132347,133936023,21,40390404
2019,129143754,133936029,19,40398265
2019,129142335,133936039,1,40398266
2019,129143769,133927649,1,40390413
2019,129143780,133927662,5,40390415
2019,129143781,133927663,24,40398272
2019,129142369,133927668,18,40398278
2019,129143790,133927677,19,40398282
2019,129143790,133927676,19,40398281
2019,129143791,133927677,19,40398284
2019,129143791,133927676,19,40398283
2019,129142387,133936087,1,40390431
2019,129142387,133936088,1,40390432
2019,129142457,133927719,18,40390454
2019,129142454,133927719,18,40390451
2019,129143837,133927719,18,40390455
2019,129142456,133927719,18,40390453
2019,129142453,133927719,18,40390450
2019,129142468,133927729,24,40390460
2019,129142526,133927756,18,40390473
2019,129132378,133936263,18,40392821
2019,129143933,133927815,18,40398342
2019,129142665,133936340,1,40390511
2019,129142665,133936341,1,40390512
2019,129143950,133927843,1,40398347
2019,129143962,133927859,18,40398353
2019,129143973,133927871,18,40398357
2019,129142756,133927885,1,40390537
2019,129132398,133927903,18,40398364
2019,129144003,133936466,19,40398366
2019,129144010,133936478,3,40398367
2019,129144025,133931214,1,40392834
2019,129142827,133936499,11,40390549
2019,129144031,133936499,15,40390551
2019,129142828,133936499,17,40390550
2019,129144038,133927941,18,40398375
2019,129142853,133936522,18,40390558
2019,129144113,133928005,1,40398411
2019,129147972,133936631,18,40390613
2019,129147975,133936637,14,40390616
2019,129148822,133937480,3,40390966
2019,129148820,133937480,18,40390965
2019,129144432,133928317,18,40398536
2019,129148922,133928319,1,40391000
2019,129148929,133937577,5,40392961
2019,129132697,133937577,21,40392960
2019,129144454,133928342,21,40398543
2019,129144512,133928409,27,40398567
2019,129149192,133928419,16,40392986
2019,129149200,133928423,18,40398575
2019,129144542,133928423,18,40398574
2019,129144560,133937913,21,40392989
2019,129149234,133937926,1,40391108
2019,129132792,133937926,1,40391109
2019,129144576,133937939,24,40391115
2019,129144586,133937962,24,40398589
2019,129144587,133937963,24,40398590
2019,129144586,133937963,24,40391121
