"DATA_YEAR","PROPERTY_ID","INCIDENT_ID","PROP_LOSS_ID","STOLEN_COUNT","RECOVERED_COUNT"
2019,120922635,117894000,7,,
2019,120922651,117898466,6,,
2019,120918404,117888893,7,,
2019,120922676,117894052,7,,
2019,120922688,117898480,7,,
2019,120918423,117898492,7,,
2019,120918424,117898494,7,,
2019,120918426,117898497,1,,
2019,120922725,117894115,7,,
2019,120922729,117894120,6,,
2019,120922737,117894126,7,,
2019,120925627,117894129,6,,
2019,120922747,117894139,6,,
2019,120918433,117898506,7,,
2019,120922761,117894153,7,,
2019,120918443,117894168,4,,
2019,120922782,117894183,7,,
2019,120925633,117894198,7,,
2019,120918453,117894211,7,,
2019,120925638,117894211,5,,
2019,120922810,117894223,7,,
2019,120918466,117894238,6,,
2019,120922837,117894250,7,,
2019,120922838,117894252,5,,
2019,120922839,117894252,7,,
2019,120923385,117894864,7,,
2019,120923394,117894872,7,,
2019,120923399,117894876,7,1,
2019,120918620,117894883,5,,
2019,120918622,117894883,6,,
2019,120923408,117894884,7,1,
2019,120923419,117894899,7,,
2019,120923425,117894904,6,,
2019,120923432,117894914,3,,
2019,120923459,117894946,7,,
2019,120923480,117894965,6,,
2019,120923498,117888985,7,1,
2019,120923503,117894988,7,,
2019,120918644,117894998,1,,
2019,120923523,117895008,4,,
2019,120923525,117895012,7,,
2019,120923528,117895015,7,,
2019,120923562,117895053,7,,
2019,120923573,117895064,7,,
2019,120925715,117888998,7,,
2019,120923605,117895105,1,,
2019,120918704,117895125,4,,
2019,120923632,117895133,7,,
2019,120923640,117895145,7,,
2019,120923642,117895147,7,1,
2019,120918721,117898825,5,,
2019,120923668,117898825,7,,
2019,120925725,117895188,7,,
2019,120923674,117895191,7,,
2019,120923679,117895199,7,,
2019,120925731,117895222,7,,
2019,120918736,117895227,6,,
2019,120923704,117895227,4,,
2019,120918746,117895236,4,,
2019,120918747,117895236,7,,
2019,120923718,117895239,7,,
2019,120923721,117898856,3,,
2019,120918752,117895246,3,,
2019,120918754,117895250,4,,
2019,120923731,117895258,7,,
2019,120923736,117895264,7,,
2019,120923741,117895269,4,,
2019,120923747,117895273,1,,
2019,120923749,117895276,4,,
2019,120923755,117895280,8,,
2019,120923764,117895289,7,,
2019,120923776,117895304,7,,
2019,120918771,117895308,7,,
2019,120923784,117895315,2,,
2019,120923788,117895320,7,,
2019,120918775,117895322,7,,
2019,120918779,117898886,7,,
2019,120923806,117895340,4,,
2019,120923808,117895341,7,,
2019,120918783,117898895,7,,
2019,120923815,117895349,7,1,
2019,120918788,117895354,5,,1
2019,120923817,117895354,7,1,
