"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2019,16,123472230,35,9,13594064
2019,8,121694929,2.82,1,13129542
2019,4,121694929,1.48,1,13124972
2019,8,121694929,4,9,13124971
2019,5,121687023,1,11,13124975
2019,12,121695114,0,1,13129555
2019,4,121695114,0,1,13124979
2019,1,121695159,1,1,13129563
2019,8,121695270,8,9,13134214
2019,17,121695270,6,9,13134213
2019,4,121695270,0,1,13134215
2019,4,121692060,3.5,1,13124991
2019,4,121695365,0,1,13124994
2019,16,121695365,20,9,13124995
2019,16,121687255,7,9,13125000
2019,5,121692141,1,1,13125002
2019,5,121692238,1,1,13125017
2019,12,121695475,10,1,13129589
2019,5,121695489,15.4,1,13129590
2019,16,123468569,20,1,13585791
2019,12,123468632,1,1,13585801
2019,16,123468632,85,9,13585800
2019,4,123468632,4,1,13585802
2019,5,121695701,178,1,13129606
2019,16,123472431,1,1,13585816
2019,17,121692490,2,1,13125043
2019,5,121692493,1,9,13125044
2019,5,121692494,18,1,13134250
2019,4,121692494,1,1,13134249
2019,4,121687472,3,1,13134251
2019,12,121687472,8,1,13134252
2019,5,121695836,9.5,1,13129614
2019,17,121692520,30,9,13125046
2019,4,121692520,4.21,1,13125047
2019,18,123472431,,,13594082
2019,17,121696026,5.9,1,13129649
2019,17,121696033,123.9,1,13129650
2019,12,121696033,8,1,13134277
2019,5,121696033,2381.35,1,13129651
2019,17,123472431,2,9,13589670
2019,12,121696098,1,1,13129659
2019,12,121692751,1,1,13129661
2019,12,121692781,2,1,13129665
2019,12,121692801,9.8,1,13125078
2019,4,121696397,0,1,13129680
2019,12,121696397,0,1,13134303
2019,16,121696397,3,9,13134304
2019,12,121693136,0,1,13125104
2019,12,121693167,20,1,13134319
2019,12,121687972,1,11,13134322
2019,12,123472502,14,1,13594094
2019,12,121684149,1,1,13129454
2019,12,121684180,1,11,13129457
2019,16,121684180,1,11,13129458
2019,4,121684214,20,5,13129463
2019,8,121684231,1,9,13134155
2019,4,121684231,0,1,13129465
2019,5,121684485,1,1,13129490
2019,16,121686777,15,9,13134179
2019,12,121694586,2,1,13134183
2019,4,121694586,2,1,13134182
2019,16,121694611,0.85,1,13124947
2019,4,121694611,0.9,1,13129500
2019,4,121691773,3,1,13124962
2019,12,121691773,5,1,13124963
