"DATA_YEAR","PROPERTY_ID","INCIDENT_ID","PROP_LOSS_ID","STOLEN_COUNT","RECOVERED_COUNT"
2019,125928467,123281446,7,,
2019,125930852,123280178,4,,
2019,125930872,123280196,7,,
2019,125930871,123280196,1,,
2019,125928560,123281522,7,,
2019,125928669,123281635,6,,
2019,125930956,123281667,7,,
2019,125930983,123281746,7,,
2019,125931018,123281789,1,,
2019,125928862,123281819,7,,
2019,125928908,123280428,7,,
2019,125931088,123280428,4,,
2019,125928947,123281896,7,,
2019,125928964,123281910,5,,1
2019,125928965,123281910,7,1,
2019,125928980,123281927,7,,
2019,125929034,123280590,7,,
2019,125931282,123280616,7,,
2019,125928623,123281578,7,,
2019,125928629,123281587,6,,
2019,125930931,123281604,4,,
2019,125929108,123282051,1,,
2019,125929141,123282085,4,,
2019,125931310,123282096,4,,
2019,125929190,123282136,7,1,
2019,125929232,123282180,7,,
2019,125931411,123280739,5,,
2019,125931410,123280739,7,,
2019,125929255,123280739,3,,
2019,125931436,123280763,7,,
2019,125929388,123282327,7,1,
2019,125929410,123282346,7,1,
2019,125935398,123283314,7,,
2019,125021927,122609920,7,1,
2019,125017143,122613444,7,,
2019,125014372,122616312,7,,
2019,125014375,122610065,1,,
2019,125014407,122610115,7,,
2019,125022112,122610131,7,,
2019,125017235,122613543,3,,
2019,125017244,122613547,7,,
2019,125022148,122613559,7,,
2019,125014435,122616359,7,,
2019,125014437,122613564,7,1,
2019,125014436,122613564,5,,1
2019,125017272,122610177,4,,
2019,125022179,122613579,7,,
2019,125022213,122610222,7,,
2019,125014479,122610236,7,,
2019,125014481,122610241,4,,
2019,125014487,122616407,7,1,
2019,125017335,122610266,7,,
2019,125017362,122613665,5,,
2019,125014514,122613665,7,,
2019,125014528,122610296,4,,
2019,125017385,122610296,7,,
2019,125022330,122616458,7,1,
2019,125017409,122616458,5,,1
2019,125017416,122610331,7,1,
2019,125017414,122610331,1,,
2019,125022343,122610336,7,,
2019,125022355,122610347,7,1,
2019,125017430,122610347,5,,1
2019,125022381,122613736,4,,
2019,125022393,122610369,4,,
2019,125017472,122613760,7,,
2019,125017488,122610402,5,,1
2019,125014575,122610402,7,1,
2019,125022437,122610408,7,,
2019,125022438,122610408,5,,
2019,125022446,122610416,7,,
2019,125017514,122610434,7,,
2019,125017520,122613800,7,,
2019,125017546,122616522,7,,
2019,125024618,122610475,7,,
2019,125017561,122610483,7,,
2019,125022514,122610490,7,,
2019,125022521,122610501,7,,
2019,125022534,122610512,7,,
2019,125017595,122616550,7,,
2019,125024645,122610522,4,,
2019,125017607,122613860,7,,
2019,125024652,122613860,5,,
2019,125022576,122610547,7,,
2019,125022578,122610547,5,,
2019,125022591,122610557,7,,
2019,125022592,122610557,5,,
2019,125022600,122610564,5,,
2019,125022599,122610564,7,,
2019,125024736,122610671,7,,
2019,125022763,122610702,7,,
2019,125024756,122610721,4,,
2019,125022788,122610721,7,,
2019,125022797,122613978,7,,
2019,125024765,122610728,7,,
2019,125024766,122610728,5,,
2019,125022800,122616654,1,,
2019,125022801,122616654,4,,
2019,125017759,122610740,4,,
2019,125022886,122614018,4,,
2019,125022884,122614018,7,,
2019,125022940,122610860,6,,
2019,125024834,122610885,2,,
2019,125017880,122610933,7,,
2019,125017887,122610946,6,,
2019,125017934,122614143,5,,
2019,125024900,122614143,7,,
2019,125023165,122611063,4,,
2019,125017960,122611070,7,,
2019,125017992,122614203,4,,
2019,125023246,122621132,4,,
2019,125023273,122616830,4,,
2019,125023287,122614255,4,,
2019,125023294,122616837,7,,
2019,125023311,122616849,1,,
2019,125023322,122621190,6,,
2019,125023327,122614288,1,,
2019,125018091,122621232,7,,
2019,125023377,122621238,4,,
2019,125018138,122614363,7,,
2019,125023424,122614368,4,,
2019,125023418,122614368,5,,
2019,125018139,122614368,7,,
2019,125023786,122614654,7,,
2019,125018511,122621602,5,,
2019,125025261,122621602,7,,
2019,125023797,122621605,6,,
2019,125018564,122614711,7,,
2019,125023864,122614711,5,,
2019,125023882,122621698,5,,
2019,125018581,122621698,7,,
2019,125024347,122622079,7,1,
2019,125024341,122622079,5,,1
2019,125018873,122622079,1,,
2019,125018919,122622133,1,,
2019,125024430,122622146,4,,
2019,125024459,122622178,4,,
2019,125024487,122622211,7,,
2019,125025536,122617345,7,,
2019,125025542,122617353,4,,
2019,125024515,122615112,7,,
2019,125024535,122622261,7,,
2019,125024549,122622273,5,,
2019,125019022,122622273,7,,
2019,125029589,122622304,7,,
2019,125029603,122622320,7,,
2019,125025591,122622320,5,,
2019,125029602,122622320,1,,
2019,125029614,122617401,5,,1
2019,125029615,122617401,7,1,
2019,125019091,122622354,1,,
2019,125030496,122623058,7,,
2019,125030497,122623058,5,,
2019,125025988,122623063,4,,
2019,125030501,122623063,7,,
2019,125025992,122623074,7,,
2019,125030531,122623083,4,,
2019,125025999,122623083,7,,
2019,125034751,122623168,7,1,
2019,125030613,122623168,5,,1
2019,125034796,122615753,7,,
2019,125034799,122615753,5,,
2019,125030707,122615768,7,,
2019,125034837,122623254,7,,
2019,125030749,122623265,7,1,
2019,125034865,122615804,7,1,
2019,125030782,122615810,7,,
2019,125034879,122623291,1,,
2019,125034883,122617827,7,,
2019,125030844,122623333,4,,
2019,125030840,122623333,7,,
2019,125030890,122623365,1,,
2019,125034995,122623369,7,,
2019,125026174,122623372,1,,
2019,125026180,122617894,4,,
2019,125030941,122615939,4,,
2019,125031018,122615969,4,,
2019,125035166,122623583,7,,
2019,125031142,122623595,7,,
2019,125031153,122616031,4,,
2019,125031154,122616031,7,,
2019,125026286,122623619,7,,
2019,125035202,122623635,7,,
2019,125031189,122616048,7,1,
2019,125035205,122616048,5,,1
2019,125035222,122623657,7,,
2019,125035223,122623657,5,,
2019,125031238,122623688,7,1,
2019,125026323,122623688,5,,1
2019,125031283,122616092,7,,
2019,125031314,122623756,7,,
2019,125035298,122626120,7,,
2019,125035301,122626120,5,,
2019,125031392,122626133,7,,
2019,125026437,122623975,7,,
2019,125031610,122624018,7,,
2019,125026474,122624035,7,1,
2019,125035463,122624035,5,,1
2019,125026495,122624077,7,,
2019,125031718,122624097,7,,
2019,125031729,122624110,7,,
2019,125035524,122624122,4,,
2019,125031752,122624125,7,,
2019,125026516,122624126,7,1,
2019,125031754,122624126,5,,1
2019,125031790,122624165,5,,
2019,125031793,122624165,7,,
2019,125026533,122624166,4,,
2019,125026532,122624166,7,,
2019,125031796,122624168,7,,
2019,125031826,122624201,1,,
2019,125031837,122624207,7,,
2019,125026553,122624213,7,,
2019,125031881,122624241,7,,
2019,125035608,122624241,4,,
2019,125026574,122624260,1,,
2019,125035643,122626420,7,,
2019,125035663,122626442,1,,
2019,125031999,122626451,4,,
2019,125035678,122624339,7,,
2019,125032034,122624347,1,,
2019,125035712,122624401,7,,
2019,125032113,122624413,1,,
2019,125035721,122624413,4,,
2019,125032134,122624435,7,,
2019,125032139,122624442,1,,
2019,125026680,122624495,1,,
2019,125032214,122624495,7,,
2019,125032257,122626556,7,,
2019,125032425,122624654,7,1,
2019,125026789,122624654,5,,1
2019,125032686,122624874,7,,
2019,125036068,122624948,7,,
2019,125036083,122624970,7,,
2019,125036086,122624975,5,,1
2019,125036087,122624975,7,1,
2019,125032816,122624992,4,,
2019,125032817,122624992,7,,
2019,125036102,122626793,5,,1
2019,125032821,122626793,7,1,
2019,125032876,122618537,4,,
2019,125032878,122618537,7,,
2019,125036234,122618594,7,,
2019,125033136,122625273,1,,
2019,125027160,122625285,7,,
2019,125027171,122625304,4,,
2019,125036326,122625327,7,1,
2019,125033185,122625327,5,,1
2019,125027196,122625353,7,1,
2019,125027206,122625364,7,,
2019,125036361,122627000,5,,
2019,125027224,122627000,7,,
2019,125036381,122625406,7,1,
2019,125033272,122625414,7,,
2019,125033276,122627018,1,,
2019,125027246,122627022,7,,
2019,125033303,122625447,7,,
2019,125036429,122625483,1,,
2019,125027281,122625483,4,,
2019,125027288,122625491,7,,
2019,125021815,122609817,4,,
2019,125017059,122609834,4,,
2019,125017077,122609842,7,,
2019,125021952,122609940,5,,1
2019,125021950,122609940,7,1,
2019,125021975,122613449,7,1,
2019,125021989,122609998,7,1,
2019,125014350,122610016,7,,
2019,125014351,122610016,1,,
2019,125022022,122610030,7,,
2019,125022891,122616697,6,,
2019,125024901,122611044,7,1,
2019,125024902,122611044,5,,1
2019,125023151,122611047,7,1,
2019,125023250,122614220,5,,
2019,125018004,122614220,7,,
2019,125018017,122621147,7,,
2019,125023281,122616832,7,,
2019,125018024,122616832,4,,
2019,125023293,122614262,6,,
2019,125018044,122616843,1,,
2019,125023323,122616850,4,,
2019,125023334,122616854,4,,
2019,125023342,122621204,7,1,
2019,125023460,122621312,4,,
2019,125023465,122614400,5,,
2019,125025049,122614400,7,,
2019,125023498,122621353,4,,
2019,125025101,122616948,7,1,
2019,125018276,122616948,5,,1
2019,125023554,122614513,4,,
2019,125025143,122621453,7,,
2019,125023633,122621468,7,,
2019,125018400,122614581,1,,
2019,125025161,122617010,7,,
2019,125025162,122617010,5,,
2019,125025172,122617022,7,,
2019,125025173,122617022,5,,
2019,125018408,122621497,1,,
2019,125023795,122621604,7,,
2019,125018528,122621625,4,,
2019,125023812,122621630,7,,
2019,125018569,122614714,1,,
2019,125018595,122617128,7,,
2019,125018617,122621726,5,,
2019,125018616,122621726,7,,
2019,125023921,122614757,7,,
2019,125025311,122617142,7,,
2019,125018809,122614955,5,,
2019,125018808,122614955,7,,
2019,125018850,122614993,7,,
2019,125024294,122614993,1,,
2019,125018857,122622046,7,,
2019,125025454,122622047,5,,1
2019,125024309,122622047,7,1,
2019,125018868,122622066,7,,
2019,125018882,122622089,5,,
2019,125018880,122622089,7,,
2019,125025494,122622115,7,,
2019,125018901,122622115,1,,
2019,125025493,122622115,4,,
2019,125024439,122622156,4,,
2019,125024440,122622156,7,,
2019,125024445,122622163,7,,
2019,125024448,122622170,7,,
2019,125018951,122622181,4,,
2019,125018959,122622197,7,,
2019,125024476,122622197,5,,
2019,125025558,122622257,1,,
2019,125024565,122622287,7,1,
2019,125024564,122622287,5,,1
2019,125019047,122615152,7,,
2019,125025592,122622326,7,,
2019,125029922,122622577,7,,
2019,125029925,122622577,5,,
2019,125029944,122622588,7,,
2019,125029954,122615399,7,1,
2019,125029955,122615399,5,,1
2019,125030050,122622697,4,,
2019,125019460,122615496,7,,
2019,125030094,122615496,4,,
2019,125025862,122615522,1,,
2019,125025866,122622780,7,,
2019,125025865,122622780,4,,
2019,125030140,122622780,1,,
2019,125030150,122622787,7,,
2019,125019514,122622794,7,,
2019,125019559,122615569,4,,
2019,125030238,122615570,5,,
2019,125025908,122615570,7,,
2019,125019570,122622880,5,,
2019,125030262,122622880,7,,
2019,125030293,122622911,7,,
2019,125030327,122622934,7,,
2019,125030328,122622934,5,,
2019,125030331,122622939,4,,
2019,125030360,122622965,1,,
2019,125034619,122622977,7,,
2019,125034629,122623001,7,,
2019,125025958,122623028,7,,
2019,125025965,122617690,7,,
2019,125030480,122615653,7,,
2019,125034655,122615653,4,,
2019,125030539,122615676,7,,
2019,125034704,122617732,7,,
2019,125026014,122623116,1,,
2019,125030580,122615700,7,,
2019,125034726,122615702,7,,
2019,125030609,122623153,7,,
2019,125026067,122615746,7,,
2019,125034801,122615754,7,,
2019,125030678,122615754,4,,
2019,125030687,122623222,7,,
2019,125030690,122623222,5,,
2019,125026081,122623228,1,,
2019,125034809,122623228,7,,
2019,125034822,122623240,7,,
2019,125026089,122617810,7,,
2019,125034847,122623264,4,,
2019,125034925,122615853,7,,
2019,125026156,122623350,7,,
2019,125030907,122623380,7,,
2019,125035078,122623459,1,,
2019,125030991,122623459,7,1,
2019,125030984,122623459,5,,1
2019,125031038,122623495,6,,
2019,125031076,122615998,7,,
2019,125035141,122616001,7,,
2019,125031083,122616001,5,,
2019,125031095,122623550,7,,
2019,125031130,122623581,7,,
2019,125031139,122616024,4,,
2019,125031140,122616024,1,,
2019,125035173,122616027,7,,
2019,125031155,122623602,7,,
2019,125035180,122617967,7,,
2019,125035207,122617980,7,,
2019,125031233,122623679,4,,
2019,125035240,122623684,7,,
2019,125035245,122616073,7,,
2019,125031349,122623790,7,,
2019,125031350,122623795,7,,
2019,125026358,122623802,1,,
2019,125035354,122618047,7,,
2019,125031445,122623877,7,,
2019,125035384,122626186,4,,
2019,125031498,122626194,7,,
2019,125031505,122626204,5,,1
2019,125035394,122626204,7,1,
2019,125031559,122626228,7,,
2019,125035464,122626260,7,,
2019,125032015,122626458,5,,1
2019,125032018,122626458,7,1,
2019,125035688,122624359,7,,
2019,125032061,122624366,7,,
2019,125035694,122626473,1,,
2019,125032098,122624398,4,,
2019,125032118,122624417,1,,
2019,125032133,122624431,7,,
2019,125032284,122624551,7,,
2019,125035775,122624555,4,,
2019,125026719,122618335,7,,
2019,125035780,122618335,1,,
2019,125035803,122624587,7,,
2019,125035815,122626595,7,,
2019,125032357,122626597,5,,1
2019,125032358,122626597,7,1,
2019,125032397,122618368,4,,
2019,125032421,122624652,7,,
2019,125026838,122624748,7,,
2019,125032549,122624761,1,,
2019,125026865,122624788,5,,1
2019,125035928,122624788,7,1,
2019,125036042,122624911,5,,1
2019,125032718,122624911,7,2,
2019,125032717,122624911,6,,
2019,125036043,122624911,1,,
2019,125032740,122624918,7,,
2019,125036052,122624918,1,,
2019,125036063,122618483,4,,
2019,125026958,122618483,7,,
2019,125032887,122618539,7,,
2019,125032890,122625042,7,1,
2019,125027024,122625047,1,,
2019,125036216,122618584,7,,
2019,125036240,122626899,7,,
2019,125033074,122626919,7,,
2019,125027123,122618613,7,,
2019,125027138,122625244,7,,
2019,125027145,122625257,7,,
2019,125036295,122625262,4,,
2019,125036296,122625262,7,,
2019,125033134,122625269,7,,
2019,125033139,122626945,7,,
2019,125033145,122618642,1,,
2019,125033172,122626962,1,,
2019,125027176,122626962,7,,
2019,125033171,122626962,5,,
2019,125036328,122625331,7,,
2019,125027214,122626989,7,,
2019,125033286,122625427,7,,
2019,125033338,122618736,7,,
2019,125027284,122625489,1,,
2019,125036433,122625489,7,,
2019,125036454,122625517,7,,
2019,125036464,122625523,7,,
