"DATA_YEAR","SUSPECT_USING_ID","OFFENSE_ID"
2019,4,145065983
2019,4,145066131
2019,4,145073383
2019,4,145066163
2019,4,145066162
2019,4,145069696
2019,2,145069701
2019,3,145073467
2019,4,145076238
2019,4,145069750
2019,4,145076272
2019,4,145069760
2019,4,145073540
2019,4,145069839
2019,4,145073622
2019,4,145076343
2019,4,145069850
2019,4,145076349
2019,4,145069856
2019,4,145076361
2019,4,145069863
2019,4,145069891
2019,4,145076436
2019,4,145069926
2019,4,145073713
2019,4,145069939
2019,4,145069945
2019,4,145069950
2019,4,145069964
2019,4,145069976
2019,4,145076532
2019,4,145070020
2019,4,145070019
2019,4,145076543
2019,4,145076548
2019,4,145070039
2019,4,145076563
2019,4,145070072
2019,4,145073825
2019,4,145070090
2019,4,145070091
2019,4,145076594
2019,4,145076595
2019,4,145070096
2019,4,145073846
2019,4,145073854
2019,4,145070105
2019,4,145070108
2019,4,145073865
2019,1,145076677
2019,4,145076701
2019,4,145076700
2019,4,145073994
2019,4,145076712
2019,3,145076738
2019,4,145074014
2019,4,145074019
2019,4,145074039
2019,4,145074066
2019,4,145076788
2019,4,145076808
2019,4,145076903
2019,4,145076902
2019,4,145070260
2019,4,145074222
2019,4,145076915
2019,2,145074247
2019,4,145070278
2019,4,145070282
2019,4,145074275
2019,4,145074274
2019,4,145076943
2019,4,145074295
2019,4,145074297
2019,4,145077001
2019,4,145077011
2019,4,145077012
2019,4,145077020
2019,4,145074361
2019,4,145077045
2019,4,145074371
2019,4,145077052
2019,4,145074387
2019,4,145077057
2019,4,145074410
2019,4,145074418
2019,4,145074426
2019,4,145070370
2019,4,145077079
2019,4,145077078
2019,4,145074444
2019,3,145070381
2019,4,145070390
2019,4,145077106
2019,4,145070395
2019,4,145070394
2019,4,145070396
2019,4,145074486
2019,4,145077118
2019,4,145077119
2019,4,145077129
2019,4,145077143
2019,4,145070417
2019,4,145074528
2019,4,145074533
2019,4,145074537
2019,4,145070425
2019,4,145077173
2019,4,145077172
2019,4,145077187
2019,4,145070443
2019,4,145074573
2019,4,145074575
2019,4,145070457
2019,4,145070462
2019,4,145051779
2019,4,145042798
2019,3,145047269
2019,4,145051793
2019,4,145042808
2019,4,145051805
2019,4,145042811
2019,4,145042810
2019,4,145042815
2019,2,145051816
2019,2,145051815
2019,4,145051823
2019,3,145051830
2019,4,145047297
2019,4,145047296
2019,4,145047295
2019,4,145051857
2019,4,145051865
2019,4,145047315
2019,4,145051895
2019,4,145042848
2019,4,145051902
2019,4,145042851
2019,4,145051907
2019,4,145051915
2019,4,145051928
2019,4,145051930
2019,2,145051939
2019,4,145047378
2019,4,145051951
2019,4,145051973
2019,3,145047409
2019,4,145051978
2019,4,145042893
2019,3,145047417
2019,4,145052005
2019,4,145052008
2019,4,145052010
2019,4,145047445
2019,4,145047441
2019,4,145052020
2019,4,145052038
2019,4,145052040
2019,4,145047497
2019,4,145047503
2019,4,145047508
2019,4,145042928
2019,4,145047524
2019,4,145052086
2019,4,145052088
2019,4,145052098
2019,4,145052103
2019,4,145052110
2019,4,145052144
2019,4,145047572
2019,4,145047571
2019,4,145047584
2019,1,145052172
2019,3,145052172
2019,4,145047631
2019,4,145052216
2019,2,145047650
2019,4,145052248
2019,4,145047668
2019,4,145052275
2019,4,145042991
2019,4,145052284
2019,4,145052294
2019,4,145047691
2019,3,145052363
2019,3,145042996
2019,3,145047773
2019,4,145047777
2019,4,145047778
2019,1,145047783
2019,4,145047789
2019,4,145052388
2019,4,145047810
2019,4,145052405
2019,4,145052406
2019,4,145052412
2019,4,145047841
2019,4,145052428
2019,4,145047845
2019,4,145052439
2019,4,145052456
2019,3,145052457
2019,4,145043024
2019,4,145043025
2019,4,145052464
2019,4,145052466
2019,4,145052471
2019,4,145047871
2019,4,145052493
2019,4,145052496
2019,4,145047887
2019,4,145047889
2019,4,145043055
2019,4,145043057
2019,4,145047894
2019,4,145052515
2019,4,145052525
2019,4,145043065
2019,4,145052528
2019,4,145047907
2019,4,145052538
2019,4,145047914
2019,4,145043074
2019,4,145047918
2019,4,145052552
2019,4,145052560
2019,4,145043080
2019,4,145052573
2019,4,145052574
2019,4,145052581
2019,4,145052598
2019,4,145052613
2019,4,145052625
2019,4,145052633
2019,4,145048032
2019,4,145052656
2019,4,145052693
2019,4,145052697
2019,4,145052702
2019,3,145052717
2019,3,145043245
2019,4,145052730
2019,4,145043253
2019,4,145043264
2019,4,145043270
2019,4,145052754
2019,4,145052774
2019,4,145043277
2019,4,145043276
2019,4,145048078
2019,4,145048081
2019,4,145043298
2019,4,145052806
2019,4,145048085
2019,4,145043317
2019,4,145052825
2019,4,145052835
2019,4,145052839
2019,4,145043341
2019,4,145043344
2019,4,145052850
2019,4,145052857
2019,4,145043362
2019,4,145052864
2019,4,145052862
2019,4,145052871
2019,4,145043389
2019,4,145052885
2019,4,145052888
2019,4,145052897
2019,4,145043401
2019,1,145048103
2019,4,145052907
2019,4,145052908
2019,4,145052928
2019,4,145043436
2019,4,145052934
2019,4,145043443
2019,4,145043452
2019,4,145043458
2019,4,145052962
2019,4,145052970
2019,4,145052989
2019,4,145043477
2019,4,145052996
2019,4,145052999
2019,4,145053011
2019,4,145043490
2019,4,145053016
2019,4,145053027
2019,4,145043505
2019,4,145043508
2019,4,145053031
2019,4,145048169
2019,4,145053049
2019,4,145053057
2019,4,145053063
2019,4,145048185
2019,4,145053070
2019,4,145043544
2019,4,145053091
2019,4,145048202
2019,4,145053110
2019,3,145053119
2019,3,145053118
2019,4,145053129
2019,4,145048215
2019,4,145053148
2019,4,145048224
2019,4,145048228
2019,4,145048235
2019,3,145043603
2019,4,145053200
2019,4,145043615
2019,4,145053207
2019,4,145048253
2019,4,145043621
2019,4,145048256
2019,4,145053237
2019,4,145043625
2019,4,145053246
2019,1,145043631
2019,4,145048267
2019,4,145043634
2019,4,145053266
2019,4,145048271
2019,4,145048279
2019,3,145053294
2019,4,145053304
2019,4,145043655
2019,4,145043657
2019,4,145048287
2019,4,145053340
2019,4,145043673
2019,4,145053366
2019,4,145053365
2019,4,145053372
2019,4,145043683
2019,4,145053386
2019,4,145043689
2019,4,145053399
2019,4,145048312
2019,4,145053424
2019,4,145053433
2019,4,145053442
2019,4,145048324
2019,4,145043726
2019,4,145043731
2019,1,145053452
2019,4,145043741
2019,4,145053460
2019,1,145048339
2019,4,145048344
2019,4,145053469
2019,4,145048350
2019,4,145053489
2019,4,145053490
2019,4,145053500
2019,4,145043768
2019,4,145053531
2019,3,145053553
2019,1,145048404
2019,3,145048404
2019,4,145048411
2019,4,145043845
2019,4,145053613
2019,3,145043849
2019,4,145053652
2019,4,145053661
2019,3,145048468
2019,4,145045958
2019,4,145045957
2019,4,145050249
2019,3,145050264
2019,4,145055107
2019,4,145045979
2019,4,145050285
2019,4,145050286
2019,3,145055137
2019,3,145050290
2019,4,145046001
2019,4,145046002
2019,4,145050368
2019,4,145055223
2019,4,145046091
2019,4,145050396
2019,4,145046137
2019,4,145050422
2019,4,145056266
2019,4,145056265
2019,4,145055303
2019,4,145055305
2019,4,145050492
2019,4,145050502
2019,4,145050521
2019,4,145055337
2019,4,145056360
2019,4,145056362
2019,4,145055360
2019,4,145056416
2019,1,145056429
2019,4,145050587
2019,4,145050591
2019,4,145056448
2019,4,145056555
2019,4,145055427
2019,4,145055431
2019,4,145050694
2019,3,145056599
2019,4,145050699
2019,4,145050700
2019,4,145056637
2019,4,145056639
2019,4,145056650
2019,4,145056668
2019,4,145055509
2019,4,145055513
2019,4,145055516
2019,4,145056684
2019,4,145050765
2019,1,145055528
2019,4,145055535
2019,4,145055541
2019,4,145056715
2019,4,145056721
2019,4,145050811
2019,4,145056727
2019,4,145050826
2019,4,145050825
2019,4,145050836
2019,4,145050842
2019,4,145050849
2019,4,145050850
2019,4,145055589
2019,4,145050858
2019,4,145050860
2019,4,145056757
2019,4,145055595
2019,4,145050875
2019,4,145055625
2019,4,145056782
2019,4,145056787
2019,4,145055653
2019,4,145055669
2019,4,145050927
2019,4,145055674
2019,4,145055680
2019,3,145055698
2019,3,145055697
2019,4,145050939
2019,4,145050938
2019,4,145055707
2019,1,145055711
2019,4,145055714
2019,4,145056882
2019,4,145056888
2019,4,145056901
2019,4,145051012
2019,4,145051013
2019,4,145056937
2019,4,145056944
2019,4,145055783
2019,4,145051080
2019,4,145055796
2019,4,145055797
2019,4,145051089
2019,4,145056975
2019,4,145055802
2019,4,145055808
2019,4,145055826
2019,4,145055830
2019,4,145057028
2019,4,145055831
2019,4,145051149
2019,4,145051150
2019,4,145055844
2019,3,145057045
2019,4,145061175
2019,4,145061180
2019,4,145061290
2019,4,145057128
2019,4,145057142
2019,4,145057156
2019,4,145049623
2019,4,145045414
2019,4,145054567
2019,4,145049637
2019,4,145045435
2019,4,145054580
2019,4,145054585
2019,4,145054595
2019,4,145049654
2019,4,145054602
2019,4,145054614
2019,4,145049686
2019,4,145054615
2019,4,145054621
2019,4,145054620
2019,4,145054622
2019,3,145045515
2019,4,145054629
2019,4,145045517
2019,4,145054636
2019,4,145049720
2019,4,145049724
2019,4,145045566
2019,4,145045565
2019,4,145045578
2019,4,145049819
2019,4,145054700
2019,4,145054702
2019,4,145045590
2019,4,145054721
2019,4,145049844
2019,4,145049852
2019,3,145045598
2019,3,145045599
2019,3,145049851
2019,4,145049849
2019,4,145049853
2019,4,145045603
2019,4,145045613
2019,4,145054786
2019,4,145054790
2019,4,145054796
2019,3,145045665
2019,3,145054806
2019,4,145054875
2019,4,145049952
2019,4,145049995
2019,4,145054903
2019,4,145045780
2019,3,145050003
2019,3,145045787
2019,4,145054921
2019,4,145050009
2019,4,145050016
2019,4,145045804
2019,4,145054936
2019,4,145054934
2019,4,145045814
2019,4,145050049
2019,4,145050050
2019,4,145050054
2019,4,145050058
2019,4,145054965
2019,4,145050072
2019,4,145054984
2019,3,145054985
2019,4,145045887
2019,4,145055066
2019,4,145045956
2019,4,145055103
2019,4,145050273
2019,4,145050274
2019,3,145050271
2019,3,145050276
2019,1,145045988
2019,1,145055126
2019,4,145055152
2019,4,145046004
2019,4,145046041
2019,4,145050342
2019,4,145055195
2019,4,145055219
2019,4,145046115
2019,4,145046116
2019,4,145046113
2019,4,145046155
2019,4,145056174
2019,4,145050435
2019,4,145056198
2019,4,145050438
2019,4,145050437
2019,4,145056219
2019,4,145050459
2019,4,145050458
2019,4,145055302
2019,1,145055328
2019,4,145056349
2019,4,145050526
2019,4,145050528
2019,1,145055341
2019,4,145056390
2019,4,145056395
2019,4,145055354
2019,4,145050578
2019,4,145055367
2019,3,145050589
2019,1,145050589
2019,4,145050604
2019,4,145050603
2019,4,145055370
2019,4,145056455
2019,4,145050609
2019,4,145050611
2019,4,145056461
2019,4,145056476
2019,4,145055381
2019,4,145055399
2019,4,145056518
2019,4,145056543
2019,4,145050673
2019,4,145056567
2019,4,145055429
2019,4,145056584
2019,4,145056589
2019,4,145055443
2019,4,145056603
2019,4,145056605
2019,4,145056611
2019,3,145055465
2019,3,145055466
2019,4,145055472
2019,3,145056629
2019,4,145050717
2019,4,145055485
2019,4,145056648
2019,4,145050736
2019,4,145056770
2019,4,145055623
2019,4,145055631
2019,4,145055639
2019,4,145055640
2019,4,145056799
2019,4,145056798
2019,4,145056797
2019,4,145055659
2019,4,145056804
2019,4,145056805
2019,4,145056809
2019,4,145055684
2019,4,145056817
2019,4,145056832
2019,3,145056842
2019,3,145056843
2019,4,145055722
2019,4,145056853
2019,4,145056854
2019,4,145055754
2019,4,145055753
2019,4,145055772
2019,4,145051039
2019,4,145055779
2019,4,145055782
2019,4,145056969
2019,4,145051092
2019,4,145056989
2019,4,145056990
2019,4,145056988
2019,4,145051123
2019,3,145057005
2019,3,145051124
2019,4,145051159
2019,4,145055841
2019,4,145057063
2019,4,145061224
2019,4,145057082
2019,4,145061226
2019,4,145061269
2019,4,145057115
2019,1,145057125
2019,4,145061316
2019,4,145055904
2019,4,145057198
2019,4,145061358
2019,4,145055939
2019,4,145055949
2019,4,145055950
2019,4,145057288
2019,3,145055977
2019,4,145061380
2019,4,145061383
2019,4,145061382
2019,4,145057333
2019,1,145056003
2019,4,145057339
2019,4,145056011
2019,4,145056017
2019,4,145056020
2019,4,145056024
2019,4,145056023
2019,4,145056033
2019,4,145056034
2019,4,145056037
2019,4,145057377
2019,4,145056049
2019,2,145056058
2019,4,145061413
2019,4,145056078
2019,4,145056096
2019,4,145056097
2019,1,145056104
2019,4,145056166
2019,4,145066180
2019,3,145061493
2019,4,145066194
2019,4,145061515
2019,4,145057619
2019,4,145066217
2019,4,145066219
2019,4,145057655
2019,4,145061538
2019,4,145057687
2019,4,145061558
2019,4,145061560
2019,4,145057707
2019,4,145057722
2019,4,145066267
2019,4,145066279
2019,4,145057741
2019,4,145057742
2019,4,145057745
2019,4,145066291
2019,4,145066293
2019,4,145057754
2019,4,145061587
2019,4,145066310
2019,4,145066311
2019,4,145066321
2019,4,145057776
2019,4,145066351
2019,4,145057795
