"DATA_YEAR","BIAS_ID","OFFENSE_ID"
2019,21,136010906
2019,21,136018757
2019,21,136018774
2019,21,136021753
2019,21,136011023
2019,21,136018846
2019,21,136018847
2019,21,136021777
2019,21,136018858
2019,21,136021827
2019,21,136021834
2019,21,136021835
2019,21,136018911
2019,21,136018927
2019,21,136026166
2019,21,136026176
2019,21,136021895
2019,21,136018982
2019,21,136021908
2019,21,136018983
2019,21,136019000
2019,21,136021931
2019,21,136026391
2019,21,136019085
2019,21,136022026
2019,21,136022099
2019,21,136019181
2019,21,136026501
2019,21,136019180
2019,21,136026508
2019,21,136022132
2019,21,136022134
2019,21,136022148
2019,21,136026546
2019,21,136019222
2019,21,136019219
2019,21,136023252
2019,21,136027732
2019,21,136023377
2019,21,136028086
2019,21,136028175
2019,21,136023688
2019,21,136023695
2019,21,136023694
2019,21,136023703
2019,21,136028198
2019,21,136023732
2019,21,136023781
2019,21,136023794
2019,21,136028392
2019,21,144018011
2019,21,144014163
2019,21,144014165
2019,21,144021895
2019,21,144021902
2019,21,144021909
2019,21,144021918
2019,21,144018154
2019,21,144014193
2019,21,144021928
2019,21,144014196
2019,21,144014197
2019,21,144021933
2019,21,144018165
2019,21,144018166
2019,21,144021934
2019,21,144018170
2019,21,144014209
2019,21,144014221
2019,21,144021956
2019,21,144018181
2019,21,144018182
2019,21,144021971
2019,21,144021977
2019,21,144014228
2019,21,144021981
2019,21,144021983
2019,21,144021995
2019,21,144014234
2019,21,144021997
2019,21,144018210
2019,21,144022003
2019,21,144018217
2019,21,144018254
2019,21,144022023
2019,21,144018268
2019,21,144018267
2019,21,144022029
2019,21,144018284
2019,21,144022036
2019,21,144018293
2019,21,144018300
2019,21,144018314
2019,21,144018313
2019,21,144022044
2019,21,144022052
2019,21,144018330
2019,21,144022054
2019,21,144014318
2019,21,144018338
2019,21,144014322
2019,21,144022064
2019,21,144022063
2019,21,144014331
2019,21,144014330
2019,21,144022080
2019,21,144022079
2019,21,144018368
2019,21,144022084
2019,21,144018370
2019,21,144022086
2019,21,144014335
2019,21,144022090
2019,21,144018376
2019,21,144018379
2019,21,144014345
2019,21,144022094
2019,21,144014347
2019,21,144022109
2019,21,144022113
2019,21,144022116
2019,21,144018401
2019,21,144018403
2019,21,144022129
2019,21,144018412
2019,21,144018409
2019,21,144022136
2019,21,144022135
2019,21,144018416
2019,21,144014361
2019,21,144014363
2019,21,144018421
2019,21,144022157
2019,21,144022159
2019,21,144022166
2019,21,144018445
2019,21,144018444
2019,21,144018449
2019,21,144014394
2019,21,144014393
2019,21,144022189
2019,21,144022191
2019,21,144022194
2019,21,144022197
2019,21,144022196
2019,21,144022198
2019,21,144022208
2019,21,144014427
2019,21,144014430
2019,21,144022215
2019,21,144022216
2019,21,144022231
2019,21,144014456
2019,21,144014463
2019,21,144022258
2019,21,136748502
2019,21,148403729
2019,21,148403794
2019,21,148403795
2019,21,148403791
2019,21,148403807
2019,21,136738866
2019,21,136752952
2019,21,136748594
2019,21,136752968
2019,21,136738889
2019,21,136752986
2019,21,136738913
2019,21,136753020
2019,21,136753026
2019,21,136753040
2019,21,136753086
2019,21,136748717
2019,21,136748809
2019,21,136739076
2019,21,136748893
2019,21,136748898
2019,21,136748907
2019,21,136753262
2019,21,136739101
2019,21,136739118
2019,21,136748957
2019,21,136739132
2019,21,136739131
2019,21,136753335
2019,21,148403869
2019,21,136753352
2019,21,136739164
2019,21,148406565
2019,21,136749081
2019,21,136753461
2019,21,136739236
2019,21,136749136
2019,21,136749149
2019,21,136749160
2019,21,136739293
2019,21,136753569
2019,21,136749206
2019,21,136739332
2019,21,136753602
2019,21,136749225
2019,21,136753614
2019,21,136739354
2019,21,136749247
2019,21,136753669
2019,21,136739400
2019,21,136749339
2019,21,136739417
2019,21,148406584
2019,21,148406585
2019,21,148403974
2019,21,136739440
2019,21,136749364
2019,21,136753748
2019,21,136753770
2019,21,136739471
2019,21,148404011
2019,21,136753810
2019,21,136753813
2019,21,136749458
2019,21,136749469
2019,21,136749482
2019,21,136739527
2019,21,136749513
2019,21,136749529
2019,21,136753895
2019,21,136753899
2019,21,148404149
2019,21,148406635
2019,21,148406634
2019,21,136753972
2019,21,136754012
2019,21,136739679
2019,21,136754058
2019,21,136749712
2019,21,136749710
2019,21,136749717
2019,21,136739714
2019,21,136749718
2019,21,136754080
2019,21,136749760
2019,21,136749801
2019,21,136749813
2019,21,136754120
2019,21,136754119
2019,21,136754134
2019,21,136739799
2019,21,136754151
2019,21,136749858
2019,21,136754159
2019,21,136749905
2019,21,136749927
2019,21,136749936
2019,21,136754198
2019,21,148404346
2019,21,136754240
2019,21,148406680
2019,21,136754297
2019,21,136750036
2019,21,136739967
2019,21,136750095
2019,21,136739982
2019,21,136754367
2019,21,136754385
2019,21,136750199
2019,21,136754465
2019,21,136750240
2019,21,148404400
2019,21,136754526
2019,21,136754567
2019,21,136754584
2019,21,148404405
2019,21,136750343
2019,21,148404403
2019,21,136754673
2019,21,148404423
2019,21,136754695
2019,21,136740238
2019,21,148407682
2019,21,136750574
2019,21,136750585
2019,21,136754924
2019,21,148411999
2019,21,136754939
2019,21,148404446
2019,21,136740647
2019,21,136750886
2019,21,136740660
2019,21,136755100
2019,21,136750960
2019,21,136750968
2019,21,136755150
2019,21,148404449
2019,21,136755180
2019,21,136751018
2019,21,136740753
2019,21,148406712
2019,21,148406722
2019,21,148404484
2019,21,136751089
2019,21,136751093
2019,21,136755263
2019,21,136740838
2019,21,136751115
2019,21,136751131
2019,21,148404503
2019,21,136756170
2019,21,136756171
2019,21,136755349
2019,21,136756229
2019,21,136756260
2019,21,136740954
2019,21,136756276
2019,21,136740978
2019,21,136755439
2019,21,136756304
2019,21,136756313
2019,21,136756323
2019,21,148412040
2019,21,136755517
2019,21,136755526
2019,21,136756376
2019,21,136756396
2019,21,136755559
2019,21,136741085
2019,21,136741093
2019,21,136755609
2019,21,136741106
2019,21,148404559
2019,21,136741130
2019,21,136755664
2019,21,136755686
2019,21,136755693
2019,21,136756540
2019,21,136761174
2019,21,136755717
2019,21,136761210
2019,21,136756567
2019,21,136756578
2019,21,136761248
2019,21,136761246
2019,21,148404629
2019,21,136756635
2019,21,136756647
2019,21,136756654
2019,21,136756670
2019,21,136755887
2019,21,136761359
2019,21,136761357
2019,21,148412135
2019,21,136755937
2019,21,136761393
2019,21,136761411
2019,21,136756754
2019,21,136756761
2019,21,136755998
2019,21,136761443
2019,21,136756793
2019,21,136756020
2019,21,136756019
2019,21,136761490
2019,21,136761493
2019,21,136761492
2019,21,136761510
2019,21,136756071
2019,21,136756849
2019,21,136756091
2019,21,136756866
2019,21,136756865
2019,21,136756870
2019,21,136761574
2019,21,136761581
2019,21,136761714
2019,21,136761715
2019,21,136756940
2019,21,136761744
2019,21,136756963
2019,21,136756978
2019,21,136761764
2019,21,136761778
2019,21,136761800
2019,21,136757021
2019,21,136766257
2019,21,148404751
2019,21,148406844
2019,21,136757065
2019,21,148406845
2019,21,136766350
2019,21,136766349
2019,21,136757118
2019,21,136766364
2019,21,136757129
2019,21,136761915
2019,21,136761923
2019,21,136766419
2019,22,136761966
2019,21,136757222
2019,21,136766469
2019,21,136757277
2019,21,136757289
2019,21,136757324
2019,21,136766562
2019,21,136757346
2019,21,136757353
2019,21,136762094
2019,21,136766602
2019,21,136766643
2019,21,136762180
2019,21,136757468
2019,21,136766658
2019,21,136766666
2019,21,136766691
2019,21,136766689
2019,21,136766704
2019,21,136766710
2019,21,136766713
2019,21,136762221
2019,21,136766722
2019,21,136766734
2019,21,136766770
2019,21,136766771
2019,21,136757506
2019,21,136766794
2019,21,136762269
2019,21,136762278
2019,21,136766798
2019,21,136762286
2019,21,136766819
2019,21,136766826
2019,21,136766839
2019,21,136766838
2019,21,136766845
2019,21,136762321
2019,21,148406876
2019,21,136766897
2019,21,136762372
2019,21,136762373
2019,21,136766915
2019,21,136757621
2019,21,136766940
2019,21,136757655
2019,21,136762413
2019,21,136757660
2019,21,136757659
2019,21,136762430
2019,21,136757695
2019,21,136757742
2019,21,136757782
2019,21,136757798
2019,21,136757824
2019,21,136757845
2019,21,136757849
2019,21,136762547
2019,21,136757869
2019,21,136757883
2019,21,136757892
2019,21,136757914
2019,21,136757915
2019,21,136757954
2019,21,136762609
2019,21,136762612
2019,21,136757993
2019,21,136757994
2019,21,136767175
2019,21,136767185
2019,21,136758049
2019,21,136758083
2019,21,136758084
2019,21,136762675
2019,21,136767242
2019,21,136758131
2019,21,136758156
2019,21,148406875
2019,21,136767293
2019,21,136767307
2019,21,136767310
2019,21,148404896
2019,21,136767320
2019,21,136758240
2019,21,136758247
2019,21,136758253
2019,21,136758265
2019,21,136762798
2019,21,136762826
2019,21,148404923
2019,21,148406917
2019,21,136758425
2019,21,136762918
2019,22,136758436
2019,21,148405032
2019,21,136762957
2019,21,136758499
2019,21,136762989
2019,21,136758528
2019,21,136758535
2019,21,148405057
2019,21,148405060
2019,21,136758557
2019,21,136767553
2019,21,136763032
2019,21,136763035
2019,21,136763036
2019,21,136763039
2019,21,136763071
2019,21,136767642
2019,21,136767652
2019,21,148406975
2019,21,148405094
2019,21,136763141
2019,21,136767771
2019,21,136758817
2019,21,136758825
2019,21,136767787
2019,21,136763174
2019,21,136758855
2019,21,136758854
2019,21,148405092
2019,21,136767839
2019,21,136759101
2019,21,136759116
2019,21,136768054
2019,21,136768078
2019,21,136763407
2019,21,136768104
2019,21,136759161
2019,21,136768117
2019,21,136763444
2019,21,136759191
2019,21,136763477
2019,21,136759225
2019,21,136759240
2019,21,136759256
2019,21,136768208
2019,21,136763498
2019,21,136763516
2019,21,136763522
2019,21,137867300
2019,21,137871347
2019,21,137871360
2019,21,137871368
2019,21,137860037
2019,21,137860042
2019,21,137871388
2019,21,137867312
2019,21,137867311
2019,21,137871402
2019,21,137871412
2019,21,137871415
2019,21,137871419
2019,21,137871421
2019,21,137860068
2019,21,137871430
2019,21,137871452
2019,21,137871481
2019,21,137871495
2019,21,137867341
2019,21,137871513
2019,21,137871530
2019,21,137871548
2019,21,137867380
2019,21,137871565
2019,21,137871569
2019,21,137871586
2019,21,137867403
2019,21,137871627
2019,21,137860103
2019,21,137860107
2019,21,137860108
2019,21,137871640
2019,21,137871646
2019,21,137867430
2019,21,137871662
2019,21,137871657
2019,21,137871660
2019,21,137867444
2019,21,137871718
2019,21,137860142
2019,21,137871775
2019,21,137860146
2019,21,137867509
2019,21,137867508
2019,21,137867521
2019,21,137868120
2019,21,137860500
2019,21,137868140
2019,21,137868141
2019,21,137860684
2019,21,137868582
2019,21,137868581
2019,21,137872619
2019,21,137860701
2019,21,137860707
2019,21,137872660
2019,21,137868649
2019,21,137860714
2019,21,137868667
2019,21,137872692
2019,21,137868684
2019,21,137860726
2019,21,137868699
2019,21,137860736
2019,21,137860735
2019,21,137868715
2019,21,137868724
2019,21,137868730
2019,21,137868734
2019,21,137868733
2019,21,137868741
2019,21,137868748
2019,21,137872786
2019,21,137872795
2019,21,137872800
2019,21,137872829
2019,21,137872830
2019,21,137872836
2019,21,137872842
2019,21,137872841
2019,21,137872843
2019,21,137868788
2019,21,137872857
2019,21,137872858
2019,21,137868799
2019,21,137868806
2019,21,137872870
2019,21,137872889
2019,21,137872893
2019,21,137860794
2019,21,137868828
2019,21,137872914
2019,21,137872916
2019,21,137868838
2019,21,137872931
2019,21,137872936
2019,21,137872940
2019,21,137872941
2019,21,137872943
2019,21,137868870
2019,21,137868871
2019,21,137868872
2019,21,137872949
2019,21,137868902
2019,21,137868903
2019,21,137872966
2019,21,137868907
2019,21,137868906
2019,21,137868914
2019,21,137868917
2019,21,137868937
2019,21,137873002
2019,21,137873009
2019,21,137873011
2019,21,137868945
2019,21,137868947
2019,21,137868951
2019,21,137873021
2019,21,137873129
2019,21,137869047
2019,21,137869073
