"DATA_YEAR","VICTIM_ID","INJURY_ID"
2019,132545216,4
2019,132545224,4
2019,132536110,5
2019,132536466,4
2019,132540216,4
2019,132540567,5
2019,132546422,4
2019,132546724,3
2019,132540848,4
2019,132546796,4
2019,132537606,4
2019,132541161,4
2019,132547272,5
2019,132547288,4
2019,132548060,5
2019,132548061,5
2019,132547402,4
2019,132547444,4
2019,132547572,5
2019,132541424,5
2019,132547591,5
2019,132547657,4
2019,132547868,5
2019,132553031,4
2019,132548490,5
2019,132548679,5
2019,132548897,6
2019,132553460,5
2019,132553488,4
2019,132542086,4
2019,132549057,5
2019,132553541,5
2019,132553552,2
2019,132553552,4
2019,132549222,5
2019,132542307,4
2019,132553932,4
2019,132553943,4
2019,132553944,4
2019,132553966,4
2019,132542389,4
2019,132542417,4
2019,132554106,4
2019,132554122,4
2019,130102168,4
2019,130118079,5
2019,130112005,4
2019,130118102,4
2019,130112265,5
2019,130118323,5
2019,130112321,4
2019,130112323,4
2019,130118351,6
2019,130115388,4
2019,130119115,5
2019,130116336,4
2019,130119385,4
2019,130116768,5
2019,130116775,4
2019,130123168,4
2019,130123882,5
2019,130128395,5
2019,130128526,4
2019,130120570,4
2019,130120573,5
2019,130120579,5
2019,130120596,4
2019,130120606,4
2019,130120607,5
2019,130124109,8
2019,130124109,3
2019,130124109,1
2019,130124192,4
2019,130121578,5
2019,130125026,5
2019,130125039,5
2019,130121756,5
2019,130130310,5
2019,130121770,4
2019,130130470,5
2019,130122387,5
2019,130122458,5
2019,130130859,5
2019,130131278,4
2019,130133111,5
2019,130133131,4
2019,130133231,4
2019,130131398,6
2019,130133261,4
2019,130131419,5
2019,130133298,4
2019,130126271,4
2019,130133313,4
2019,130131505,6
2019,130131518,4
2019,130133393,4
2019,130126337,4
2019,130126394,5
2019,130131563,5
2019,130126456,4
2019,130126467,4
2019,130131636,5
2019,130133532,5
2019,130133600,4
2019,130133632,4
2019,130133833,4
2019,130133854,4
2019,130133860,5
2019,130132129,5
2019,130132131,4
2019,130127036,5
2019,130132356,5
2019,130134044,4
2019,130132365,5
2019,130127151,5
2019,130127160,5
2019,130132453,4
2019,130127208,4
2019,130127210,5
2019,130127212,5
2019,130127316,5
2019,130127324,5
2019,130134455,4
2019,130132821,5
2019,130134607,5
2019,130134642,5
2019,130134752,4
2019,130134775,4
2019,130134784,4
2019,130138202,5
2019,130138241,5
2019,130138240,5
2019,130127755,4
