"DATA_YEAR","VICTIM_ID","OFFENSE_ID"
2019,134667802,148461831
2019,134669607,148453349
2019,134667808,148457634
2019,134667808,148457635
2019,134669615,148453360
2019,134669617,148457637
2019,134669619,148453362
2019,134669623,148457640
2019,134667815,148457643
2019,134669635,148453373
2019,134667827,148457658
2019,134669648,148453380
2019,134669653,148453384
2019,134669657,148453391
2019,134669658,148453393
2019,134667838,148453400
2019,134669672,148453417
2019,134669675,148457675
2019,134669680,148457678
2019,134669697,148453440
2019,134669702,148453447
2019,134669707,148453449
2019,134669709,148453449
2019,134669718,148453457
2019,134667871,148453466
2019,134669738,148453470
2019,134669743,148453472
2019,134667891,148453482
2019,134667889,148453482
2019,134669755,148453486
2019,134669755,148453485
2019,134661683,148453493
2019,134661683,148453492
2019,134669771,148453506
2019,134669773,148453508
2019,134669832,148457764
2019,134669837,148453576
2019,134669851,148453585
2019,134669855,148457782
2019,134661713,148457795
2019,134669871,148453607
2019,134669870,148453607
2019,134669875,148453610
2019,134669916,148457828
2019,134661724,148457831
2019,134669925,148453665
2019,134673030,148457837
2019,134669939,148453681
2019,134669954,148453700
2019,134669958,148457857
2019,134669968,148453714
2019,134669970,148461924
2019,134669973,148453718
2019,134669990,148453735
2019,134661762,148453749
2019,134661765,148461933
2019,134670017,148453766
2019,134670029,148453774
2019,134670034,148453781
2019,134670041,148453790
2019,134673133,148461951
2019,134673136,148453798
2019,134670055,148453802
2019,134673148,148461956
2019,134670067,148453809
2019,134670071,148453814
2019,134673157,148461962
2019,134670077,148453822
2019,134670078,148457955
2019,134670086,148457959
2019,134670092,148453832
2019,134673176,148457966
2019,134670103,148453840
2019,134670120,148453854
2019,134673194,148453861
2019,134661805,148457992
2019,134670131,148457992
2019,134670147,148453880
2019,134670148,148453880
2019,134670153,148458020
2019,134661811,148458020
2019,134670155,148458020
2019,134673225,148458029
2019,134670167,148458034
2019,134673238,148453907
2019,134673237,148453907
2019,134670180,148453907
2019,134673240,148458038
2019,134670185,148458042
2019,134670185,148458041
2019,134673246,148462000
2019,134673245,148458044
2019,134673244,148458044
2019,134670197,148458047
2019,134670198,148462002
2019,134670206,148458051
2019,134670231,148458065
2019,134670234,148458069
2019,134661834,148462007
2019,134673278,148462007
2019,134670237,148453957
2019,134670256,148453971
2019,134670262,148458088
2019,134670266,148458095
2019,134670295,148454017
2019,134670298,148454024
2019,134670309,148454035
2019,134670309,148454036
2019,134670319,148454044
2019,134673369,148454047
2019,134670324,148454051
2019,134670332,148454056
2019,134670333,148454057
2019,134670338,148458150
2019,134670337,148458150
2019,134670360,148462033
2019,134673412,148454104
2019,134661868,148462042
2019,134661870,148458193
2019,134670400,148454127
2019,134670410,148454138
2019,134670413,148454143
2019,134670412,148458221
2019,134670418,148458228
2019,134673462,148454151
2019,134670424,148454152
2019,134670426,148454154
2019,134670429,148454158
2019,134670432,148454165
2019,134670433,148454165
2019,134670438,148454170
2019,134670447,148454180
2019,134670454,148454182
2019,134670461,148454186
2019,134670463,148454189
2019,134673487,148458260
2019,134670499,148458272
2019,134670502,148458276
2019,134673510,148454227
2019,134670513,148454236
2019,134670522,148454244
2019,134670523,148454246
2019,134673518,148454250
2019,134673522,148458288
2019,134670536,148458292
2019,134661912,148458292
2019,134670537,148462077
2019,134670542,148454265
2019,134670547,148458304
2019,134673540,148458312
2019,134670563,148454280
2019,134670566,148454282
2019,134673549,148458320
2019,134670575,148462092
2019,134670580,148454291
2019,134670582,148458327
2019,134673568,148462105
2019,134670598,148462105
2019,134670599,148462105
2019,134673573,148454307
2019,134670623,148458361
2019,134670623,148458360
2019,134661948,148462116
2019,134670631,148454333
2019,134670636,148454337
2019,134661950,148454341
2019,134670640,148454341
2019,134670643,148454345
2019,134670657,148454354
2019,134670661,148454358
2019,134670708,148454391
2019,134670714,148458396
2019,134673614,148458397
2019,134673617,148458401
2019,134670802,148454474
2019,134670809,148462176
2019,134670815,148462177
2019,134661992,148462178
2019,134670849,148454517
2019,134670857,148458485
2019,134670863,148454529
2019,134670870,148454534
2019,134670916,148454575
2019,134670919,148458523
2019,134670924,148454587
2019,134670933,148454593
2019,134662020,148454594
2019,134662019,148454594
2019,134670955,148454610
2019,134670957,148454611
2019,134671004,148454658
2019,134662057,148462224
2019,134671013,148454666
2019,134673790,148458563
2019,134671018,148454673
2019,134671022,148462228
2019,134671024,148454678
2019,134671032,148458569
2019,134673798,148458570
2019,134671036,148454691
2019,134671037,148454690
2019,134671040,148462230
2019,134671048,148454700
2019,134671050,148462235
2019,134671059,148458580
2019,134673807,148458581
2019,134673811,148454720
2019,134662073,148462242
2019,134671076,148454725
2019,134671097,148454751
2019,134671100,148454757
2019,134673830,148454763
2019,134671109,148458603
2019,134671110,148458603
2019,134671125,148454783
2019,134671143,148454797
2019,134671146,148462266
2019,134671150,148458615
2019,134671158,148454810
2019,134671161,148454814
2019,134671164,148454814
2019,134662108,148462269
2019,134671170,148454824
2019,134671180,148454830
2019,134671182,148454838
2019,134671185,148454839
2019,134671187,148454843
2019,134671197,148454853
2019,134671198,148454853
2019,134671209,148454861
2019,134671209,148454862
2019,134671216,148454864
2019,134671214,148454864
2019,134671219,148454869
2019,134671230,148462289
2019,134673875,148454878
2019,134671236,148458638
2019,134662156,148454944
2019,134671303,148454945
2019,134671308,148454948
2019,134671315,148454957
2019,134671323,148454965
2019,134673930,148458686
2019,134662176,148454968
2019,134671333,148462332
2019,134671334,148462332
2019,134671339,148462334
2019,134662179,148462334
2019,134662181,148454976
2019,134671352,148458701
2019,134671361,148462346
2019,134671364,148462347
2019,134673944,148458708
2019,134673945,148458708
2019,134673946,148458709
2019,134673947,148458709
2019,134673951,148458711
2019,134671374,148462350
2019,134673956,148458715
2019,134671383,148458719
2019,134671387,148455012
2019,134671390,148455016
2019,134662206,148455029
2019,134662208,148462368
2019,134671415,148455044
2019,134671414,148455044
2019,134671422,148455051
2019,134671429,148458734
2019,134671429,148458733
2019,134671433,148455060
2019,134671434,148458737
2019,134673983,148455063
2019,134671438,148455063
2019,134673990,148462381
2019,134673990,148462382
2019,134671458,148455078
2019,134673994,148462383
2019,134673996,148458758
2019,134673997,148458758
2019,134671465,148455083
2019,134674006,148455085
2019,134671474,148458773
2019,134671480,148455092
2019,134671492,148458794
2019,134671501,148462404
2019,134671502,148462404
2019,134671506,148462407
2019,134671511,148458808
2019,134671517,148458814
2019,134674051,148458815
2019,134671520,148455127
2019,134671525,148458818
2019,134671532,148455135
2019,134671531,148455135
2019,134671534,148462418
2019,134662265,148462421
2019,134671539,148455143
2019,134674091,148458851
2019,134674091,148455168
2019,134671566,148455172
2019,134671573,148455178
2019,134671578,148458855
2019,134674095,148458856
2019,134671588,148455194
2019,134671593,148455198
2019,134674110,148462439
2019,134671610,148455210
2019,134671615,148455214
2019,134671637,148455230
2019,134671649,148458888
2019,134671653,148458889
2019,134671667,148462462
2019,134671675,148455252
2019,134671675,148455253
2019,134671678,148462466
2019,134671689,148458906
2019,134674154,148458908
2019,134671703,148455281
2019,134671703,148455280
2019,134671708,148455286
2019,134671713,148455296
2019,134671715,148455298
2019,134671729,148455314
2019,134674186,148462482
2019,134662336,148462483
2019,134674188,148458931
2019,134674194,148458937
2019,134671745,148455327
2019,134671755,148455339
2019,134671758,148462487
2019,134671773,148455352
2019,134671780,148455360
2019,134671786,148458956
2019,134671789,148458958
2019,134671798,148455372
2019,134671805,148455375
2019,134671813,148455381
2019,134671814,148455383
2019,134671818,148462500
2019,134671839,148455410
2019,134671842,148458977
2019,134671846,148455416
2019,134671848,148455420
2019,134671856,148458985
2019,134671857,148458985
2019,134671862,148455427
2019,134671863,148455429
2019,134671863,148455428
2019,134671867,148455433
2019,134671874,148458990
2019,134674253,148455440
2019,134662364,148455457
2019,134671902,148455468
2019,134671908,148455473
2019,134671916,148455483
2019,134671916,148455482
2019,134674284,148455486
2019,134671924,148455494
2019,134671927,148455497
2019,134671937,148455504
2019,134671960,148455521
2019,134662383,148462528
2019,134671965,148459038
2019,134674312,148459040
2019,134674313,148459040
2019,134674315,148459043
2019,134671976,148455538
2019,134671984,148455545
2019,134671992,148455549
2019,134671993,148462532
2019,134672013,148462535
2019,134672024,148455580
2019,134672027,148455584
2019,134662395,148455585
2019,134672036,148455594
2019,134672039,148455599
2019,134672043,148455602
2019,134672050,148462545
2019,134672051,148455612
2019,134672051,148455614
2019,134672060,148455623
2019,134672078,148462549
2019,134618216,148402718
2019,134618867,148406406
2019,134618867,148406407
2019,134607497,148411608
2019,134611892,148411608
2019,134618986,148406462
2019,134607531,148411651
2019,134607542,148403627
2019,134619030,148411681
2019,134607558,148403662
2019,134619049,148403666
2019,134611961,148403666
2019,134611975,148411708
2019,134611975,148411707
2019,134619081,148403714
2019,134619088,148403719
2019,134619088,148403718
2019,134607584,148406515
2019,134619184,148403845
2019,134607743,148404407
2019,134619684,148404433
2019,134607784,148406717
2019,134607784,148406718
2019,134619788,148406755
2019,134612377,148412112
2019,134622904,148406824
2019,134612429,148404757
2019,134612520,148406928
2019,134623111,148407037
2019,134623111,148405202
2019,134623153,148407068
2019,134623153,148405306
2019,134612826,148405543
2019,134612826,148405544
2019,134623289,148407211
2019,134623289,148407210
2019,134623347,148407273
2019,134623389,148407320
2019,134623731,148407687
2019,134621413,148413763
2019,134628899,148413770
2019,134628907,148407731
2019,134628906,148407731
2019,134623766,148407731
2019,134623775,148407736
2019,134621430,148416316
2019,134628934,148413813
2019,134623819,148413864
2019,134621470,148416358
2019,134623844,148413913
2019,134629077,148413983
2019,134629133,148416432
2019,134621558,148414051
2019,134621595,148414135
2019,134621636,148414233
2019,134629333,148416520
2019,134624044,148407981
2019,134629367,148407993
2019,134624086,148408022
2019,134624091,148416560
2019,134624113,148414394
2019,134621721,148414402
2019,134629503,148414426
2019,134624152,148416620
2019,134629585,148414515
2019,134624193,148414526
2019,134629612,148416668
2019,134629614,148416669
2019,134624236,148414564
2019,134624243,148416686
2019,134624244,148408168
2019,134624249,148416695
2019,134624260,148416708
2019,134621838,148408195
2019,134629770,148408233
2019,134629829,148416813
2019,134624378,148416824
2019,134629938,148414890
2019,134629974,148414921
2019,134622002,148414936
2019,134630012,148408409
2019,134630023,148414972
2019,134624520,148416941
2019,134624526,148408434
2019,134624545,148415006
2019,134624557,148408456
2019,134630057,148408459
2019,134630057,148408458
2019,134624576,148416970
2019,134624576,148415039
2019,134624589,148415047
2019,134624613,148416998
2019,134624620,148408522
2019,134624620,148408523
2019,134624631,148408530
2019,134624631,148408531
2019,134630141,148415118
2019,134624680,148415118
2019,134624691,148415126
2019,134624699,148415133
2019,134630211,148417139
2019,134630211,148417140
2019,134630224,148408664
2019,134630224,148415193
2019,134624774,148415251
2019,134624774,148417188
2019,134622285,148417218
2019,134622398,148417325
2019,134625316,148417958
2019,134625383,148418045
2019,134633093,148415808
2019,134630867,148409498
2019,134630867,148409497
2019,134633155,148418124
2019,134633153,148418124
2019,134630866,148418124
2019,134633216,148415900
2019,134633228,148415905
2019,134633236,148409559
2019,134633237,148415909
2019,134625527,148409558
2019,134633361,148416013
2019,134633361,148416012
2019,134631006,148416027
2019,134625664,148416066
2019,134631101,148416125
2019,134631116,148416134
