"DATA_YEAR","WEAPON_ID","OFFENSE_ID","NIBRS_WEAPON_ID"
2019,12,131644119,24178327
2019,12,131644278,24178370
2019,12,131649020,24183263
2019,12,131645049,24178520
2019,19,131645058,24178524
2019,20,131645063,24178525
2019,3,131649189,24183297
2019,12,131649190,24183298
2019,18,131640341,24169325
2019,9,131645186,24178545
2019,20,131645203,24178547
2019,20,131645227,24178555
2019,20,131645235,24178558
2019,20,131645237,24178559
2019,12,131645274,24178570
2019,20,131645357,24178583
2019,12,131649519,24183353
2019,12,131645379,24178590
2019,12,131645380,24178591
2019,12,131649564,24183360
2019,12,131645512,24178616
2019,12,131645520,24178617
2019,12,131645521,24178618
2019,12,131649678,24183379
2019,12,131645549,24178623
2019,12,131645551,24178624
2019,12,131640589,24169375
2019,12,131645583,24178634
2019,12,131645609,24169381
2019,19,131645609,24169382
2019,12,131722965,24197462
2019,12,131723057,24197478
2019,2,131723080,24197483
2019,12,131723122,24197493
2019,20,131723161,24197501
2019,12,131723172,24197505
2019,2,131723214,24197510
2019,12,131723292,24197526
2019,12,131713540,24192496
2019,12,131723328,24192499
2019,18,131723362,24197538
2019,12,131717961,24188460
2019,18,131723404,24197547
2019,12,131723557,24197591
2019,12,131723582,24197595
2019,12,131723587,24197597
2019,12,131723618,24192590
2019,12,131724026,24197679
2019,2,131724032,24197680
2019,12,131725012,24197850
2019,12,131725040,24188621
2019,12,131725120,24197867
2019,12,131725156,24197877
2019,12,131725176,24197883
2019,12,131719140,24188654
2019,12,131719139,24188653
2019,12,131719149,24188655
2019,12,131725193,24197884
2019,12,131725206,24197890
2019,10,131725209,24197892
2019,12,131716007,24192946
2019,12,131716017,24192949
2019,10,131725219,24197896
2019,18,131719884,24188863
2019,12,137861963,25830637
2019,3,137861971,25830644
2019,12,137861978,25834267
2019,18,137845204,25838780
2019,12,137861996,25830653
2019,2,137862039,25830660
2019,12,137858610,25838790
2019,18,137858618,25838792
2019,12,137858622,25830666
2019,12,137845287,25834283
2019,21,137862099,25830672
2019,20,137858647,25838796
2019,12,137845329,25834290
2019,20,137845349,25834292
2019,4,137862205,25834301
2019,6,137862205,25838806
2019,12,137858704,25838812
2019,12,137858718,25838814
2019,12,137858725,25834315
2019,12,137858728,25838816
2019,3,137845482,25834326
