"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2019,31962259,1,31993489
2019,31967354,1,31998493
2019,31967355,1,31998494
2019,34812353,1,35192586
2019,34860153,1,35245556
2019,34870212,1,35260640
2019,34870213,1,35245558
2019,34870231,1,35192624
2019,34860183,1,35260662
2019,34812411,1,35192649
2019,34870244,1,35260670
2019,34812414,1,35245591
2019,34812416,1,35192652
2019,34812422,1,35192659
2019,34812421,1,35192658
2019,34870254,1,35192661
2019,34860198,1,35245599
2019,34860236,1,35245634
2019,34870305,1,35260728
2019,34860258,1,35245654
2019,34812540,1,35192780
2019,34812553,1,35192791
2019,34812557,1,35192795
2019,34812561,1,35192798
2019,34870416,1,35192839
2019,34870515,1,35245858
2019,34860501,1,35245887
2019,34812786,1,35245909
2019,34812797,1,35245931
2019,34870586,1,35261017
2019,34870584,1,35261015
2019,34860567,1,35245947
2019,34812830,1,35193085
2019,34870787,1,35261216
2019,34870820,1,35193249
2019,34860778,1,35246153
2019,31946885,1,31982985
2019,31946888,1,31982988
2019,31946893,1,31982993
2019,31952611,1,31978831
2019,31946900,3,31983002
2019,31946911,1,31983013
2019,31952623,1,31978840
2019,31938643,3,31985027
2019,31938644,1,31985028
2019,31946915,1,31983017
2019,31946917,1,31983019
2019,31946916,1,31983018
2019,31946918,1,31983020
2019,31946919,1,31978863
2019,31952649,1,31978867
2019,31952697,1,31978914
2019,31946939,1,31983041
2019,31946942,1,31983044
2019,31952698,1,31978916
2019,31952699,1,31978917
2019,31938660,1,31985043
2019,31952701,1,31983045
2019,31946943,1,31983046
2019,31952702,7,31978919
2019,31253015,1,31264456
2019,31253034,1,31264470
2019,31261337,1,31264502
2019,31264718,1,31275902
2019,31261416,1,31272554
2019,31253122,1,31264565
2019,31264745,1,31264570
2019,31261434,1,31275935
2019,31966890,1,31998035
2019,33104823,1,33126041
2019,33109024,1,33130323
2019,31254601,1,31265859
2019,31254624,1,31254330
2019,31243208,1,31254331
2019,31250526,1,31254355
2019,31254663,1,31265916
2019,31250527,1,31261894
2019,31254680,1,31254374
2019,31250546,1,31265936
2019,31254695,1,31265950
2019,31250555,1,31265948
2019,31254744,1,31266003
2019,31250686,1,31262037
2019,31250741,1,31262089
2019,31255038,1,31262090
2019,31255109,1,31266368
2019,31255110,1,31266370
2019,31255123,1,31254644
2019,31243512,1,31254657
2019,31250795,1,31262140
2019,31255161,1,31266418
2019,31255163,1,31266421
2019,31255169,1,31254683
2019,31243537,1,31254688
2019,31250802,1,31254687
2019,31250820,1,31254706
2019,31255206,1,31266465
2019,31255209,1,31254708
2019,31250824,1,31266470
2019,31243557,1,31254712
2019,31250827,1,31254713
2019,31243563,1,31254721
2019,31250843,1,31266499
2019,31250845,1,31262176
2019,31255251,1,31266507
2019,31255256,1,31254737
2019,31255259,1,31266515
2019,31250864,1,31262202
2019,31255315,1,31254765
2019,31250878,1,31254782
2019,31243622,1,31254783
2019,31243627,1,31266596
2019,31243632,1,31266602
2019,31255358,1,31266611
2019,31255432,1,31266704
2019,31258698,1,31254846
2019,31250968,1,31262298
2019,31258716,1,31262299
2019,31948594,8,31991276
2019,31948601,1,31984713
2019,31948603,1,31984715
2019,31948606,1,31984719
2019,31948608,7,31984721
2019,31960058,1,31991288
2019,31948613,1,31984726
2019,31960063,1,31991293
2019,31960064,1,31991294
2019,31948614,1,31984727
2019,31948617,1,31984730
2019,31948621,1,31984734
2019,31948623,1,31984736
2019,31948626,1,31984739
2019,31948630,1,31984743
2019,31960094,1,31991328
2019,31948641,1,31984754
2019,31960100,1,31991333
2019,31960109,1,31991344
2019,31960113,1,31991348
2019,31258878,1,31262417
2019,31255624,1,31266907
2019,31255623,1,31266906
2019,31251100,1,31266914
2019,31251101,1,31262436
2019,31255880,1,31267155
2019,31259100,1,31267217
2019,31259103,1,31270252
2019,31259133,1,31270286
2019,31259134,1,31270287
2019,31259185,1,31267344
2019,31259196,1,31270344
2019,31256101,1,31267384
2019,31259280,22,31270420
2019,31259281,1,31270424
2019,31251402,3,31267496
2019,31256233,1,31267516
2019,31256248,7,31267533
2019,31948597,1,31984709
2019,31948599,8,31984711
2019,31948605,1,31984718
2019,31948607,8,31984720
2019,31948609,8,31984722
2019,31948610,1,31984723
2019,31948612,1,31984725
2019,31960066,1,31991296
2019,31948618,1,31984731
2019,31948620,1,31984733
2019,31948619,1,31984732
2019,31956127,1,31987497
2019,31948628,1,31984741
2019,31948631,1,31984744
2019,31948632,1,31984745
2019,31948636,1,31984748
2019,31948639,1,31984751
2019,31956149,1,31987516
2019,31948642,1,31984755
2019,31960112,1,31991347
2019,31265159,1,31276343
2019,31265162,1,31276346
2019,31265175,1,31276358
2019,31265181,1,31276366
2019,31265234,1,31276418
2019,31261788,1,31272925
2019,31265272,1,31276456
2019,31265345,8,31276526
2019,31265360,1,31276542
2019,31265368,1,31276551
