"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2019,124027161,10,
2019,124027160,10,
2019,124027182,2,
2019,124027283,9,
2019,124027341,1,
2019,124027391,6,
2019,124027685,1,
2019,124037966,1,
2019,124038666,10,
2019,124039014,9,
2019,124039030,1,
2019,124039081,10,
2019,124039107,10,
2019,124039106,10,
2019,124032551,10,
2019,124039286,10,
2019,124039369,9,
2019,124039238,9,
2019,124039280,6,
2019,124035230,6,
2019,124039407,1,
2019,124035611,10,
2019,124040309,6,
2019,124036106,2,
2019,124040337,1,
2019,124040716,6,
2019,124030675,10,
2019,124027604,2,
2019,124038674,1,
2019,124038773,1,
2019,124038919,10,
2019,124038964,9,
2019,124039187,1,
2019,124039239,1,
2019,124044060,1,
2019,124041108,1,
2019,124044719,9,
2019,124044718,9,
2019,124045394,6,
2019,124041491,9,
2019,124041615,9,
2019,124037780,9,
2019,124037779,9,
2019,124037778,9,
2019,124046119,1,
2019,124041666,1,
2019,124041673,9,
2019,124041828,2,
2019,128042369,4,
2019,128042367,4,
2019,128042370,4,
2019,128042375,4,
2019,128042373,4,
2019,128042371,4,
2019,128042441,1,
2019,128042442,2,
2019,128042847,1,
2019,128037564,9,
2019,128037720,9,
2019,128043967,4,
2019,128049024,2,
2019,128049022,2,
2019,128049025,2,
2019,128045269,2,
2019,128045268,2,
2019,128045414,1,
2019,128045413,1,
2019,128046409,1,
2019,128046533,1,
2019,128046661,9,
2019,128046662,9,
2019,128046902,1,
2019,128046902,9,
2019,128047070,1,
2019,128047518,9,
2019,128053000,9,
2019,128050676,9,
2019,128053530,9,
2019,128053593,6,
2019,128056406,9,
2019,128057550,10,
2019,128058688,9,
2019,128063423,10,
2019,128063632,10,
2019,128063634,10,
2019,128063645,1,
2019,125069778,1,
2019,125069898,9,
2019,125074697,1,
2019,125065927,1,
2019,125071913,2,
2019,125071937,6,
2019,125066629,9,
2019,125076742,6,
2019,125078897,1,
2019,125078962,9,
2019,125067456,1,
2019,125090384,9,
2019,125086739,1,
2019,125093551,9,
2019,125090996,10,
2019,125094115,1,
2019,125087520,1,
2019,128042604,1,
2019,128036412,9,
2019,128043076,10,
2019,128043091,1,
2019,128043089,1,
2019,128043276,10,
2019,128043322,1,
2019,128037081,10,
2019,128053379,1,
2019,128053565,1,
2019,128055503,1,
2019,128056202,9,
2019,128064718,1,
2019,128059908,6,
2019,128066052,6,
2019,128059941,10,
2019,128066132,1,
2019,126849850,1,
2019,126850122,10,
2019,126850123,10,
2019,126850135,1,
2019,126850855,9,
2019,125063972,1,
2019,125064127,10,
2019,125064256,1,
2019,125073621,10,
2019,125073655,9,
2019,125071481,10,
2019,125071612,9,
2019,125071612,8,
2019,125071677,1,
2019,125071961,1,
2019,125066222,9,
2019,125066535,9,
2019,125066618,4,
2019,125075775,9,
2019,125078271,9,
2019,125066853,1,
2019,125078416,10,
2019,125076663,9,
2019,125067328,10,
2019,125067410,1,
2019,125079147,1,
2019,125088009,10,
2019,125079964,2,
2019,125079983,9,
2019,125088170,1,
2019,125083234,9,
2019,125090761,1,
2019,125090811,1,
2019,125090833,9,
2019,125086840,10,
2019,125087038,9,
2019,125093816,9,
2019,125091182,1,
2019,125087338,1,
2019,125094045,1,
2019,125091336,1,
2019,125094129,1,
2019,125087466,9,
2019,125091423,6,
2019,125091426,2,
2019,125097912,6,
2019,125091895,9,
2019,125091894,9,
2019,125098220,1,
2019,125092140,10,
2019,125098597,1,
2019,125092348,1,
2019,125092452,1,
2019,125092453,1,
2019,125092553,9,
2019,125092830,1,
2019,125102881,1,
2019,125103025,6,
2019,125103075,1,
2019,125099420,9,
2019,125103425,1,
2019,125103478,1,
2019,125099861,9,
2019,125099862,9,
2019,125099859,9,
2019,125095483,9,
2019,125103725,1,
2019,125103798,1,
2019,125103838,1,
2019,125103863,1,
2019,125103886,1,
2019,125103907,9,
2019,125103908,9,
2019,125103949,6,
2019,125064673,1,
2019,125069486,4,
2019,125069855,2,
2019,125070216,1,
2019,125065234,1,
2019,125070592,9,
2019,125065343,10,
2019,125070681,6,
2019,125070739,9,
2019,125070791,1,
2019,125070928,9,
2019,125065568,9,
2019,125074868,1,
2019,125065950,1,
2019,125075074,6,
2019,125072221,1,
2019,125067450,1,
2019,125067519,1,
2019,126865078,1,
2019,126865079,1,
2019,125061246,9,
2019,125061259,6,
2019,125068182,10,
2019,125068606,6,
2019,125062550,2,
2019,125062552,9,
2019,125062551,2,
2019,125064231,1,
2019,125083145,9,
2019,125088454,1,
2019,125089889,9,
2019,125089888,1,
2019,125089887,9,
2019,125089887,1,
2019,125089889,1,
2019,125089888,9,
2019,125090376,1,
2019,125092904,9,
2019,125092905,9,
2019,125092902,1,
2019,125090930,9,
2019,125091800,1,
2019,125092212,6,
2019,125092322,6,
2019,125092384,6,
2019,125098907,9,
2019,125095209,6,
2019,125095209,1,
2019,125103140,1,
2019,125062773,1,
2019,125064403,1,
2019,125067479,1,
2019,125091137,6,
2019,125093782,6,
2019,125087077,2,
2019,125093934,1,
2019,125093935,1,
2019,125068537,1,
2019,125068647,10,
2019,125065013,1,
2019,125070154,2,
2019,125074008,10,
2019,125065236,10,
2019,125070514,10,
2019,125070572,1,
2019,125071022,1,
2019,125088820,10,
2019,125088819,10,
2019,125080852,1,
2019,125084493,8,
2019,125084885,10,
2019,125081623,1,
2019,125089309,1,
2019,125084968,10,
2019,125089568,1,
2019,125090438,9,
2019,125090546,9,
2019,125090567,9,
2019,128042716,6,
2019,128036505,9,
2019,128044011,10,
2019,128044069,1,
2019,128045040,6,
2019,128045105,9,
2019,128049039,9,
2019,128045600,9,
2019,128049584,2,
2019,128046521,9,
2019,128050040,1,
2019,128047216,1,
2019,128047266,9,
2019,128050235,1,
2019,128050514,1,
2019,128052237,2,
2019,128055624,2,
2019,128052835,2,
2019,128058024,1,
2019,128063130,10,
2019,128063583,2,
2019,128059012,10,
2019,128059071,9,
2019,125063271,1,
2019,125062391,2,
2019,125068895,2,
2019,125062805,1,
2019,125064404,9,
2019,125079847,9,
2019,125084898,1,
2019,125089621,1,
2019,125082032,10,
2019,125090057,1,
2019,125090055,1,
2019,125090092,9,
2019,125090183,1,
2019,125082807,1,
2019,125090667,9,
2019,125093211,1,
2019,125093270,1,
2019,125093314,2,
2019,125093313,2,
2019,128042401,1,
2019,128042660,9,
2019,128043552,6,
2019,128043552,1,
2019,128037473,1,
2019,128047974,1,
2019,128048801,1,
2019,128045060,1,
2019,128045197,1,
2019,128045728,1,
2019,128045730,1,
2019,128045804,1,
2019,128049271,1,
2019,128045802,1,
2019,128045969,1,
2019,128046122,1,
2019,128046272,1,
2019,128046273,1,
2019,128049609,1,
2019,128046561,10,
2019,128049644,9,
2019,128050038,1,
2019,128050168,9,
2019,128054570,10,
2019,128054577,10,
2019,128055687,10,
2019,128058055,1,
2019,128058062,9,
2019,128058076,1,
2019,128057643,1,
2019,128062982,10,
2019,128063114,9,
2019,128063116,9,
2019,128064322,10,
2019,125062255,6,
2019,125067305,10,
2019,125067329,9,
2019,132526288,10,
2019,125065228,1,
2019,125070528,1,
2019,125070642,2,
2019,125065367,10,
2019,125074425,2,
2019,125065471,8,
2019,125065480,10,
2019,125065488,1,
2019,125065623,9,
2019,132529160,1,
2019,125071798,9,
2019,125066448,6,
2019,125081476,9,
2019,125081536,9,
2019,125085137,9,
2019,132538714,9,
2019,125089482,9,
2019,125090507,10,
2019,125090584,1,
2019,132530039,10,
2019,132521968,1,
2019,132522834,10,
2019,132537959,9,
2019,132533448,9,
2019,132538319,9,
2019,132534394,1,
2019,132538534,1,
2019,132538773,1,
2019,132538778,9,
2019,132538831,1,
2019,132538856,12,7
2019,132543672,1,
2019,132543682,1,
2019,132538915,6,
2019,132538927,10,
2019,132539065,6,
2019,132535043,10,
2019,132535434,9,
2019,132539843,10,
2019,132545489,10,
2019,132545609,9,
2019,132547274,1,
2019,132548701,10,
2019,132548797,6,
2019,132542006,9,
2019,132548880,9,
2019,132555991,6,
2019,132555989,6,
2019,129108504,9,
2019,129105852,8,
2019,129105854,8,
2019,129105853,8,
2019,129105851,8,
2019,129108620,9,
2019,129114505,1,
2019,129118459,9,
2019,129110772,9,
2019,129123396,9,
2019,129111327,9,
2019,129124835,2,
2019,129125100,8,
2019,129125604,3,
2019,129125615,9,
2019,129125613,9,
2019,129125623,4,
2019,129125767,6,
2019,128063720,1,
2019,128063749,10,
2019,128063748,10,
2019,128059492,1,
2019,128065012,9,
2019,128065012,1,
2019,128065432,10,
2019,128065450,9,
2019,128065449,9,
2019,128065565,1,
2019,128037888,8,
2019,128044824,9,
2019,128048795,6,
2019,128048795,9,
2019,128045053,6,
2019,128053147,9,
2019,128053330,1,
2019,128053404,1,
2019,128051018,1,
2019,128051017,1,
2019,128051291,9,
2019,128054282,9,
2019,128054280,9,
2019,128054288,9,
2019,128036844,10,
2019,128044279,10,
2019,128053027,1,
2019,128050826,1,
2019,128053641,6,
2019,128054514,6,
2019,128051840,9,
2019,128055141,1,
2019,128057688,2,
2019,128063994,1,
2019,128064430,1,
2019,128065064,10,
2019,128059615,2,
2019,128065255,2,
2019,128065513,1,
2019,128065839,1,
2019,128044125,10,
2019,128036499,9,
2019,128043891,10,
2019,128047950,10,
2019,128044222,10,
2019,128044309,10,
2019,128044580,9,
2019,128048571,1,
2019,128044713,1,
2019,128048783,10,
2019,128048789,10,
2019,128045079,9,
2019,128049329,10,
2019,128046017,1,
