"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2019,126855693,131507678,5,39452654
2019,126858971,131503215,3,39448542
2019,126855716,131507694,18,39452662
2019,126855747,131493150,18,39452679
2019,126855754,131503299,14,39452682
2019,126855756,131503302,24,39439062
2019,126855756,131503301,24,39452685
2019,126859104,131507759,18,39452695
2019,126855795,131507764,3,39452702
2019,126855961,131493350,18,39448672
2019,126855961,131493346,18,39448673
2019,126855961,131493348,18,39439151
2019,126855961,131493347,18,39439149
2019,126855999,131493394,11,39448682
2019,126855998,131493394,17,39452797
2019,126841215,131505366,18,39437705
2019,126853296,131505372,5,39437709
2019,126848443,131505372,6,39437708
2019,126841264,131500512,5,39447212
2019,126841267,131505420,18,39437731
2019,126853350,131490405,24,39451533
2019,126841330,131500564,18,39447242
2019,126841331,131500564,1,39447243
2019,126841493,131505674,3,39447320
2019,126853641,131500769,16,39451658
2019,126856420,131503996,18,39439462
2019,126859734,131504000,24,39449009
2019,126852005,131504000,24,39439469
2019,126856427,131504000,24,39439471
2019,126859736,131504000,24,39439468
2019,126856448,131508370,18,39449028
2019,126859794,131493895,24,39439531
2019,126859794,131493896,24,39439532
2019,126852871,131510366,1,39440047
2019,126861080,131510366,25,39449882
2019,126861080,131510367,3,39449881
2019,126852871,131510367,1,39440048
2019,126861089,131494727,24,39449886
2019,126857535,131494783,18,39449937
2019,126857549,131510496,3,39453782
2019,126862976,131494798,24,39440095
2019,126862996,131494814,3,39440103
2019,126857611,131509452,17,39453815
2019,126857609,131509452,24,39453814
2019,126863075,131510623,21,39440148
2019,126861360,131510646,18,39453857
2019,126861383,131494914,3,39440166
2019,126857756,131510712,18,39450071
2019,126861434,131510712,18,39450070
2019,126861443,131510719,21,39440190
2019,126861453,131510725,3,39450081
2019,126861468,131514969,3,39450093
2019,126861470,131514969,1,39450095
2019,126857783,131509630,18,39453916
2019,126863211,131510856,18,39440232
2019,126863214,131510872,1,39440234
2019,126861605,131515023,16,39450176
2019,126857835,131509693,18,39453952
2019,126863342,131511166,18,39454060
2019,126868018,131515182,18,39454068
2019,126868034,131515201,18,39454075
2019,126861988,131511231,18,39450389
2019,126868056,131511237,18,39454087
2019,126868239,131520067,1,39454197
2019,126868240,131515619,18,39454199
2019,126868242,131520072,21,39454201
2019,126868244,131515634,18,39454202
2019,126863802,131515641,3,39440566
2019,126868253,131515669,22,39454212
2019,126868258,131515676,1,39440585
2019,126863841,131515680,18,39440587
2019,126868266,131515692,5,39454220
2019,126868272,131520095,18,39454223
2019,126862212,131515719,18,39450531
2019,126862387,131511652,18,39450659
2019,126862392,131511652,18,39450662
2019,126862390,131511652,18,39450660
2019,126862391,131511652,18,39450661
2019,126864006,131511652,18,39440698
2019,126862434,131511700,18,39450685
2019,126868374,131515917,18,39454277
2019,126862555,131511814,18,39440743
2019,126864111,131511814,18,39450741
2019,126862612,131511871,18,39450766
2019,126868434,131511887,24,39454296
2019,126868442,131511907,24,39454301
2019,126868458,131520238,18,39454311
2019,126862714,131511972,18,39440764
2019,126862714,131511971,18,39450818
2019,126862776,131512018,18,39450857
2019,126868516,131512095,18,39454353
2019,126868516,131520337,18,39454354
2019,126868529,131520346,16,39454363
2019,126872972,131516055,18,39450982
2019,126872986,131512211,3,39450990
2019,126873016,131516065,18,39454397
2019,126868607,131516075,21,39451013
2019,126868612,131512274,1,39454408
2019,126868628,131512293,18,39454426
2019,126873081,131520449,27,39451049
2019,126873356,131512579,18,39451202
2019,126868834,131512607,18,39454542
2019,126873404,131516271,18,39451226
2019,126873451,131512669,27,39451249
2019,126873451,131516315,16,39451248
2019,126868867,131516320,25,39451253
2019,126868867,131512671,27,39454560
2019,126873454,131512671,1,39451252
2019,126873454,131516320,9,39451251
2019,126868869,131512686,18,39454561
2019,126864515,131512714,1,39454568
2019,126873617,131516345,18,39456363
2019,126868911,131516352,1,39454592
2019,126864555,131512781,16,39454599
2019,126873665,131512793,18,39441005
2019,126873674,131512813,1,39456386
2019,126868945,131512822,3,39456390
2019,126873691,131512834,18,39454614
2019,126868966,131512849,16,39454617
2019,126868964,131512849,16,39454616
2019,126873721,131512862,18,39454623
2019,126868979,131512873,1,39456417
2019,126868981,131516397,18,39454626
2019,126873733,131516397,18,39456421
2019,126868993,131512900,5,39456428
2019,126868994,131520767,1,39454632
2019,126873774,131516412,1,39441021
2019,126873774,131512913,1,39454636
2019,126873774,131516411,1,39441020
2019,126873824,131512966,18,39456448
2019,126873831,131520804,18,39456452
2019,126869047,131513012,18,39454653
2019,126869062,131520838,9,39454662
2019,126873901,131513049,1,39454666
2019,126869068,131520853,3,39454670
2019,126873928,131513077,16,39456511
2019,126869087,131513093,18,39454678
2019,126869089,131516456,18,39456518
2019,126873985,131513131,14,39456529
2019,126869121,131513155,6,39454690
2019,126864684,131516469,18,39441062
2019,126874015,131513160,24,39454696
2019,126874018,131520907,1,39454699
2019,126869132,131520910,15,39454702
2019,126869132,131520909,15,39454701
2019,126874039,131513187,18,39456560
2019,126869150,131513200,18,39454716
2019,126869153,131520929,18,39454719
2019,126869161,131513219,18,39454721
2019,126869162,131513219,18,39441071
2019,126874072,131513219,18,39456580
2019,126869163,131513219,18,39454722
2019,126874077,131513227,3,39454725
2019,126869172,131520945,13,39454731
2019,126869172,131520944,19,39454730
2019,126859552,131508190,1,39452963
2019,126841212,131490337,21,39447196
2019,129129633,133920985,18,40391462
2019,129127298,133913454,24,40388136
2019,129129637,133918770,18,40391463
2019,126856032,131507983,18,39452810
2019,129129688,133921031,16,40391488
2019,129134814,133921036,18,40391490
2019,126856031,131503546,18,39452808
2019,126856032,131507982,18,39452809
2019,126856045,131507989,17,39452817
2019,126856079,131493497,3,39448697
2019,126851703,131503606,18,39452839
2019,126859534,131493683,18,39448844
2019,126856266,131503808,24,39448874
2019,126852025,131504021,26,39439483
2019,129127533,133919043,18,40388238
2019,129129803,133919043,18,40388239
2019,129127548,133919054,13,40388245
2019,126852499,131494329,18,39439841
2019,126860485,131504781,18,39449525
2019,126857046,131494338,18,39453525
2019,126860513,131504813,24,39449544
2019,126852541,131504896,18,39439867
2019,126852556,131494392,27,39439874
2019,126852582,131504942,18,39439900
2019,126852608,131509994,18,39439920
2019,126857132,131510011,18,39453561
2019,126852669,131509072,18,39453600
2019,126852669,131509075,18,39453602
2019,126852669,131509074,18,39453601
2019,126852682,131510111,18,39439955
2019,129127555,133919061,18,40388249
2019,126857405,131509257,16,39449848
2019,126862519,131520174,18,39450710
2019,126868465,131511946,18,39454315
2019,126869275,131513375,24,39454788
2019,126869285,131521054,18,39454793
2019,126869323,131521089,3,39454805
2019,126874307,131513451,18,39456689
2019,126874310,131521126,16,39456690
2019,126869384,131516702,18,39454828
2019,126869384,131516701,18,39456702
2019,126864919,131513493,27,39441170
2019,126874408,131516777,18,39456739
2019,126865004,131521291,19,39454879
2019,126869523,131521296,3,39454880
2019,126869539,131516826,18,39454884
2019,126869916,131513778,18,39455024
2019,129127627,133913705,3,40396554
2019,126874765,131513876,22,39456890
2019,126870060,131521814,18,39455090
2019,126874849,131513936,1,39456921
2019,126865437,131521884,18,39461411
2019,126870131,131513972,16,39461413
2019,126870138,131513979,3,39456936
2019,126874893,131513990,21,39456940
2019,126865492,131521934,16,39461451
2019,126874912,131521938,18,39456945
2019,126870172,131517279,1,39455161
2019,126874914,131517282,18,39456947
2019,126870182,131521950,18,39461461
2019,126865533,131517307,18,39455176
2019,126865533,131517308,18,39456953
2019,126874970,131521994,16,39455185
2019,129129856,133921303,3,40391585
2019,126865575,131521999,18,39461503
2019,126865575,131517339,18,39455194
2019,126874985,131517349,1,39456973
2019,126874997,131514072,18,39455199
2019,126870257,131514085,24,39455205
2019,126870257,131522027,24,39455206
2019,126865620,131517398,25,39461532
2019,126865620,131517397,18,39461533
2019,126870283,131517397,25,39455221
2019,126870283,131517398,18,39455219
2019,129127645,133913724,16,40391588
2019,126870305,131517420,17,39455233
2019,129135190,133919188,3,40391592
2019,126870350,131514165,17,39455259
2019,126870352,131514165,19,39455261
2019,126870351,131514165,17,39455260
2019,126870355,131522112,18,39455262
2019,126870356,131522112,18,39455263
2019,126870358,131514167,9,39455265
2019,126870384,131514183,24,39455274
2019,126875122,131514199,18,39457037
2019,126870414,131522160,18,39455290
2019,126870432,131522181,3,39455293
2019,126870436,131514214,18,39455296
2019,126870438,131522189,18,39455297
2019,126870459,131522214,16,39455306
2019,126870477,131522229,3,39461586
2019,126870478,131522229,1,39455315
2019,126865774,131522239,18,39461596
2019,126865798,131522261,18,39461607
2019,126870523,131522270,21,39455338
2019,126870547,131517622,18,39455352
2019,126865844,131517630,24,39461635
2019,126870627,131522380,3,39455395
2019,126870643,131514497,19,39455406
2019,126870644,131514497,9,39455407
2019,126870652,131514509,18,39455412
2019,126870666,131522419,3,39455418
2019,126875432,131517749,19,39461688
2019,126865987,131522432,16,39455423
2019,126865991,131517771,1,39461705
2019,126870682,131517776,24,39455424
2019,126870685,131522438,18,39455426
2019,126870689,131522444,24,39455433
2019,126870735,131517832,3,39455451
2019,126866064,131522492,18,39455452
2019,126866064,131517835,18,39455453
2019,129135220,133919217,22,40396603
2019,126870752,131522504,18,39455461
2019,126870773,131522523,16,39457197
2019,126870780,131514596,18,39455469
2019,126875522,131514607,19,39457202
2019,129135219,133919217,17,40388326
2019,126875564,131514650,18,39457225
2019,126866167,131514660,18,39461776
2019,129135219,133919216,21,40391612
2019,129135220,133919216,25,40396602
2019,129135243,133919244,18,40396610
2019,129129927,133913774,27,40391626
2019,129129961,133921380,5,40388348
2019,126870986,131522713,17,39455559
2019,126871121,131522820,18,39461856
2019,126871132,131514797,24,39455632
2019,126871216,131522893,18,39455663
2019,126875802,131522918,27,39455692
2019,126871302,131514906,18,39455712
2019,126871718,131523326,7,39455894
2019,126871829,131523427,1,39461980
2019,126871854,131523449,1,39455934
2019,126876187,131518395,18,39457527
2019,126866698,131523476,18,39462006
2019,126871900,131523487,1,39455959
2019,129130000,133919403,3,40396686
2019,126871927,131523511,21,39455979
2019,126866714,131523531,18,39462010
2019,126871964,131518434,18,39456000
2019,126871965,131518434,18,39456001
2019,126871966,131518434,18,39456002
2019,126871963,131518434,18,39455999
2019,126871989,131523576,24,39462017
2019,126866725,131523575,24,39462014
2019,126866725,131523576,24,39462015
2019,126871989,131523575,24,39462016
2019,126871992,131523580,16,39456014
2019,126872011,131523601,19,39456026
2019,126876193,131525291,18,39457534
2019,126872048,131518470,18,39457549
2019,126872100,131523685,3,39456079
2019,126872381,131523946,18,39456230
2019,129130002,133919409,24,40391661
2019,129127821,133921477,9,40388390
2019,129135440,133921483,9,40396701
2019,129127843,133913877,16,40391675
2019,129127849,133913880,27,40388412
2019,129127850,133913880,18,40388413
2019,129127895,133913911,17,40388447
2019,129130041,133921566,20,40391692
2019,125061811,128543178,3,38731641
2019,125061854,128552113,17,38720092
2019,125062612,128552739,18,38728944
2019,125062623,128543777,3,38731971
2019,125062696,128543866,3,38729017
2019,125062767,128552840,3,38720476
2019,125062776,128555398,24,38729069
2019,125069184,128543927,17,38732059
2019,125064397,128543927,19,38732058
2019,125064405,128555430,1,38720497
2019,125064416,128543941,24,38720507
2019,125064416,128543940,24,38720506
2019,125062835,128555449,24,38729109
2019,125069215,128555492,18,38720524
2019,125064440,128555492,3,38732089
2019,125072912,128555533,24,38729155
2019,125069245,128552940,24,38720545
2019,125064556,128553018,23,38720590
2019,125073042,128555678,18,38729231
2019,125064574,128553042,1,38720606
2019,125069335,128555715,14,38732162
2019,125064592,128555715,14,38729272
2019,125064591,128555715,14,38720621
2019,125073267,128555866,1,38729391
2019,125064697,128553159,4,38732222
2019,125073342,128544266,18,38732266
2019,125073342,128544268,18,38732267
2019,125073349,128544275,24,38732273
2019,125069526,128555974,22,38720752
2019,125064813,128556042,18,38720786
2019,125069627,128556080,18,38732330
2019,125073503,128556089,16,38729527
2019,125064849,128556089,16,38729528
2019,125064850,128556089,16,38720807
2019,125064851,128556089,16,38720808
2019,125063474,128551992,3,38728582
2019,125068438,128552016,21,38731626
2019,129125874,133909577,18,40380917
2019,125068447,128543162,13,38720053
2019,125061794,128543168,17,38728588
2019,125063546,128549440,5,38731635
2019,125063574,128552083,18,38720071
2019,125063581,128549470,1,38720076
2019,125061840,128549486,3,38728609
2019,125063642,128543227,24,38720105
2019,125063648,128552150,3,38720111
2019,125063713,128549581,15,38720145
2019,125063727,128549591,24,38720154
2019,125068590,128552240,18,38728668
2019,129125874,133912360,18,40380918
2019,125062106,128552357,15,38728738
2019,125064293,128543795,1,38728961
2019,125062688,128555318,21,38732013
2019,125069139,128555331,18,38732021
2019,125069139,128555332,18,38732023
2019,125069150,128543894,4,38732031
2019,125064373,128555368,5,38720468
2019,125062809,128543932,1,38732062
2019,125062823,128555437,17,38729100
2019,125069204,128555469,3,38732076
2019,125072873,128552904,24,38729129
2019,125064471,128555544,18,38720539
2019,125072932,128552949,18,38729166
2019,125064535,128555638,5,38720580
2019,125064578,128544055,24,38720610
2019,125064600,128553069,3,38720627
2019,125064635,128553099,1,38720669
2019,125073163,128555786,18,38729328
2019,125077810,128570329,18,38737486
2019,129133641,133912360,18,40380916
2019,129133641,133909577,18,40380915
2019,125067784,128570349,18,38737505
2019,129133761,133917845,18,40380972
2019,129126042,133909705,1,40380999
2019,129128681,133912526,18,40381004
2019,129128703,133909755,1,40381017
2019,129128703,133909756,1,40381018
2019,129128711,133917932,1,40381021
2019,129128739,133909861,9,40381032
2019,129128761,133917991,27,40381043
2019,129133941,133912622,18,40385935
