"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2019,6,144010409
2019,6,144010410
2019,9,144012197
2019,9,144012260
2019,9,144010774
2019,3,144005282
2019,6,144005313
2019,1,144012372
2019,6,144012397
2019,6,144010866
2019,6,144012422
2019,6,144010893
2019,6,144010914
2019,9,144005453
2019,6,144010954
2019,9,144005458
2019,6,144010957
2019,6,144005462
2019,6,144005463
2019,8,144005487
2019,9,144012491
2019,9,144005525
2019,9,144011031
2019,6,144005547
2019,8,144005547
2019,6,144011051
2019,6,144011052
2019,9,144011065
2019,9,144005570
2019,9,144011090
2019,6,144012522
2019,9,144011102
2019,6,144005636
2019,6,144011142
2019,6,144011143
2019,9,144011147
2019,6,144011164
2019,9,144005675
2019,6,144016189
2019,6,144016188
2019,6,144016207
2019,9,144016212
2019,9,144012591
2019,9,144012596
2019,8,144005726
2019,8,144012643
2019,9,144016263
2019,9,144005758
2019,9,144005764
2019,9,144012667
2019,9,144016279
2019,9,144012677
2019,9,144005796
2019,9,144016327
2019,9,144012735
2019,9,144005840
2019,9,144016376
2019,8,144012781
2019,9,144012853
2019,9,144016490
2019,9,144016564
2019,9,144012968
2019,6,144006111
2019,6,144006134
2019,9,144013052
2019,6,140646487
2019,1,140646487
2019,8,140646487
2019,1,140635727
2019,8,140635727
2019,6,140635727
2019,6,140635759
2019,6,140646546
2019,6,140646545
2019,3,140646587
2019,6,140646615
2019,6,140646617
2019,9,140651297
2019,3,140635830
2019,3,140635852
2019,9,140646673
2019,6,140635873
2019,6,140651361
2019,9,140651357
2019,9,140651362
2019,6,140651377
2019,6,140651378
2019,6,140635949
2019,6,140635960
2019,6,140636003
2019,9,140651505
2019,9,140651749
2019,9,140647279
2019,9,140656351
2019,8,140647341
2019,6,140647340
2019,6,140647388
2019,6,140647424
2019,5,140656403
2019,6,140647423
2019,9,140647471
2019,3,140647476
2019,9,140647492
2019,9,140656428
2019,9,140656449
2019,6,140647549
2019,9,140647567
2019,9,140647579
2019,6,140656495
2019,9,140656528
2019,8,140656534
2019,6,140656533
2019,9,140656545
2019,8,140647646
2019,6,140647645
2019,6,140647654
2019,6,140647664
2019,6,140656557
2019,9,140647672
2019,9,140647674
2019,6,140656575
2019,9,140656577
2019,9,140647754
2019,9,140656635
2019,6,144005271
2019,1,144005271
2019,8,144005271
2019,6,144005270
2019,6,144005277
2019,6,144005328
2019,9,144005350
2019,9,144005356
2019,6,144005358
2019,6,144010855
2019,9,144010886
2019,9,144005425
2019,9,144012454
2019,9,144012462
2019,9,144010961
2019,6,144010971
2019,9,144005484
2019,8,144005488
2019,9,144010999
2019,6,144005548
2019,6,144005550
2019,6,144005623
2019,6,144005622
2019,9,144005644
2019,6,144011167
2019,9,144005699
2019,6,144012614
2019,1,144016243
2019,9,144012632
2019,9,144005753
2019,9,144016259
2019,9,144016277
2019,9,144005773
2019,6,144016288
2019,9,144016301
2019,9,144012695
2019,6,144012723
2019,7,144012723
2019,6,144005814
2019,9,144012729
2019,9,144012738
2019,9,144012750
2019,9,144012749
2019,9,144012773
2019,9,144005896
2019,9,144005952
2019,9,144006002
2019,6,144012922
2019,1,144006020
2019,8,144016880
2019,9,144013342
2019,6,144013346
2019,9,144013357
2019,6,144013364
2019,9,144021258
2019,6,144021259
2019,9,144013382
2019,6,144021275
2019,6,144013444
2019,6,144013445
2019,9,144017055
2019,6,144017060
2019,6,144021350
2019,6,144017093
2019,9,144013487
2019,9,144013884
2019,9,144017646
2019,6,144021609
2019,9,144021641
2019,9,144013929
2019,9,144013932
2019,9,144021661
2019,9,144021663
2019,9,144013949
2019,9,136679195
2019,9,136683591
2019,9,136683652
2019,9,136683669
2019,9,136679243
2019,9,136679244
2019,9,136688834
2019,9,136683703
2019,6,136679263
2019,9,136688890
2019,9,136683758
2019,9,136679288
2019,9,136689011
2019,6,136689027
2019,9,136683850
2019,9,136683856
2019,6,136683921
2019,9,136684004
2019,6,140656815
2019,9,140656817
2019,9,140648022
2019,9,140652552
2019,6,140648241
2019,6,140656931
2019,6,140648424
2019,6,140648425
2019,6,140656978
2019,9,140648713
2019,6,140657164
2019,9,140652940
2019,9,140648867
2019,6,140648883
2019,8,140648883
2019,8,140657225
2019,6,140657225
2019,9,140652965
2019,8,140657241
2019,3,140657266
2019,6,140648922
2019,6,140657267
2019,6,140652993
2019,9,140657285
2019,9,140657295
2019,6,140657300
2019,6,140657302
2019,9,140657301
2019,9,140648979
2019,6,140657326
2019,6,140657328
2019,9,140657340
2019,9,140657347
2019,9,140649035
2019,9,140657358
2019,9,140649060
2019,9,140649094
2019,9,140657404
2019,6,140653100
2019,6,140649222
2019,6,140653148
2019,9,140657473
2019,6,140653194
2019,6,140657495
2019,6,140649321
2019,6,140653204
2019,8,140653204
2019,9,140649351
2019,9,140649365
2019,6,140649371
2019,3,140649371
2019,6,140649370
2019,6,140653228
2019,9,140649386
2019,8,140649389
2019,9,140649394
