"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2018,122373036,125803106,9,37634222
2018,122373048,125806351,5,37634232
2018,122373081,125797091,3,37637636
2018,122379319,125797183,16,37634332
2018,122373200,125797192,16,37634335
2018,122382801,125797316,15,37637802
2018,122382903,125806755,16,37637817
2018,122373457,125806836,21,37634404
2018,122383365,125807193,3,37637976
2018,122383369,125797672,18,37634499
2018,123294444,126746893,19,37998284
2018,123294544,126746974,3,38008347
2018,122373855,125803978,18,37638153
2018,122383692,125803987,17,37634606
2018,122380420,125798110,3,37642046
2018,122384123,125798178,19,37638514
2018,122384336,125808154,19,37638609
2018,122384336,125808155,18,37638610
2018,122374472,125798478,21,37635033
2018,122747398,126158670,12,37769622
2018,122384001,125804303,3,37638411
2018,122374130,125798109,16,37638450
2018,122380507,125807932,20,37642099
2018,122374245,125808014,3,37634854
2018,122384257,125798258,1,37638566
2018,122374284,125804545,19,37638578
2018,122374288,125808087,4,37642188
2018,122374289,125808087,16,37634884
2018,122380672,125804567,6,37642196
2018,122374382,125809661,24,37634936
2018,122374492,125798496,9,37635046
2018,122374586,125808547,21,37635088
2018,122384726,125808563,12,37638801
2018,122374665,125798671,1,37635115
2018,122374701,125810055,16,37635123
2018,122374702,125810055,16,37642463
2018,122386196,125810055,16,37642462
2018,122374697,125810055,16,37635122
2018,122386199,125810065,17,37642465
2018,122374734,125810084,18,37635146
2018,122374874,125810282,21,37635198
2018,122386451,125810313,4,37642577
2018,122374969,125809049,18,37635244
2018,122375066,125799047,3,37645285
2018,122375402,125799348,18,37645383
2018,122375528,125811087,18,37645430
2018,122375528,125811088,19,37645431
2018,122387318,125811092,3,37642832
2018,122391255,125814929,24,37639332
2018,122387395,125811165,24,37642867
2018,122387497,125811250,16,37642897
2018,122387497,125811251,16,37642898
2018,122375692,125815132,18,37645483
2018,122375700,125811264,17,37645485
2018,122387533,125811289,1,37642912
2018,122387552,125811302,24,37642917
2018,122387551,125811302,24,37642916
2018,122382189,125802915,5,37637432
2018,122372950,125803016,18,37634176
2018,122373032,125797037,3,37634217
2018,122373045,125803129,3,37641300
2018,122373046,125806338,24,37634228
2018,122373046,125806339,24,37637588
2018,122373046,125803131,24,37641302
2018,122373046,125806340,24,37637587
2018,122382441,125806350,18,37641314
2018,122373051,125806357,24,37637608
2018,122379218,125806390,16,37641360
2018,122373080,125803182,24,37634261
2018,122373080,125803183,24,37634262
2018,122373114,125797123,16,37634294
2018,123295563,126748177,3,37998831
2018,122373182,125797173,16,37634327
2018,122373181,125797173,16,37634324
2018,122373181,125797172,16,37634325
2018,122373182,125797172,16,37634326
2018,122373188,125803269,16,37634329
2018,122373196,125797185,16,37634333
2018,122379329,125806528,9,37641431
2018,122379461,125803407,19,37637796
2018,122382988,125806839,6,37637827
2018,122373462,125797451,16,37634407
2018,122379663,125806856,1,37641532
2018,122383095,125803678,21,37641555
2018,122373571,125797581,16,37634450
2018,122373572,125797581,16,37634451
2018,122383328,125807164,16,37637951
2018,122373654,125803822,3,37634485
2018,122380067,125807472,21,37641716
2018,123303806,126748610,3,37998964
2018,122380165,125804079,1,37641793
2018,122380373,125807810,24,37642000
2018,122384030,125798104,9,37638446
2018,122374147,125804362,1,37634809
2018,123299235,126752569,25,38009275
2018,122380599,125804499,21,37642150
2018,123299235,126748620,3,37998977
2018,122374267,125804523,21,37634857
2018,123303816,126752569,3,38009270
2018,123303816,126748620,25,37998974
2018,122384281,125804552,1,37638582
2018,123299257,126748649,24,37998988
2018,123303854,126752601,25,38009338
2018,123303854,126752602,1,38009337
2018,122374355,125798371,3,37638642
