"DATA_YEAR","BIAS_ID","OFFENSE_ID"
2018,21,129154692
2018,21,129154900
2018,21,129148455
2018,21,129148706
2018,21,129156004
2018,21,129156035
2018,21,129156054
2018,21,129156055
2018,21,129156093
2018,22,129156095
2018,21,129158407
2018,21,129149121
2018,21,129156133
2018,21,129149190
2018,21,129161226
2018,21,129161245
2018,21,129158487
2018,21,129161257
2018,21,129161277
2018,21,129149251
2018,21,129149249
2018,21,129161301
2018,21,129149265
2018,21,129161338
2018,21,129161337
2018,21,129161359
2018,21,129161358
2018,21,129161392
2018,21,129149301
2018,21,129149300
2018,21,129158561
2018,21,129149356
2018,21,129158646
2018,21,129158653
2018,21,129158654
2018,21,129158652
2018,21,129158672
2018,21,129158674
2018,21,129161657
2018,21,129161690
2018,21,129158717
2018,21,129158723
2018,21,129161747
2018,21,129161759
2018,21,129161767
2018,21,129158743
2018,21,129158746
2018,21,129158784
2018,21,129158801
2018,21,129158803
2018,21,129158802
2018,21,129149600
2018,21,129158816
2018,21,129158815
2018,21,129161958
2018,21,129158840
2018,21,129158845
2018,21,129158846
2018,21,129158850
2018,21,129158854
2018,21,129162047
2018,21,129158868
2018,21,129158869
2018,21,129158884
2018,21,129158897
2018,21,129162127
2018,21,129149704
2018,21,129149703
2018,21,129162190
2018,21,129162225
2018,21,129162247
2018,21,129162246
2018,21,129162245
2018,21,129162253
2018,21,129158964
2018,21,129162292
2018,21,129158992
2018,21,129158997
2018,21,129162320
2018,21,129162339
2018,21,129159024
2018,21,129162388
2018,21,129149903
2018,21,129162422
2018,21,129162421
2018,21,129162427
2018,21,129162449
2018,21,129162460
2018,21,129149949
2018,21,129159071
2018,21,129162493
2018,21,129159093
2018,21,129149993
2018,21,129149997
2018,21,129159112
2018,21,129150032
2018,21,129162596
2018,21,129162603
2018,21,129162609
2018,21,129150076
2018,21,129150077
2018,21,129150097
2018,21,129159193
2018,21,129162668
2018,21,129159207
2018,21,129150130
2018,21,129150129
2018,21,129150151
2018,21,129162721
2018,21,129150171
2018,21,129150174
2018,21,129162761
2018,21,129162763
2018,21,129159419
2018,21,129159418
2018,21,129150471
2018,21,129163106
2018,21,129163122
2018,21,129150505
2018,21,129163163
2018,21,129159499
2018,21,129159505
2018,21,129163203
2018,21,129163202
2018,21,129163235
2018,21,129159529
2018,21,129150588
2018,21,129150616
2018,21,129150618
2018,21,129150617
2018,21,129163271
2018,21,129163269
2018,21,129150634
2018,21,129159568
2018,21,129150651
2018,21,129163324
2018,21,129150660
2018,21,129150662
2018,21,129163352
2018,21,129150676
2018,21,129159590
2018,21,129163455
2018,21,129163454
2018,21,129163477
2018,21,129159637
2018,21,129159638
2018,21,129163517
2018,21,129163518
2018,21,129163528
2018,21,129163569
2018,21,129163584
2018,21,129159688
2018,21,129163612
2018,21,129163611
2018,21,129163621
2018,21,129159708
2018,21,129163650
2018,21,129163717
2018,21,129159748
2018,21,129150854
2018,21,129150855
2018,21,129159767
2018,21,129159776
2018,21,129163806
2018,21,129159781
2018,21,129163826
2018,21,129159824
2018,21,129150933
2018,21,129163921
2018,21,129159853
2018,21,129159872
2018,21,129159875
2018,21,129159878
2018,21,129159890
2018,21,129164030
2018,21,129159905
2018,21,129159916
2018,21,129159927
2018,21,129159928
2018,21,129164106
2018,21,129151079
2018,21,129164142
2018,21,129159958
2018,21,129151110
2018,21,129159964
2018,21,129151115
2018,21,129160011
2018,21,129160028
2018,21,129166163
2018,21,129164295
2018,21,129160035
2018,21,129160071
2018,21,129164418
2018,21,129166213
2018,21,129160096
2018,21,129164458
2018,21,129164470
2018,21,129160129
2018,21,129164532
2018,21,129164552
2018,21,129164589
2018,21,129164598
2018,21,129164597
2018,21,129164612
2018,21,129166296
2018,21,129166303
2018,21,129160195
2018,21,129160196
2018,21,129166316
2018,21,129166324
2018,21,129166331
2018,21,129164686
2018,21,129160244
2018,21,129164736
2018,21,129160424
2018,21,129160573
2018,21,129160684
2018,21,129160685
2018,21,129160688
2018,21,129160687
2018,21,129160690
2018,21,129166896
2018,21,129166912
2018,21,129166913
2018,21,129176470
2018,21,129176491
2018,21,129171858
2018,21,129168008
2018,21,129172017
2018,21,129168043
2018,21,129172075
2018,21,129176706
2018,21,129172175
2018,21,129132184
2018,21,129128623
2018,21,129128655
2018,21,129128673
2018,21,129128692
2018,21,129136711
2018,21,129136716
2018,21,129128726
2018,21,129132247
2018,21,129136731
2018,21,129136780
2018,21,129132276
2018,21,129132278
2018,21,129132277
2018,21,129132275
2018,21,129136859
2018,21,129136858
2018,21,129132333
2018,22,129136901
2018,21,129129001
2018,21,129129028
2018,21,129137100
2018,21,129137116
2018,21,129129281
2018,21,129129350
2018,21,129129352
2018,21,129132580
2018,21,129129398
2018,21,129129419
2018,21,129129422
2018,21,129129423
2018,21,129132610
2018,21,129137324
2018,21,129137326
2018,21,129137325
2018,21,129129479
2018,21,129132631
2018,21,129129506
2018,21,129132640
2018,21,129137407
2018,21,129132653
2018,21,129132652
2018,21,129129587
2018,21,129129598
2018,21,129137433
2018,21,129129630
2018,21,129129652
2018,21,129132690
2018,21,129129771
2018,21,136687690
2018,21,129137574
2018,21,129132829
2018,21,129137624
2018,21,129130017
2018,21,129137666
2018,21,129130103
2018,21,129132872
2018,21,129137694
2018,21,129137699
2018,21,129130151
2018,21,129137710
2018,21,136687689
2018,21,136687691
2018,21,136678783
2018,21,129130173
2018,21,129130189
2018,21,129130214
2018,21,129130239
2018,21,129130244
2018,21,129137781
2018,21,129132939
2018,21,129132955
2018,21,129130308
2018,21,129138005
2018,21,129138006
2018,21,136687696
2018,21,129138020
2018,21,129130568
2018,21,129130687
2018,21,129138136
2018,21,136687722
2018,21,129138333
2018,21,136687732
2018,21,136687736
2018,21,129138364
2018,21,129131083
2018,21,129138393
2018,21,129138410
2018,21,129138427
2018,21,129138447
2018,21,129141209
2018,21,129141208
2018,21,129141234
2018,21,129138473
2018,21,129138485
2018,21,129138492
2018,21,129133461
2018,21,129133468
2018,21,129133497
2018,21,129141399
2018,21,129138557
2018,21,129141423
2018,21,129141435
2018,21,129138597
2018,21,129138605
2018,21,129138613
2018,21,129133552
2018,21,129138624
2018,21,129133678
2018,21,136687744
2018,21,129141720
2018,21,129138783
2018,21,129141746
2018,21,136687748
2018,21,136687759
2018,21,136687785
2018,21,136682817
2018,21,136682820
2018,21,136687799
2018,21,136687803
2018,21,136687804
2018,21,136687808
2018,21,136687826
