"DATA_YEAR","SUSPECT_USING_ID","OFFENSE_ID"
2018,4,119729031
2018,4,119729210
2018,3,119729931
2018,1,119730002
2018,3,119730002
2018,1,119729999
2018,3,119729999
2018,4,119730130
2018,4,119730257
2018,4,119730293
2018,4,119730446
2018,4,119730486
2018,4,119730614
2018,4,119730647
2018,4,119730701
2018,4,119732787
2018,4,119732831
2018,4,119732896
2018,4,119732970
2018,4,119732971
2018,4,119733036
2018,4,119733100
2018,4,119733111
2018,4,119733168
2018,4,119733228
2018,4,119733227
2018,4,119733291
2018,4,119733405
2018,4,119733486
2018,4,119733605
2018,4,119733717
2018,4,119733973
2018,4,119734023
2018,4,119734015
2018,4,119734188
2018,4,119734267
2018,4,119734311
2018,4,119734308
2018,4,119734384
2018,4,119734426
2018,4,119734545
2018,4,119734731
2018,4,119734737
2018,4,119734939
2018,4,119734990
2018,4,119735475
2018,4,119735471
2018,4,119736347
2018,3,119736399
2018,4,119736520
2018,4,119736585
2018,4,119736648
2018,4,119736666
2018,4,119736780
2018,4,119736836
2018,4,119736968
2018,4,119737065
2018,4,119737092
2018,4,119737212
2018,4,119737284
2018,4,119737330
2018,4,119737536
2018,4,119737570
2018,1,119738506
2018,3,119739637
2018,4,119739671
2018,4,119739702
2018,4,119740245
2018,4,119740594
2018,4,119740636
2018,4,119740699
2018,4,119740768
2018,4,119740781
2018,4,119740791
2018,4,119740845
2018,4,119741955
2018,4,119742221
2018,4,119742301
2018,4,119742391
2018,4,119742450
2018,4,119742650
2018,4,119742692
2018,4,119742823
2018,4,119742845
2018,4,119742928
2018,4,119743015
2018,4,119743011
2018,4,119743659
2018,4,119743822
2018,4,119743919
2018,4,119744046
2018,4,119745339
2018,4,119745420
2018,4,119746446
2018,4,119746568
2018,4,119746599
2018,1,119746684
2018,4,119747061
2018,4,119747164
2018,3,119747181
2018,4,119747279
2018,4,119747332
2018,4,119747406
2018,4,119747491
2018,4,119747691
2018,4,119747768
2018,4,119747767
2018,4,119747807
2018,4,119747837
2018,4,119747827
2018,4,119747911
2018,4,119747959
2018,4,119748031
2018,4,119748029
2018,4,119748524
2018,4,119748522
2018,4,119748551
2018,4,119748580
2018,4,119748578
2018,4,119748985
2018,4,119749110
2018,4,119749205
2018,4,119749272
2018,4,119749339
2018,4,119749455
2018,4,119749469
2018,4,119749535
2018,4,119749570
2018,4,119749900
2018,4,119750024
2018,4,119750149
2018,4,119750106
2018,4,119750329
2018,4,119750410
2018,4,119750411
2018,4,119750590
2018,4,119750650
2018,4,119750696
2018,4,119750748
2018,4,119750790
2018,4,119750851
2018,4,119750881
2018,1,119750889
2018,4,119751345
2018,4,119751498
2018,4,119751552
2018,4,119751667
2018,4,119751669
2018,4,119751709
2018,4,119751870
2018,4,119751965
2018,4,119752018
2018,4,119752031
2018,4,119752088
2018,3,119752634
2018,4,119777879
2018,2,119778037
2018,4,119778189
2018,4,119778249
2018,4,119778364
2018,4,119778357
2018,4,119778588
2018,4,119778682
2018,4,119778897
2018,4,119778957
2018,4,119779482
2018,4,119779481
2018,4,119779690
2018,4,119779740
2018,4,119779782
2018,4,119779895
2018,4,119780005
2018,4,119780071
2018,4,119780288
2018,4,119780328
2018,4,119780443
2018,4,119780698
2018,4,119780820
2018,4,119781022
2018,4,119781089
2018,4,119781285
2018,4,119781391
2018,4,119781461
2018,4,119781464
2018,4,119781498
2018,4,121478573
2018,4,121478779
2018,4,121478830
2018,4,121478828
2018,4,121478831
2018,4,121478912
2018,4,121479036
2018,4,121479245
2018,4,121479299
2018,4,121479325
2018,4,121479326
2018,4,121479323
2018,4,121479401
2018,4,121479584
2018,4,121479575
2018,4,121479624
2018,4,121479758
2018,4,121479785
2018,4,121479958
2018,4,121479991
2018,4,121480025
2018,4,121480043
2018,4,121480150
2018,4,121480269
2018,4,121480295
2018,4,121480297
2018,4,121480494
2018,4,121480602
2018,4,121480700
2018,4,121480935
2018,1,121481083
2018,3,121481083
2018,1,121481080
2018,3,121481080
2018,1,121481074
2018,3,121481074
2018,1,121481065
2018,3,121481065
2018,4,121481059
2018,4,121481292
2018,4,121481551
2018,4,121481567
2018,4,121481571
2018,4,121481564
2018,4,121481654
2018,4,121481775
2018,4,121481860
2018,4,121481935
2018,4,121481933
2018,4,121482126
2018,4,121482168
2018,4,121482292
2018,4,121482288
2018,4,121482372
2018,4,121482478
2018,4,121482822
2018,4,121483100
2018,4,121483230
2018,4,121483296
2018,4,121483330
2018,3,121483350
2018,3,121483352
2018,4,121483379
2018,4,121483496
2018,4,121483560
2018,1,121483650
2018,4,121483694
2018,4,121483735
2018,4,121483865
2018,4,121483867
2018,4,121483942
2018,4,121484150
2018,4,121484250
2018,4,121484249
2018,4,121484298
2018,4,121484389
2018,4,121484414
2018,4,121484487
2018,4,121484484
2018,1,121484511
2018,4,121484535
2018,4,121484538
2018,4,121484625
2018,4,121484682
2018,4,121484680
2018,4,121484814
2018,4,121484842
2018,4,121484859
2018,4,121484871
2018,4,121484952
2018,4,121485026
2018,4,121485045
2018,4,121485043
2018,4,121485089
2018,4,121485078
2018,4,121486089
2018,1,121486104
2018,4,121486131
2018,4,121486191
2018,4,121486499
2018,4,121486549
2018,4,121486754
2018,4,121486803
2018,4,121486885
2018,4,121487088
2018,4,121487150
2018,4,121487221
2018,4,121487357
2018,4,121487424
2018,4,121487421
2018,4,121487509
2018,4,121487704
2018,1,121487782
2018,4,121487917
2018,4,121488741
2018,4,121488837
2018,4,121488841
2018,4,121488943
2018,4,121489053
2018,4,121489052
2018,4,121489106
2018,4,121489221
2018,4,121489252
2018,4,121489322
2018,4,121489347
2018,4,121489369
2018,4,121489366
2018,4,121489408
2018,4,121489458
2018,4,121489486
2018,3,121489595
2018,3,121489600
2018,3,121489640
2018,3,121489641
2018,4,121528086
2018,4,121528149
2018,4,121528210
2018,4,121529659
2018,4,121529672
2018,4,121530027
2018,4,121530029
2018,4,121530447
2018,3,121530543
2018,4,121530541
2018,4,121530936
2018,4,121531901
2018,4,121531900
2018,4,121532553
2018,4,121532903
2018,4,121533109
2018,4,121533537
2018,4,121533712
2018,4,121533833
2018,4,121536053
2018,4,121536414
2018,4,121536730
2018,4,121536824
2018,4,121536826
2018,4,121536821
2018,4,121537180
2018,4,121537371
