"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2018,107357018,36,16000,,115367119
2018,107357018,37,35000,,115367118
2018,107352984,19,11,,115358784
2018,107352981,19,11,05-NOV-18,115362982
2018,107352982,10,,,115358781
2018,107360509,63,200,,115367133
2018,107353004,16,50,,115358807
2018,107360533,63,3500,,115358818
2018,107353014,19,1033,,115363043
2018,107360547,19,131,,115363064
2018,107357089,19,131,20-NOV-18,115363063
2018,107357094,36,200,,115363067
2018,107357098,10,,,115367169
2018,107360562,29,200,,115358849
2018,107357117,3,1000,,115367182
2018,107353056,61,800,,115363095
2018,107357120,10,,,115363097
2018,107353069,38,500,,115367197
2018,107357159,31,1500,,115363134
2018,107360605,20,475,,115358904
2018,107353124,3,500,,115358931
2018,107357236,62,174,,115367264
2018,107357241,20,739,,115363198
2018,107353156,63,30,,115358973
2018,107357260,63,30,20-NOV-18,115363217
2018,107353160,23,390,,115358981
2018,107353163,6,46,24-NOV-18,115363227
2018,107353164,6,46,,115358987
2018,107357290,13,1300,,115363246
2018,107357304,21,1,,115363260
2018,107357328,16,199,,115363296
2018,107357328,26,298,,115363295
2018,107353203,3,15000,13-NOV-18,115359034
2018,107353204,3,15000,,115359035
2018,107357332,25,10,,115363301
2018,107357332,63,1000,,115363302
2018,107360696,3,12000,,115363307
2018,107360696,9,0,,115363309
2018,107360696,20,20,,115367323
2018,107357336,3,1,25-OCT-18,115363305
2018,107360696,36,100,,115363308
2018,107357367,29,50,,115363349
2018,107357387,63,200,,115367392
2018,107353261,38,1200,,115363381
2018,107353301,3,4000,,115359180
2018,107353299,3,4000,10-NOV-18,115359179
2018,107357472,25,25,,115367489
2018,107357472,63,0,,115363495
2018,107357472,9,0,,115363494
2018,107357479,20,1,,115367499
2018,107357480,26,150,,115359213
2018,107357489,4,8000,,115363518
2018,107353339,20,846,,115359238
2018,107357496,20,846,12-NOV-18,115367512
2018,107360879,36,100,,115367554
2018,107353368,3,1000,,115367560
2018,107353367,3,1000,26-NOV-18,115359283
2018,107353375,38,700,,115367572
2018,107357536,38,150,,115367573
2018,107353639,37,1000,,115367871
2018,107353638,37,1000,29-NOV-18,115367870
2018,107361148,10,,,115359616
2018,107353673,63,250,,115359630
2018,107361160,63,235,,115359635
2018,107361160,16,48,,115359631
2018,107353700,24,2000,,115359651
2018,107353700,13,100,,115359652
2018,107353702,3,5500,,115359654
2018,107353701,3,5500,09-NOV-18,115359653
2018,107357854,63,26,,115363961
2018,107357852,63,26,25-OCT-18,115363959
2018,107353790,24,200,,115367955
2018,107361229,10,,,115359748
2018,107361229,11,5,,115364046
2018,107357958,4,400,,115367989
2018,107353830,63,300,,115359785
2018,107358088,63,12,,115364239
2018,107358120,6,20,,115359903
2018,107358120,36,438,,115359900
2018,107353985,3,1,24-OCT-18,115359981
2018,107353986,3,1,,115359982
2018,107354002,37,1,,115368187
2018,107354001,37,1,25-SEP-18,115360004
2018,107354002,3,1,,115368186
2018,107358271,43,1400,,115364492
2018,107358271,16,100,,115364490
2018,107358271,62,500,,115364491
2018,107358278,43,100,,115364500
2018,107358278,6,300,,115364501
2018,107341229,67,1,,115337204
2018,107335542,16,150,,115335304
2018,107333430,38,1,,115325771
2018,107333436,36,1,,115337225
2018,107341290,26,300,,115335352
2018,107335601,63,200,,115325822
2018,107333534,16,1,,115337334
2018,107341349,23,1000,,115335429
2018,107341349,7,800,,115335428
2018,107335616,38,200,,115335427
2018,107333554,3,1,,115337351
2018,107333552,3,1,29-OCT-18,115325838
2018,107341376,36,100,,115335454
2018,107335623,36,100,31-OCT-18,115325841
2018,107333639,10,,,115325892
2018,107333639,20,137,,115335531
2018,107341442,3,1200,,115335539
2018,107341644,63,300,,115335774
2018,107334069,25,1,,115335789
2018,107341657,24,1,,115335787
2018,107334107,19,1,,115337988
2018,107341685,3,1,,115337986
2018,107341685,38,100,,115335818
2018,107334107,63,161,,115326115
2018,107334107,25,2,,115335824
2018,107334107,16,1,,115326114
2018,107334107,9,0,,115337987
2018,107341733,63,90,,115338066
2018,107335869,7,500,,115326162
2018,107344207,16,100,,115326165
2018,107341817,16,79,,115326205
2018,107341827,23,600,,115326210
2018,107341844,63,1,,115338236
2018,107341868,3,2000,,115336005
2018,107341866,3,1500,31-OCT-18,115336004
2018,107344376,19,200,,115338307
2018,107344388,63,300,,115338324
2018,107341939,38,100,,115336079
2018,107341938,3,100,,115336078
2018,107336017,6,60,,115326350
2018,107336034,19,2,,115326374
2018,107344540,37,40,,115336190
2018,107336038,63,100,,115338487
2018,107336038,36,600,,115338485
2018,107336045,16,122,,115336211
2018,107344564,16,122,20-SEP-18,115336206
2018,107344564,23,13,20-SEP-18,115338508
2018,107344564,19,36,20-SEP-18,115336208
2018,107336045,23,13,,115336213
2018,107336045,19,36,,115338512
2018,107336045,63,46,,115338514
2018,107344564,63,46,20-SEP-18,115338509
2018,107344574,20,800,,115338525
2018,107342082,20,1,,115338580
2018,107336086,19,60,,115338600
2018,107336089,20,3000,,115336284
2018,107336088,3,3000,,115338607
2018,107336096,23,700,,115336289
2018,107344698,36,700,,115338672
2018,107336131,63,500,,115326465
2018,107344772,36,287,,115338753
2018,107344772,8,74,,115326504
2018,107342159,3,1,,115336374
2018,107344772,63,54,,115326507
2018,107344772,25,35,,115336377
2018,107344772,16,864,,115336376
2018,107344772,26,54,,115338751
2018,107344844,38,280,,115338844
2018,107336250,3,13359,,115338912
2018,107336250,38,2000,,115338913
2018,107344906,3,200,,115336500
2018,107344933,16,30,,115338946
2018,107344933,7,300,,115336522
2018,107344972,3,1,,115338996
2018,107342326,63,630,,115339024
2018,107345025,3,2000,,115326669
2018,107345025,38,200,,115339065
2018,107345042,3,1,,115336659
2018,107345045,63,22,,115339083
2018,107345045,25,213,,115336661
2018,107345053,63,131,,115339093
2018,107345097,10,,,115339138
2018,107345107,22,0,,115339146
2018,107345107,25,2000,,115326719
2018,107342436,63,1,,115336728
2018,107336384,26,500,,115339155
2018,107336384,17,1,,115339154
2018,107336384,67,1,,115326724
2018,107345144,63,0,,115326739
2018,107342492,19,35,14-OCT-18,115326755
2018,107336419,19,35,,115336790
2018,107342506,3,150,,115336805
2018,107345183,6,200,,115326770
2018,107336477,63,1,,115336887
2018,107336484,3,300,,115339350
2018,107345272,7,300,,115339352
2018,107342580,3,100,,115326823
2018,107342580,26,15,,115336908
2018,107342580,16,20,,115326825
2018,107336500,23,1000,,115336930
2018,107336500,9,0,,115336929
2018,107345298,38,400,,115339378
2018,107336500,63,60,,115326836
2018,107336500,25,100,,115339381
2018,107345319,38,1,,115339394
2018,107345330,3,1000,,115326855
2018,107345331,25,50,,115339406
2018,107342637,24,7600,,115339454
2018,107336559,16,200,,115339518
2018,107336558,37,500,,115326919
2018,107345442,3,1254,,115337041
2018,107342686,16,90,,115337043
2018,107342686,63,625,,115339525
2018,107342686,6,544,,115339524
2018,107345463,3,500,,115339553
2018,107345465,6,500,,115339557
2018,107336632,63,115,,115342152
2018,107345589,16,200,,115339691
2018,107336645,16,200,28-OCT-18,115327025
2018,107336653,20,1,,115339707
2018,107342839,38,300,,115342214
2018,107342840,16,60,,115342216
2018,107345685,3,300,,115339797
2018,107345692,9,0,,115339803
2018,107342878,20,4000,,115342256
2018,107336700,63,60,,115339818
2018,107342910,15,60000,05-OCT-18,115339854
2018,107345744,16,200,,115347137
2018,107345764,63,300,,115339893
2018,107345764,36,250,,115347147
2018,107336736,10,,,115342329
2018,107345795,38,60,,115342357
2018,107345835,59,1,,115339963
2018,107345834,59,1,04-OCT-18,115339962
2018,107343049,47,0,,115342471
2018,107336798,3,1,02-OCT-18,115347237
2018,107343049,38,1,,115340104
2018,107343049,3,1,,115342470
2018,107345916,3,1,,115340103
2018,107343085,3,50,,115340157
2018,107343103,19,735,04-OCT-18,115340187
2018,107345971,19,735,,115342542
2018,107336830,38,1,,115347285
2018,107345982,8,10,,115347290
2018,107345987,20,2314,,115342570
2018,107336834,19,600,,115340217
2018,107336834,9,0,,115347299
2018,107346050,3,1,,115347334
2018,107346060,45,400,,115342666
2018,107346060,6,400,,115342664
2018,107343189,36,1350,,115342689
2018,107336900,31,300,,115340400
2018,107346142,7,3200,,115342744
2018,107336916,7,690,,115340447
2018,107336916,26,200,,115347395
2018,107336916,63,200,,115347396
2018,107336928,37,1,,115340471
2018,107346173,63,50,,115342771
2018,107346177,7,500,09-OCT-18,115347421
