"DATA_YEAR","VICTIM_ID","INJURY_ID"
2018,110585894,5
2018,110585904,4
2018,110574830,5
2018,110590574,5
2018,110574897,4
2018,110590673,4
2018,110586089,5
2018,110575104,4
2018,110575117,4
2018,110590817,4
2018,110590818,4
2018,110586287,5
2018,110586350,4
2018,110586369,5
2018,110586408,5
2018,110575275,5
2018,110586485,5
2018,110591006,5
2018,110591012,4
2018,110586517,5
2018,110591114,5
2018,110586778,4
2018,110595672,4
2018,110595673,4
2018,110591273,5
2018,110591354,3
2018,110595835,5
2018,110586940,4
2018,110591458,5
2018,110591481,4
2018,110596079,5
2018,110591737,4
2018,110587238,4
2018,110591775,5
2018,110592015,5
2018,110596404,5
2018,110587586,4
2018,110592158,4
2018,110587601,4
2018,110587631,5
2018,110592319,5
2018,110596583,4
2018,110587774,4
2018,110587775,5
2018,110592381,5
2018,110592389,5
2018,110592427,4
2018,110587878,5
2018,110587880,5
2018,110592510,5
2018,110592530,5
2018,110587912,5
2018,110587913,5
2018,110592556,5
2018,110587945,5
2018,110592959,5
2018,110588298,4
2018,110597152,4
2018,110597158,4
2018,110593091,5
2018,110597168,5
2018,110588418,5
2018,110597234,5
2018,110597275,5
2018,110593616,4
2018,110588772,5
2018,110588771,5
2018,110588809,4
2018,110593668,5
2018,110588960,4
2018,110597901,4
2018,110589174,4
2018,110589231,5
2018,110589432,5
2018,110589505,4
2018,110589515,5
2018,110589523,4
2018,110594461,4
2018,110594478,5
2018,110594578,4
2018,110594641,6
2018,110589765,5
2018,110594739,5
2018,110598574,5
2018,110594800,4
2018,110594925,4
2018,110589921,5
2018,110594971,5
2018,110589967,4
2018,110590025,6
2018,110590045,5
2018,110595097,5
2018,110590058,5
2018,110598845,5
2018,110595234,5
2018,110595232,5
2018,110595256,4
2018,110595265,5
2018,110598944,4
2018,110595401,4
2018,110595408,4
2018,110600469,4
2018,110590427,5
2018,110600491,5
2018,110605562,5
2018,110599379,4
2018,110600856,5
2018,110600876,4
2018,110600944,5
2018,110601043,8
2018,110606243,4
2018,110601330,4
2018,110606264,5
2018,110606442,5
2018,110600038,5
2018,110601720,4
2018,110600172,4
2018,110606738,5
2018,110606870,4
2018,110606886,5
2018,110606977,5
2018,110607895,4
2018,123207170,5
2018,123198323,4
2018,123208758,4
2018,123198802,5
2018,123198803,4
2018,123199304,5
2018,123199369,5
2018,123209479,4
2018,123209494,5
2018,123210429,4
2018,123204465,5
2018,123200403,5
2018,123210706,5
2018,123200429,5
2018,123204541,5
2018,123200426,5
2018,123196762,4
2018,123196767,5
2018,123201541,5
2018,123201542,5
2018,123196789,5
2018,123196792,4
2018,123201548,6
2018,123197377,4
2018,123207300,1
2018,110616132,8
2018,110614283,5
2018,110616143,6
2018,110621084,5
2018,110616198,5
2018,110614396,5
2018,110614514,5
2018,110621278,4
2018,110621401,5
2018,110614755,5
2018,110616543,5
2018,110614817,5
2018,110621656,4
2018,110614898,5
2018,110621912,4
2018,110616920,4
2018,110615179,4
2018,110616971,5
2018,110622013,5
2018,110615292,5
2018,110615291,5
2018,110615363,5
2018,110622568,5
2018,110622924,5
2018,110622971,5
2018,110623133,6
2018,110623147,5
2018,110623148,5
2018,110623550,6
2018,110623627,5
2018,110623646,2
2018,110623646,3
2018,110623647,5
2018,110623707,4
2018,110623731,4
2018,110627233,4
2018,110623818,5
2018,110623971,5
2018,110624081,4
2018,110624119,5
2018,110618359,5
2018,110624206,5
2018,110627550,5
2018,110624236,5
2018,110624261,4
2018,110624305,5
2018,110624423,6
2018,110624511,5
2018,110627849,5
2018,110624650,5
2018,110618602,5
2018,110624692,5
2018,110624704,5
2018,110627953,2
2018,110618661,5
2018,110618663,5
2018,110618685,4
2018,110624824,4
2018,110628010,5
2018,110624842,5
2018,110624933,4
2018,110618732,2
2018,110618732,4
2018,110628126,5
2018,110625053,5
2018,110628224,5
2018,110628237,3
2018,110628237,2
2018,110625249,4
2018,110625267,5
2018,110628473,5
2018,110628468,5
2018,110625355,5
2018,110618956,5
2018,110625400,4
2018,110630474,5
2018,110619055,5
2018,110630621,5
2018,110628718,4
2018,110630692,5
2018,110619131,4
2018,110628799,4
2018,110630748,4
2018,110630749,4
2018,110630811,4
2018,110630939,5
2018,110630938,5
2018,110628918,5
2018,110631043,4
2018,110619314,5
2018,110631159,5
2018,110619341,5
2018,110631205,4
2018,110631252,5
2018,110631261,4
2018,110631265,2
2018,110619398,5
2018,110629192,5
2018,110629210,5
2018,110631416,4
2018,110631689,4
2018,110631703,5
2018,110631731,5
2018,110629568,2
2018,110629583,5
2018,110629585,5
2018,110629631,5
2018,110631903,5
2018,110629648,5
2018,110631994,5
2018,110632060,4
2018,110629806,4
2018,110629807,4
2018,110629839,5
2018,110632258,4
2018,110619859,5
2018,110619960,5
2018,110630224,5
2018,110632576,4
2018,110632606,5
2018,110630266,8
2018,110630266,3
2018,110630372,2
2018,110635500,8
2018,110620191,4
2018,110620191,2
2018,110620215,5
2018,110635596,4
2018,110620263,5
2018,110635719,4
2018,110620346,6
2018,110635794,4
2018,110633349,5
2018,110635853,4
2018,110635872,4
2018,110633430,2
2018,110633430,8
2018,110633430,4
2018,110635888,1
2018,110635903,6
2018,110633514,5
2018,110633647,5
2018,110633689,5
2018,110633690,5
2018,110636068,5
2018,110633741,5
2018,110633778,2
2018,110636155,4
2018,110633848,5
2018,110640599,4
2018,110633906,4
2018,110640646,4
2018,110633987,5
2018,110634078,5
2018,110634127,5
2018,110636470,4
2018,110640791,4
2018,110636502,4
2018,110636517,5
2018,115410157,5
2018,115405255,4
2018,115405266,5
2018,115410301,5
2018,115411197,7
2018,115411197,4
2018,115410312,5
2018,115410320,5
2018,115405378,4
2018,115411219,4
2018,115411218,4
2018,115411222,4
2018,115411275,5
2018,115411363,5
2018,115405616,4
2018,115411099,5
2018,115411124,5
2018,115405953,4
2018,115411678,5
2018,115416126,5
2018,115411687,4
2018,115416139,5
2018,115405976,4
2018,115416175,5
2018,115416181,4
2018,115406008,5
2018,115406017,4
2018,115406020,4
2018,115416237,4
2018,115406031,5
2018,115406046,4
2018,115406049,5
2018,115406060,5
2018,115416318,4
2018,115406080,4
2018,115406087,4
2018,115406097,4
2018,115406092,4
2018,115406093,4
2018,122372914,4
2018,122379025,4
2018,122379129,4
2018,122382398,4
2018,122379133,5
2018,122382405,4
2018,122379136,4
2018,122379140,4
2018,122379143,4
2018,115416145,5
2018,115411702,4
2018,122379145,5
2018,122373037,4
2018,122379157,5
2018,115416559,4
2018,115421211,4
2018,122382424,4
2018,122382425,4
2018,122379158,4
2018,122379159,4
2018,115411980,4
2018,115421246,4
2018,122379160,4
2018,122379165,4
2018,122379167,5
2018,115421419,5
2018,115421421,5
2018,115421420,5
2018,115416876,4
2018,122382433,4
2018,122382436,4
2018,122379175,4
2018,122379180,5
2018,122382444,5
2018,122382452,6
2018,122379365,4
2018,122379380,5
2018,122382688,5
2018,122382754,4
2018,122382754,8
2018,122379447,4
2018,122382773,6
2018,122382773,4
2018,122373335,4
2018,122379480,8
2018,122373062,5
2018,122379200,5
2018,122379201,6
2018,115417661,5
2018,115417678,4
2018,115417681,5
2018,115421907,4
2018,115412485,5
2018,115421910,5
2018,115421933,5
2018,115417737,5
2018,115412534,4
2018,115417790,4
2018,115412564,5
2018,122379220,5
2018,122379221,5
2018,122382478,5
2018,122382480,3
2018,122382484,5
2018,122373082,5
2018,122379222,5
2018,115422141,4
2018,115422144,1
2018,115412672,4
2018,115418001,1
2018,115418037,4
2018,115418036,4
2018,122379254,5
2018,122379260,5
2018,122379284,6
2018,122379300,5
2018,122379301,5
2018,122379310,5
2018,122379321,4
2018,122379324,4
2018,122379363,2
2018,122379481,5
2018,122379503,5
2018,122379502,5
2018,122379505,4
2018,122382984,4
2018,122382993,4
2018,122379662,4
2018,122383005,4
2018,122379667,4
2018,122379670,4
2018,122383025,4
2018,112627002,5
2018,112627019,4
2018,112627069,6
2018,112631298,4
2018,112631299,4
2018,112623438,4
2018,112631308,5
2018,112627110,5
2018,112627112,4
2018,112623443,4
2018,112623478,4
2018,112631324,5
2018,112627162,5
2018,112631335,5
2018,112627169,4
2018,112623518,4
2018,112627247,4
2018,112623593,3
2018,112623600,4
2018,112623649,4
2018,112627339,5
2018,112623658,4
2018,112631425,6
2018,112627356,8
2018,112623678,5
2018,112627371,5
2018,112631437,5
2018,112623688,5
2018,112623706,2
2018,112631459,4
2018,112631468,5
2018,112631472,4
2018,112631473,4
2018,112627468,4
2018,112623782,5
2018,112627618,5
2018,112623891,4
2018,112627644,5
2018,112623926,4
2018,112623987,4
2018,112623994,4
2018,112627773,4
2018,112627777,4
2018,112627792,4
2018,112627859,5
2018,112627861,5
2018,112627862,5
2018,112631744,5
2018,112631748,5
2018,112631749,5
2018,115422886,4
2018,115422884,5
2018,115422400,4
2018,115412895,4
2018,115418361,4
2018,115412911,4
2018,115418381,4
2018,115422459,4
2018,115418431,4
2018,115422465,4
2018,115418443,4
2018,115422552,5
2018,115418538,5
2018,115422556,4
2018,115422633,4
2018,115413050,4
2018,115418748,4
2018,115422740,4
2018,115422739,5
2018,115422761,4
2018,115418824,4
2018,115418828,5
2018,115422799,5
2018,115422852,5
2018,115418961,2
2018,115422880,5
2018,115405293,4
2018,115411224,4
2018,115405599,1
2018,115411663,5
2018,115405943,4
2018,115416192,8
2018,115406010,3
2018,115406025,4
2018,115406042,5
2018,115406051,4
2018,115406065,4
2018,115406084,4
2018,115406085,4
2018,115411941,4
2018,115416874,5
2018,115416894,4
2018,115421927,5
2018,115412494,5
2018,115418011,5
2018,115418017,5
2018,115422461,3
2018,112580817,5
2018,112584770,5
2018,112586166,4
2018,112584780,4
2018,112586173,4
2018,112580841,4
2018,112586180,1
2018,112584792,5
2018,112584794,4
2018,112584793,4
2018,112584797,4
2018,112586184,4
2018,112580850,4
2018,112580852,4
2018,112586188,5
2018,112580856,5
2018,112586204,4
2018,112586206,4
2018,112586207,4
2018,112584816,5
2018,112586213,5
2018,112584820,4
2018,112580882,4
2018,112580886,5
2018,112584823,5
2018,112584836,4
2018,112586237,4
2018,112580906,4
2018,112580909,4
2018,112586254,4
2018,112586255,5
2018,112584858,5
2018,112586265,4
2018,112586271,5
2018,112584870,5
2018,112586282,5
2018,112580940,4
2018,112580939,4
2018,112586289,4
2018,112586299,4
2018,112580952,5
2018,112580957,5
2018,112580965,4
2018,112580968,5
2018,112580971,4
2018,112580970,4
2018,112580967,4
2018,112580973,4
2018,112584892,4
2018,112580994,4
2018,112580995,4
2018,112584904,4
2018,112580997,1
2018,112581000,4
2018,112586332,4
2018,112581007,4
2018,112581016,4
2018,112581018,4
2018,112581020,5
2018,112586336,4
2018,112586339,4
2018,112586337,4
2018,112586352,4
2018,112581053,4
2018,112584933,4
2018,112586360,5
2018,112584934,5
2018,112584949,5
2018,112586374,4
2018,112586381,4
2018,112586387,5
2018,112586389,4
2018,112586391,5
2018,112581089,4
2018,112584978,5
2018,112584993,4
2018,112581117,4
2018,112591133,5
2018,112586427,5
2018,112586430,5
2018,112585010,4
2018,112591144,2
2018,112591150,5
2018,112591151,5
2018,112591224,5
2018,112591226,5
2018,112586481,4
2018,112585083,4
2018,112591276,4
2018,112585086,4
2018,112591283,4
2018,112586527,4
2018,112585094,4
