"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2018,30669613,103079221,1,06-DEC-18,2,"N",2,5,26,"M",2,3,"","","",26,0
2018,30667851,103079235,1,07-NOV-18,2,"N",34,5,14,"M",1,3,"","H","",14,0
2018,30673929,103083515,1,13-DEC-18,1,"N",35,5,25,"M",1,2,"N","","",25,0
2018,30673934,103074935,1,28-FEB-18,3,"N",11,5,46,"M",1,2,"N","","",46,0
2018,30669706,103083632,1,11-DEC-18,3,"N",51,5,52,"M",4,2,"N","","",52,0
2018,30669709,103079754,1,13-DEC-18,3,"N",11,5,39,"M",1,1,"N","","",39,0
2018,30673982,103079814,1,21-DEC-18,3,"N",51,5,31,"M",2,2,"R","","",31,0
2018,30669720,103079866,1,29-DEC-18,3,"N",51,5,58,"F",1,2,"R","","",58,0
2018,31251635,105031336,1,29-AUG-18,3,"N",16,5,40,"M",2,2,"","","",40,0
2018,31251638,105026618,1,30-AUG-18,2,"N",23,5,40,"M",1,2,"","","",40,0
2018,31259609,105026730,1,19-SEP-18,2,"N",23,5,44,"M",1,2,"","","",44,0
2018,30674125,103075665,1,05-DEC-18,2,"N",5,5,24,"F",1,2,"","","",24,0
2018,30674132,103080571,1,09-DEC-18,2,"N",45,5,29,"M",1,2,"","","",29,0
2018,30674166,103075806,1,27-DEC-18,1,"N",27,5,56,"M",1,2,"","","",56,0
2018,30674168,103080704,1,28-DEC-18,2,"N",51,5,49,"M",1,2,"","","",49,0
2018,30669879,103084402,1,30-DEC-18,1,"N",51,5,37,"M",3,2,"","","",37,0
2018,31256707,105026742,1,20-SEP-18,2,"N",23,5,31,"F",1,1,"","","",31,0
2018,31256710,105026749,1,21-SEP-18,2,"N",23,5,18,"F",4,2,"","","",18,0
2018,31259619,105031432,1,28-SEP-18,2,"N",45,5,14,"M",2,2,"","R","",14,0
2018,31259620,105031434,1,29-SEP-18,2,"N",23,5,25,"M",1,2,"","","",25,0
2018,31256729,105026829,1,02-OCT-18,3,"N",28,5,27,"M",1,2,"","","",27,0
2018,30669895,103075896,1,23-OCT-18,2,"N",51,5,32,"M",2,2,"N","","",32,0
2018,30674539,103092331,1,02-DEC-18,1,"N",51,5,30,"M",1,2,"R","","",30,0
2018,30670227,103085886,1,14-DEC-18,1,"N",51,5,43,"F",1,2,"R","","",43,0
2018,30674557,103087561,1,19-DEC-18,1,"N",5,5,24,"M",1,2,"R","","",24,0
2018,30668433,103087670,1,31-DEC-18,1,"N",16,5,37,"F",1,2,"","","",37,0
2018,30668457,103086043,1,23-SEP-18,1,"N",27,5,33,"M",1,2,"","","",33,0
2018,30668461,103087800,1,03-NOV-18,3,"N",48,5,28,"M",1,2,"","","",28,0
2018,30670274,103087839,1,12-AUG-18,3,"N",21,5,46,"M",1,2,"R","","",46,0
2018,30670286,103087923,1,07-DEC-18,3,"N",16,5,27,"M",2,2,"R","","",27,0
2018,30674673,103087951,1,15-OCT-18,1,"N",16,5,35,"F",4,2,"R","","",35,0
2018,30674677,103087961,1,27-DEC-18,2,"N",48,5,16,"M",1,2,"R","H","",16,0
2018,30668473,103088015,1,10-DEC-18,1,"N",27,5,34,"M",1,2,"N","","",34,0
2018,30668516,103096281,2,09-DEC-18,2,"N",23,5,32,"F",1,2,"R","","",32,0
2018,30670358,103096281,1,09-DEC-18,2,"N",23,5,29,"F",1,2,"R","","",29,0
2018,31251660,105026875,1,09-OCT-18,1,"N",23,5,26,"F",1,2,"","","",26,0
2018,30672126,103114282,1,27-DEC-18,3,"N",45,5,21,"F",1,3,"R","","",21,0
2018,30680552,103114142,1,25-DEC-18,3,"N",51,5,34,"F",1,3,"R","","",34,0
2018,30676768,103105994,1,29-DEC-18,3,"N",16,5,53,"M",1,2,"N","","",53,0
2018,30676770,103106004,1,29-DEC-18,3,"N",51,5,62,"M",1,3,"R","","",62,0
2018,30676772,103106023,1,30-DEC-18,3,"N",48,5,52,"M",1,3,"R","","",52,0
2018,31959104,107303593,1,12-SEP-18,1,"N",49,5,17,"M",1,2,"N","R","",17,0
2018,30669544,103079007,1,11-DEC-18,1,"N",23,5,40,"M",1,2,"","","",40,0
2018,30669561,103079035,1,14-AUG-18,1,"N",51,5,19,"F",1,2,"R","","",19,0
2018,30667809,103079058,1,11-DEC-18,1,"N",23,5,51,"F",1,2,"N","","",51,0
2018,30673841,103079165,1,23-OCT-18,3,"N",51,5,40,"M",1,2,"R","","",40,0
2018,30667835,103079210,1,11-DEC-18,2,"C",2,5,27,"F",2,3,"","","",27,0
2018,30673865,103074633,1,11-DEC-18,2,"C",2,5,26,"M",2,2,"","","",26,0
2018,30667848,103074645,2,19-DEC-18,2,"N",45,5,21,"M",0,1,"","","",21,0
2018,30667847,103074645,1,19-DEC-18,2,"N",40,5,25,"M",1,1,"","","",25,0
2018,30667852,103074665,1,06-DEC-18,2,"N",2,5,30,"M",2,3,"","","",30,0
2018,30673878,103083369,1,03-DEC-18,2,"N",2,5,32,"M",1,3,"","","",32,0
2018,30669648,103083378,1,27-NOV-18,1,"N",48,5,27,"M",1,1,"","","",27,0
2018,30673890,103079327,1,02-DEC-18,2,"N",27,5,45,"M",4,3,"","","",45,0
2018,30673911,103074817,1,18-DEC-18,1,"N",34,5,28,"M",1,3,"","","",28,0
2018,31959105,107303593,2,27-SEP-18,1,"N",49,5,17,"M",1,2,"R","R","",17,0
2018,31959106,107303598,1,10-SEP-18,1,"N",27,5,24,"M",2,2,"R","","",24,0
2018,30667996,103080080,1,26-DEC-18,2,"N",16,5,22,"M",1,2,"N","","",22,0
2018,30674077,103084062,1,30-NOV-18,3,"N",28,5,21,"M",1,1,"R","","",21,0
2018,30674124,103080547,1,05-DEC-18,1,"N",45,5,29,"M",1,2,"","","",29,0
2018,30669861,103080615,1,16-DEC-18,2,"N",51,5,39,"M",1,1,"","","",39,0
2018,30668071,103084398,1,24-DEC-18,1,"N",45,5,56,"M",2,2,"","","",56,0
2018,30674193,103080789,1,30-OCT-18,2,"N",5,5,39,"M",1,2,"N","","",39,0
2018,30674201,103084523,1,26-DEC-18,3,"M",16,5,31,"F",1,,"","","",31,0
2018,30668125,103080979,1,28-OCT-18,1,"N",35,5,42,"M",1,1,"","","",42,0
2018,30674229,103086129,1,19-DEC-18,1,"N",51,5,24,"M",2,3,"","","",24,0
2018,30674242,103086218,1,06-NOV-18,1,"N",51,5,54,"M",1,2,"","","",54,0
2018,30669939,103091218,1,18-DEC-18,1,"N",51,5,35,"M",1,1,"","","",35,0
2018,30674264,103084888,1,10-AUG-18,3,"N",28,5,15,"F",2,2,"N","R","",15,0
2018,30668170,103084909,1,05-NOV-18,2,"N",23,5,25,"F",3,2,"N","","",25,0
2018,30669977,103091340,1,21-NOV-18,2,"N",23,5,18,"M",2,2,"R","","",18,0
2018,30674375,103086966,1,11-NOV-18,2,"N",23,5,41,"F",1,3,"","","",41,0
2018,30674404,103091909,1,10-DEC-18,3,"N",48,5,53,"M",1,2,"N","","",53,0
2018,30674407,103087099,1,24-DEC-18,3,"N",51,5,24,"M",1,2,"R","","",24,0
2018,30670098,103087118,2,31-DEC-18,3,"N",16,5,39,"M",1,2,"R","","",39,0
2018,30670096,103087118,1,31-DEC-18,3,"N",16,5,33,"M",1,2,"N","","",33,0
2018,30674435,103091973,1,22-OCT-18,3,"N",27,5,15,"M",1,2,"R","R","",15,0
2018,30670126,103091992,1,18-NOV-18,3,"N",16,5,25,"M",1,2,"R","","",25,0
2018,30668328,103087312,1,20-SEP-18,3,"N",16,5,17,"F",1,3,"R","R","",17,0
