"DATA_YEAR","PROPERTY_ID","INCIDENT_ID","PROP_LOSS_ID","STOLEN_COUNT","RECOVERED_COUNT"
2018,111524887,107313546,7,,
2018,111524900,107313567,5,,
2018,111524901,107313567,7,,
2018,111524910,107313576,4,,
2018,101223497,95881801,7,,
2018,101223493,95881801,4,,
2018,101223609,95881911,7,,
2018,101223854,95882142,7,,
2018,101223832,95882142,4,,
2018,111524915,107313579,7,,
2018,101224368,95882654,4,,
2018,101224363,95882654,1,,
2018,111524914,107313579,5,,
2018,101224580,95882870,7,,
2018,101224575,95882870,4,,
2018,111524922,107313588,5,,1
2018,101224622,95882912,4,,
2018,101224629,95882912,7,,
2018,111524923,107313588,7,1,
2018,101224711,95882998,4,,
2018,101224929,95883196,7,,
2018,111524938,107313602,7,,
2018,111529915,107309842,7,,
2018,111529931,107309858,4,,
2018,101225302,95883534,7,2,
2018,101225339,95883581,5,,1
2018,101225343,95883581,7,1,
2018,101225569,95883789,7,,
2018,101225662,95883873,7,1,
2018,101225699,95883913,7,,
2018,101225694,95883913,5,,
2018,111529932,107309858,7,,
2018,111524941,107313605,7,,
2018,111524945,107313608,7,,
2018,111524944,107313608,4,,
2018,101225982,95884196,4,,
2018,101226181,95884392,7,,
2018,101226176,95884392,5,,
2018,111524948,107313612,7,,
2018,111524947,107313612,4,,
2018,111523146,107304340,7,1,
2018,111523145,107304340,5,,1
2018,101226343,95884541,7,,
2018,101226356,95884554,7,1,
2018,101226351,95884554,5,,1
2018,101226434,95884626,1,,
2018,111524956,107313620,4,,
2018,101226615,95884788,7,,
2018,101226652,95884829,7,,
2018,111524964,107313627,7,,
2018,111524969,107313632,7,,
2018,101226893,95885058,7,,
2018,111524973,107313638,6,,
2018,111525004,107313664,7,,
2018,101227065,95885214,1,,
2018,101227169,95885319,7,,
2018,101227507,95885630,7,,
2018,111525008,107313667,7,,
2018,101228708,95886751,7,,
2018,101228746,95886784,7,,
2018,101228758,95886798,1,,
2018,101228797,95886833,6,,
2018,101228791,95886833,1,,
2018,101228826,95886863,7,,
2018,101230588,95888522,7,,
2018,101230651,95888573,6,,
2018,101230640,95888573,1,,
2018,101230726,95888642,7,,
2018,101230801,95888710,4,,
2018,111525018,107313681,7,1,
2018,111525017,107313681,5,,1
2018,111525023,107313684,7,,
2018,111525025,107313690,4,,
2018,101231316,95889209,4,,
2018,101231322,95889209,7,,
2018,101231570,95889439,7,1,
2018,101231750,95889617,6,,
2018,101231924,95889797,7,,
2018,101232197,95890091,7,,
2018,101232195,95890091,4,,
2018,101232272,95890172,7,1,
2018,101232263,95890172,5,,1
2018,101232332,95890242,3,,
2018,101232337,95890242,7,,
2018,101232403,95890311,7,,
2018,101232515,95890422,5,,
2018,101232518,95890422,7,,
2018,111525031,107313693,5,,1
2018,101233109,95891045,7,1,
2018,101233203,95891145,7,,
2018,111525033,107313693,7,1,
2018,111525051,107313714,7,,
2018,111525052,107313715,7,,
2018,111523209,107304405,4,,
2018,111525066,107313732,7,,
2018,111525075,107313742,7,,
2018,111525078,107313744,7,,
2018,111525077,107313744,5,,
2018,111525079,107313745,7,,
2018,111525081,107313746,7,1,
2018,111525080,107313746,5,,1
2018,111525091,107313753,7,,
2018,111525090,107313753,4,,
2018,111525094,107313756,7,,
2018,111525096,107313757,7,1,
2018,111525095,107313757,5,,1
2018,111525097,107313759,4,,
2018,111525098,107313759,7,,
2018,111525100,107313761,7,1,
2018,111525099,107313761,5,,1
2018,111523252,107313767,7,,
2018,111523254,107313771,7,,
2018,111525112,107313774,4,,
2018,111530152,107313776,1,,
2018,101236187,95894224,7,,
2018,111525116,107313780,7,1,
2018,111525115,107313780,5,,1
2018,111525153,107313812,7,,
2018,111525156,107313815,7,,
2018,111525160,107313820,5,,1
2018,111525161,107313820,7,1,
2018,111525173,107313834,7,,
2018,101239471,95897563,7,,
2018,111525177,107313837,7,,
2018,101240341,95898471,4,,
2018,111525201,107313862,7,,
2018,103023025,97836994,7,,
2018,103023030,97837000,7,,
2018,103023086,97837057,7,,
2018,103364067,98224673,4,,
2018,103364072,98224673,7,,
2018,103364245,98224856,1,,
2018,103364262,98224870,7,,
2018,103364520,98225143,7,,
2018,103364654,98225283,7,,
2018,103364646,98225283,4,,
2018,103364706,98225320,4,,
2018,103364733,98225349,1,,
2018,103364759,98225376,7,,
2018,103364808,98225423,7,,
2018,103364803,98225423,5,,
2018,103364853,98225473,7,,
2018,103364974,98225595,7,,
2018,103364971,98225595,5,,
2018,103365041,98225662,7,,
2018,103365035,98225662,4,,
2018,103365142,98225767,6,,
2018,103365159,98225788,7,,
2018,103365194,98225829,4,,
2018,103365365,98226034,7,,
2018,103365389,98226056,7,,
2018,103365386,98226056,5,,
2018,103365437,98226101,1,,
2018,103365642,98226351,7,,
2018,103365790,98226518,7,,
2018,103365829,98226554,4,,
2018,103365846,98226574,7,,
2018,103365884,98226622,7,,
2018,103365934,98226669,7,,
2018,103365927,98226669,5,,
2018,103366043,98226795,7,,
2018,103366756,98227573,7,1,
2018,103366754,98227573,5,,1
2018,103366906,98227731,7,,
2018,103366961,98227794,7,,
2018,103367014,98227850,7,1,
2018,103367058,98227893,7,,
2018,103367082,98227934,7,1,
2018,103367137,98227997,5,,1
2018,103367143,98227997,7,1,
2018,103367175,98228029,7,,
2018,103367233,98228086,7,,
2018,103367321,98228181,1,,
2018,103367402,98228267,4,,
2018,103367429,98228296,4,,
2018,103367448,98228316,4,,
2018,103367555,98228434,7,,
2018,103367724,98228622,7,,
2018,103367757,98228660,4,,
2018,103367820,98228726,7,,
2018,103367855,98228781,5,,1
2018,103367860,98228781,7,1,
2018,103367924,98228856,7,,
2018,103367918,98228856,4,,
2018,103368126,98229081,6,,
2018,103368244,98229209,7,1,
2018,103368439,98229430,4,,
2018,103368561,98229581,7,,
2018,103368628,98229649,7,,
2018,103368726,98229759,7,,
2018,103368805,98229836,4,,
2018,103369006,98230067,6,,
2018,103369356,98230482,6,,
2018,103369490,98230627,7,,
2018,103369526,98230672,7,,
2018,103369539,98230686,7,,
2018,103369677,98230828,7,,
2018,103369691,98230842,7,,
2018,103370066,98231251,7,,
2018,103370440,98231631,7,,
2018,103370457,98231645,7,,
2018,103370450,98231645,4,,
2018,103370504,98231696,7,,
2018,103370573,98231763,7,,
2018,103370567,98231763,4,,
2018,103370642,98231829,7,,
2018,103370674,98231865,7,,
2018,103370666,98231865,4,,
2018,103370724,98231912,7,,
2018,103370861,98232029,1,,
2018,103370943,98232108,7,,
2018,103371047,98232222,1,,
2018,103371063,98232239,7,,
2018,103371082,98232261,4,,
2018,103371315,98232497,1,,
2018,103371369,98232537,4,,
2018,103371366,98232537,2,,
2018,103371592,98232753,7,,
2018,103371585,98232753,5,,
2018,103371609,98232770,7,,
2018,103371653,98232812,7,,
2018,103371649,98232812,5,,
2018,103371699,98232866,7,,
2018,103371840,98233023,7,,
2018,103372044,98233230,1,,
2018,104485905,99504873,3,,
2018,104485907,99504873,7,,
2018,104485918,99504883,7,,
2018,104489867,99504897,7,,
2018,104485938,99504897,4,,
2018,104489888,99501243,4,,
2018,104489892,99501243,7,,
2018,104482707,99501278,7,,
2018,104482706,99501278,3,,
2018,104486034,99501299,5,,
2018,104486035,99501299,7,,
2018,104486042,99501306,4,,
2018,104482716,99501306,7,,
2018,104489957,99504992,4,,
2018,104486094,99505005,3,,
2018,104489966,99505005,7,,
2018,104490000,99505047,7,,
2018,104486144,99501399,7,,
2018,104486157,99501410,7,,
2018,104486162,99501415,3,,
