"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2018,9,126382865
2018,9,126432284
2018,9,126432350
2018,9,126374765
2018,2,126437148
2018,9,126432385
2018,9,126379161
2018,6,126379182
2018,6,126432387
2018,6,126432391
2018,7,126379203
2018,9,126374836
2018,9,126374849
2018,9,126374850
2018,6,126432390
2018,9,126379238
2018,6,126374871
2018,9,126374870
2018,9,126379325
2018,8,126374968
2018,9,126374996
2018,5,126375003
2018,2,126375019
2018,9,126379427
2018,9,126379449
2018,9,126382987
2018,9,126382994
2018,9,126437188
2018,9,126379670
2018,9,126375220
2018,9,126383175
2018,3,126379888
2018,1,126379888
2018,9,126375292
2018,6,126383280
2018,6,126383283
2018,6,126383282
2018,9,126375390
2018,9,126380138
2018,9,126432421
2018,9,126428189
2018,9,126380297
2018,6,126432431
2018,9,126432442
2018,9,126432441
2018,9,126380704
2018,6,126383741
2018,9,126375921
2018,9,126432454
2018,9,126375977
2018,9,126381034
2018,9,126375979
2018,9,126376028
2018,9,126386172
2018,9,126432475
2018,9,126437319
2018,9,126437326
2018,9,126391153
2018,9,126391192
2018,9,126391199
2018,9,136675038
2018,9,126386487
2018,6,136675044
2018,9,126432571
2018,9,126386634
2018,9,126386718
2018,6,126437396
2018,9,126409143
2018,9,126418625
2018,9,136670855
2018,9,126409522
2018,9,126422034
2018,9,126409589
2018,9,126419241
2018,9,126409645
2018,9,126409651
2018,9,126422212
2018,6,126419384
2018,9,126409718
2018,8,126419426
2018,9,126422415
2018,9,126419503
2018,9,126409863
2018,9,126422681
2018,9,126409919
2018,9,126409942
2018,6,126422831
2018,9,126419877
2018,9,126422974
2018,9,126423036
2018,9,126419962
2018,9,126410096
2018,9,126410155
2018,6,126423137
2018,9,126423153
2018,6,126410231
2018,9,126410236
2018,6,126423466
2018,9,126410354
2018,7,126420489
2018,6,126420489
2018,8,126420489
2018,9,126420653
2018,9,126420703
2018,9,126423986
2018,9,126424013
2018,9,126410659
2018,9,126424104
2018,6,126424128
2018,6,126420843
2018,6,126420844
2018,1,126410699
2018,6,126410709
2018,6,126424220
2018,6,126410726
2018,3,126410726
2018,9,126424262
2018,9,126421020
2018,1,126421051
2018,6,126421059
2018,9,126426142
2018,9,126424607
2018,9,126424653
2018,9,126424679
2018,9,126424754
2018,9,126426401
2018,6,126426428
2018,9,126424905
2018,9,126426493
2018,9,126426559
2018,9,126425104
2018,9,126431218
2018,9,126431255
2018,9,126431272
2018,9,126425305
2018,9,126425420
2018,9,126426848
2018,6,126431388
2018,9,126425526
2018,9,126431399
2018,9,126427050
2018,9,126425660
2018,9,126425838
2018,9,126425840
2018,9,126431626
2018,6,126427317
2018,6,126425922
2018,9,126425954
2018,9,126427469
2018,6,126427493
2018,4,126427525
2018,6,126427525
2018,6,126436223
2018,9,136681344
2018,9,126431935
2018,9,126432097
2018,10,126432098
2018,2,126427811
2018,9,126432110
2018,9,126432112
2018,9,126436668
2018,9,126432483
2018,9,126432541
2018,6,126428273
2018,6,126432576
2018,8,126437396
2018,9,126378994
2018,9,126432617
2018,9,126428300
2018,9,126428308
2018,9,136686463
2018,9,136686473
2018,6,136678091
2018,9,126432634
2018,9,126428442
2018,9,126432730
2018,9,126437506
2018,9,126428517
2018,9,126432897
2018,9,126428679
2018,9,126432940
2018,9,136678097
2018,9,126437849
2018,9,126428775
2018,9,126437879
2018,9,126429007
2018,9,136682039
2018,6,136682052
2018,9,126429130
2018,6,136678223
2018,6,136678221
2018,9,126438259
2018,6,126429293
2018,9,126438533
2018,1,126429443
2018,1,136682332
2018,9,126438600
2018,9,126429475
2018,9,126433401
2018,9,126438753
2018,9,126429652
2018,9,126438877
2018,9,126438956
2018,9,126439006
2018,9,126429932
2018,9,126433745
2018,9,126439310
2018,2,126433817
2018,9,126433823
2018,9,126439406
2018,9,126436072
2018,9,126436097
2018,9,126451181
2018,9,126447687
2018,9,126442818
2018,6,126447856
2018,9,126451342
2018,6,124350480
2018,9,124349286
2018,9,124349296
2018,6,124355523
2018,6,124349370
2018,9,124355677
2018,3,124349488
2018,6,124349489
2018,6,124355913
2018,9,124355915
2018,6,124351053
2018,6,124351080
2018,6,124351226
2018,9,124349876
2018,9,124356281
2018,9,124351364
2018,9,124356389
2018,7,124351450
2018,9,124351509
2018,6,124351536
2018,9,124351568
2018,9,124351672
2018,9,124350134
2018,9,124350205
2018,9,124351820
2018,6,124356788
2018,9,124356865
2018,6,124351947
2018,6,124357016
2018,3,124352082
2018,9,124357106
2018,6,124357148
2018,3,124357974
2018,9,124352951
2018,9,124358028
2018,9,124361211
2018,9,124361240
2018,6,124358311
2018,9,124353292
2018,6,124353362
2018,6,124353360
2018,9,124353410
2018,9,124361497
2018,9,124353474
2018,9,124358628
2018,9,124353569
2018,9,124353581
2018,9,124353609
2018,9,124358906
2018,6,124358916
2018,6,124359005
2018,9,124359022
2018,9,124359055
2018,6,124353972
2018,6,124359116
2018,8,124362067
2018,9,124362185
2018,9,124359359
2018,6,124354197
2018,9,124362352
2018,6,124359551
2018,6,124354403
2018,6,124359577
2018,9,124354509
2018,9,124354545
2018,9,124354570
2018,9,124359764
2018,9,124362766
2018,6,124359801
2018,6,124359945
2018,8,124354812
2018,9,124354925
2018,9,124354989
2018,6,124360191
2018,6,124360227
2018,9,124360250
2018,9,124363289
2018,9,124360296
2018,9,124365331
2018,6,124365340
2018,1,124355246
2018,6,124365527
2018,9,124370430
2018,3,124370469
2018,6,124370532
2018,9,124365663
2018,6,124363857
2018,9,124365804
2018,9,124365803
2018,9,124365838
2018,9,124363956
2018,9,124364048
2018,9,124364063
2018,2,124364112
2018,9,124370940
