"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2018,8049825,20798,6,2018,"I",01-JUN-06,"Y","F","C","2018_06_WA0310600_NIBRS",46860071,0
2018,8049907,20822,6,2018,"I",01-JUN-06,"Y","F","C","2018_06_WA0330300_NIBRS",47827477,0
2018,8049918,20833,6,2018,"I",01-JUN-06,"Y","F","C","2018_06_WA0341900_NIBRS",48977948,0
2018,8051652,20872,6,2018,"I",01-JUN-06,"Y","F","C","2018_06_WA0390900_NIBRS",21889243,0
2018,8053011,20657,6,2018,"I",,"Y","G","C","2018_06_WA0140800_NIBRS",24305292,0
2018,8053012,20632,5,2018,"I",,"Y","G","C","2018_05_WA0100000_NIBRS",50477039,0
2018,8053013,20593,6,2018,"I",,"Y","G","C","2018_06_WA0010000_NIBRS",31298509,0
2018,7937176,20763,2,2018,"I",01-FEB-02,"Y","F","C","2018_02_WA0270100_NIBRS",47693761,0
2018,7937204,20783,2,2018,"I",01-FEB-02,"Y","F","C","2018_02_WA0290000_NIBRS",46901870,0
2018,7939680,20695,1,2018,"U",01-JAN-01,"Y","F","C","2018_01_WA0173700_NIBRS",26777537,0
2018,8125173,20629,7,2018,"I",01-JUL-07,"Y","F","C","2018_07_WA0090000_NIBRS",46847843,0
2018,8127123,20650,7,2018,"I",01-JUL-07,"Y","F","C","2018_07_WA0140100_NIBRS",47846432,0
2018,8125187,20753,5,2018,"I",01-MAY-05,"Y","F","C","2018_05_WA0250000_NIBRS",46847857,0
2018,8127158,20807,7,2018,"I",01-JUL-07,"Y","F","C","2018_07_WA0311600_NIBRS",46644970,0
2018,8127159,20811,7,2018,"I",01-JUL-07,"Y","F","C","2018_07_WA0320100_NIBRS",50502555,0
2018,8127165,20840,7,2018,"I",01-JUL-07,"Y","F","C","2018_07_WA0370000_NIBRS",47825154,0
2018,7937166,20741,2,2018,"I",01-FEB-02,"Y","F","C","2018_02_WA0240100_NIBRS",18415650,0
2018,7939618,20831,2,2018,"I",01-FEB-02,"Y","F","C","2018_02_WA0340900_NIBRS",47832324,0
2018,7939656,20863,2,2018,"I",01-FEB-02,"Y","F","C","2018_02_WA0390000_NIBRS",49456420,0
2018,8123358,20667,7,2018,"I",01-JUL-07,"Y","F","C","2018_07_WA0170200_NIBRS",50490615,0
2018,8123363,20677,6,2018,"I",01-JUN-06,"Y","F","C","2018_06_WA0171300_NIBRS",50499601,0
2018,8127138,20721,7,2018,"I",01-JUL-07,"Y","F","C","2018_07_WA0210100_NIBRS",47680378,0
2018,8127157,20805,7,2018,"I",01-JUL-07,"Y","F","C","2018_07_WA0311400_NIBRS",46864606,0
2018,8127164,20827,7,2018,"I",01-JUL-07,"Y","F","C","2018_07_WA0340200_NIBRS",49456787,0
2018,7853376,20677,11,2018,"I",01-NOV-11,"Y","F","C","2018_11_WA0171300_NIBRS",50493844,0
2018,7856758,23173,1,2018,"I",01-JAN-01,"Y","F","C","2018_01_WA0291000_NIBRS",17413298,0
2018,7934737,20596,1,2018,"I",01-JAN-01,"Y","F","C","2018_01_WA0020000_NIBRS",46860502,0
2018,7934741,20605,2,2018,"I",01-FEB-02,"Y","F","C","2018_02_WA0040000_NIBRS",49460994,0
2018,7934745,20608,2,2018,"I",01-FEB-02,"Y","F","C","2018_02_WA0050000_NIBRS",50456500,0
2018,7934766,20613,2,2018,"I",01-FEB-02,"Y","F","C","2018_02_WA0060000_NIBRS",47694541,0
2018,7934780,20617,1,2018,"I",01-JAN-01,"Y","F","C","2018_01_WA0060400_NIBRS",50496730,0
2018,7936897,20630,2,2018,"I",01-FEB-02,"Y","F","C","2018_02_WA0090200_NIBRS",27856952,0
2018,7936904,20635,1,2018,"I",01-JAN-01,"Y","F","C","2018_01_WA0110100_NIBRS",24300161,0
2018,7936905,20636,2,2018,"I",01-FEB-02,"Y","F","C","2018_02_WA0110200_NIBRS",50475002,0
2018,7936932,20652,2,2018,"I",01-FEB-02,"Y","F","C","2018_02_WA0140300_NIBRS",20322404,0
2018,7936953,20668,2,2018,"I",01-FEB-02,"Y","F","C","2018_02_WA0170300_NIBRS",47710429,0
2018,7936994,20670,2,2018,"I",01-FEB-02,"Y","F","C","2018_02_WA0170600_NIBRS",47693010,0
2018,7937029,20681,2,2018,"I",01-FEB-02,"Y","F","C","2018_02_WA0171700_NIBRS",46871721,0
2018,7937086,20683,2,2018,"I",01-FEB-02,"Y","F","C","2018_02_WA0172000_NIBRS",46890780,0
2018,7937099,20685,1,2018,"I",01-JAN-01,"Y","F","C","2018_01_WA0172200_NIBRS",35328174,0
2018,7937106,20688,2,2018,"I",01-FEB-02,"Y","F","C","2018_02_WA0172500_NIBRS",18400110,0
2018,7937108,20689,2,2018,"I",01-FEB-02,"Y","F","C","2018_02_WA0172600_NIBRS",20965942,0
2018,7937121,20712,2,2018,"I",01-FEB-02,"Y","F","C","2018_02_WA0190200_NIBRS",31315700,0
2018,7937148,20722,2,2018,"I",01-FEB-02,"Y","F","C","2018_02_WA0210200_NIBRS",47695735,0
2018,7937155,20725,2,2018,"I",01-FEB-02,"Y","F","C","2018_02_WA0210700_NIBRS",18413998,0
2018,7937162,20738,2,2018,"I",01-FEB-02,"Y","F","C","2018_02_WA0230000_NIBRS",46331388,0
2018,7937172,20757,1,2018,"I",01-JAN-01,"Y","F","C","2018_01_WA0250400_NIBRS",50468699,0
2018,7937181,20768,2,2018,"I",01-FEB-02,"Y","F","C","2018_02_WA0270700_NIBRS",24308988,0
2018,7937187,20772,2,2018,"I",01-FEB-02,"Y","F","C","2018_02_WA0271300_NIBRS",50480876,0
2018,7937192,20776,2,2018,"I",01-FEB-02,"Y","F","C","2018_02_WA0271800_NIBRS",39476346,0
2018,7937194,20779,3,2018,"I",01-MAR-03,"Y","F","C","2018_03_WA0272300_NIBRS",48983597,0
2018,7937211,20785,2,2018,"I",01-FEB-02,"Y","F","C","2018_02_WA0290200_NIBRS",50475217,0
2018,7937245,20802,2,2018,"I",01-FEB-02,"Y","F","C","2018_02_WA0311100_NIBRS",46893479,0
2018,7939612,20810,2,2018,"I",01-FEB-02,"Y","F","C","2018_02_WA0320000_NIBRS",46885948,0
2018,7939621,20818,2,2018,"I",01-FEB-02,"Y","F","C","2018_02_WA0321500_NIBRS",47833108,0
2018,7939627,20836,2,2018,"I",01-FEB-02,"Y","F","C","2018_02_WA0360000_NIBRS",49472444,0
2018,7939634,20845,2,2018,"I",01-FEB-02,"Y","F","C","2018_02_WA0370500_NIBRS",30511752,0
