"2020
rank",City,State[c],"2020
census","2010
census",Change,2016 land area,,2016 population density,,Location,CIT program,Start,Source,Other programs,
151,Rancho Cucamonga,California,"174,453","165,269",0.0556,40.0 sq mi,103.6 km2,"4,413/sq mi","1,704/km2",34.12°N 117.56°W,california,2015,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201520160SB29,,
152,Oceanside,California,"174,068","167,086",0.0418,41.3 sq mi,107.0 km2,"4,249/sq mi","1,641/km2",33.22°N 117.30°W,,unclear,,,
153,Lancaster,California,"173,516","156,633",0.1078,94.3 sq mi,244.2 km2,"1,698/sq mi",656/km2,34.69°N 118.17°W,,unclear,,,
154,Garden Grove,California,"171,949","170,883",0.0062,18.0 sq mi,46.6 km2,"9,714/sq mi","3,751/km2",33.77°N 117.96°W,,unclear,,,
155,Pembroke Pines,Florida,"171,178","154,019",0.1114,33.0 sq mi,85.5 km2,"5,109/sq mi","1,973/km2",26.02°N 80.34°W,,unclear,,,
156,Fort Collins,Colorado,"169,810","143,986",0.1794,55.8 sq mi,144.5 km2,"2,943/sq mi","1,136/km2",40.54°N 105.06°W,,2002,,,
157,Palmdale,California,"169,450","152,750",0.1093,106.0 sq mi,274.5 km2,"1,484/sq mi",573/km2,34.59°N 118.10°W,LA County,,,MET,2018
158,Springfield,Missouri,"169,176","159,498",0.0607,82.3 sq mi,213.2 km2,"2,033/sq mi",785/km2,37.19°N 93.29°W,,2011,,,
159,Clarksville,Tennessee,"166,722","132,929",0.2542,98.3 sq mi,254.6 km2,"1,529/sq mi",590/km2,36.56°N 87.34°W,,2020,,,
160,Salinas,California,"163,542","150,441",0.0871,23.6 sq mi,61.1 km2,"6,662/sq mi","2,572/km2",36.69°N 121.63°W,,2010,,,
161,Hayward,California,"162,954","144,186",0.1302,45.5 sq mi,117.8 km2,"3,493/sq mi","1,349/km2",37.62°N 122.10°W,san francisco,,,,
162,Paterson,New Jersey,"159,732","146,199",0.0926,8.4 sq mi,21.8 km2,"17,500/sq mi","6,800/km2",40.91°N 74.16°W,,2007,,,
163,Alexandria[m],Virginia,"159,467","139,966",0.1393,15.0 sq mi,38.8 km2,"10,387/sq mi","4,010/km2",38.82°N 77.08°W,,2007,,,
164,Macon[w],Georgia,"157,346","91,351",0.7224,249.3 sq mi,645.7 km2,612/sq mi,236/km2,32.80°N 83.69°W,,2006,,,
165,Corona,California,"157,136","152,374",0.0313,39.5 sq mi,102.3 km2,"4,222/sq mi","1,630/km2",33.86°N 117.56°W,,unclear,,,
166,Kansas City[x],Kansas,"156,607","145,786",0.0742,124.8 sq mi,323.2 km2,"1,216/sq mi",470/km2,39.12°N 94.74°W,,2010,,,
167,Lakewood,Colorado,"155,984","142,980",0.0909,42.9 sq mi,111.1 km2,"3,599/sq mi","1,390/km2",39.69°N 105.11°W,,2002,,,
168,Springfield,Massachusetts,"155,929","153,060",0.0187,31.9 sq mi,82.6 km2,"4,830/sq mi","1,860/km2",42.11°N 72.54°W,,unclear,,,
169,Sunnyvale,California,"155,805","140,081",0.1122,22.0 sq mi,57.0 km2,"6,944/sq mi","2,681/km2",37.38°N 122.02°W,,unclear,,,
170,Jackson,Mississippi,"153,701","173,514",−11.42%,111.0 sq mi,287.5 km2,"1,524/sq mi",588/km2,32.31°N 90.21°W,,11/2018,https://www.wlbt.com/2018/11/03/jpd-hinds-officers-graduate-cit-law-enforcement-training-program/,,
171,Killeen,Texas,"153,095","127,921",0.1968,53.5 sq mi,138.6 km2,"2,680/sq mi","1,030/km2",31.07°N 97.73°W,,2013,https://kdhnews.com/news/local/tough-calls-mental-health-officers-in-demand-by-local-police-departments/article_684ed350-5dbc-11eb-bb21-cbee48f7d0c1.html,,
172,Hollywood,Florida,"153,067","140,768",0.0874,27.3 sq mi,70.7 km2,"5,568/sq mi","2,150/km2",26.03°N 80.16°W,miami,unclear,,,
173,Murfreesboro,Tennessee,"152,769","108,755",0.4047,55.9 sq mi,144.8 km2,"2,360/sq mi",910/km2,35.85°N 86.41°W,,unclear,,,
174,Pasadena,Texas,"151,950","149,043",0.0195,43.5 sq mi,112.7 km2,"3,525/sq mi","1,361/km2",29.65°N 95.15°W,,unclear,,,
175,Bellevue,Washington,"151,854","122,363",0.241,33.5 sq mi,86.8 km2,"4,221/sq mi","1,630/km2",47.59°N 122.15°W,,unclear,,,
176,Pomona,California,"151,713","149,058",0.0178,23.0 sq mi,59.6 km2,"6,630/sq mi","2,560/km2",34.05°N 117.76°W,,unclear,,,
177,Escondido,California,"151,038","143,911",0.0495,37.1 sq mi,96.1 km2,"4,087/sq mi","1,578/km2",33.13°N 117.07°W,,unclear,,,
178,Joliet,Illinois,"150,362","147,433",0.0199,64.4 sq mi,166.8 km2,"2,302/sq mi",889/km2,41.51°N 88.14°W,,unclear,,,
179,Charleston,South Carolina,"150,227","120,083",0.251,109.0 sq mi,282.3 km2,"1,233/sq mi",476/km2,32.81°N 79.95°W,,2015,https://sheriff.charlestoncounty.org/news/2015/press-release-nami.pdf,,
180,Mesquite,Texas,"150,108","139,824",0.0735,47.2 sq mi,122.2 km2,"3,045/sq mi","1,176/km2",32.76°N 96.58°W,,,,,
181,Naperville,Illinois,"149,540","141,853",0.0542,38.7 sq mi,100.2 km2,"3,802/sq mi","1,468/km2",41.74°N 88.16°W,,,,,
182,Rockford,Illinois,"148,655","152,871",−2.76%,63.5 sq mi,164.5 km2,"2,325/sq mi",898/km2,42.25°N 89.06°W,,,,,
183,Bridgeport,Connecticut,"148,654","144,229",0.0307,16.1 sq mi,41.7 km2,"9,064/sq mi","3,500/km2",41.18°N 73.19°W,,,,,
184,Syracuse,New York,"148,620","145,170",0.0238,25.0 sq mi,64.7 km2,"5,735/sq mi","2,214/km2",43.04°N 76.14°W,,,,,
185,Savannah,Georgia,"147,780","136,286",0.0843,103.6 sq mi,268.3 km2,"1,417/sq mi",547/km2,32.00°N 81.15°W,,,,,
186,Roseville,California,"147,773","118,788",0.244,43.0 sq mi,111.4 km2,"3,085/sq mi","1,191/km2",38.76°N 121.31°W,,,,,
187,Torrance,California,"147,067","145,438",0.0112,20.5 sq mi,53.1 km2,"7,180/sq mi","2,770/km2",33.83°N 118.34°W,,,,,
188,Fullerton,California,"143,617","135,161",0.0626,22.4 sq mi,58.0 km2,"6,282/sq mi","2,425/km2",33.88°N 117.92°W,,,,,
189,Surprise,Arizona,"143,148","117,517",0.2181,107.9 sq mi,279.5 km2,"1,230/sq mi",470/km2,33.67°N 112.45°W,,,,,
190,McAllen,Texas,"142,210","129,877",0.095,58.4 sq mi,151.3 km2,"2,435/sq mi",940/km2,26.23°N 98.24°W,,,,,
191,Thornton,Colorado,"141,867","118,772",0.1944,35.7 sq mi,92.5 km2,"3,829/sq mi","1,478/km2",39.91°N 104.94°W,,,,,
192,Visalia,California,"141,384","124,442",0.1361,37.5 sq mi,97.1 km2,"3,495/sq mi","1,349/km2",36.32°N 119.32°W,,,,,
193,Olathe,Kansas,"141,290","125,872",0.1225,60.9 sq mi,157.7 km2,"2,225/sq mi",859/km2,38.88°N 94.81°W,,,,,
194,Gainesville,Florida,"141,085","124,354",0.1345,62.3 sq mi,161.4 km2,"2,112/sq mi",815/km2,29.67°N 82.34°W,,,,,
195,West Valley City,Utah,"140,230","129,480",0.083,35.5 sq mi,91.9 km2,"3,847/sq mi","1,485/km2",40.68°N 112.01°W,,,,,
196,Orange,California,"139,911","136,416",0.0256,25.4 sq mi,65.8 km2,"5,532/sq mi","2,136/km2",33.78°N 117.86°W,,,,,
197,Denton,Texas,"139,869","113,383",0.2336,93.4 sq mi,241.9 km2,"1,433/sq mi",553/km2,33.21°N 97.14°W,,,,,
198,Warren,Michigan,"139,387","134,056",0.0398,34.4 sq mi,89.1 km2,"3,928/sq mi","1,517/km2",42.49°N 83.02°W,,,,,
199,Pasadena,California,"138,699","137,122",0.0115,23.0 sq mi,59.6 km2,"6,176/sq mi","2,385/km2",34.16°N 118.13°W,Too Early,2000s,,,
200,Waco,Texas,"138,486","124,805",0.1096,89.0 sq mi,230.5 km2,"1,510/sq mi",580/km2,31.56°N 97.18°W,,,,,
201,Cedar Rapids,Iowa,"137,710","126,326",0.0901,70.8 sq mi,183.4 km2,"1,852/sq mi",715/km2,41.96°N 91.67°W,TRUE,2018,https://www.thegazette.com/crime-courts/cedar-rapids-police-expand-program-for-responding-to-mental-health-calls/,,
202,Dayton,Ohio,"137,644","141,527",−2.74%,55.7 sq mi,144.3 km2,"2,522/sq mi",974/km2,39.77°N 84.19°W,,,,,
203,Elizabeth,New Jersey,"137,298","124,969",0.0987,12.3 sq mi,31.9 km2,"10,459/sq mi","4,038/km2",40.66°N 74.19°W,Too Early,2011,,,
204,Hampton[m],Virginia,"137,148","137,436",−0.21%,51.5 sq mi,133.4 km2,"2,629/sq mi","1,015/km2",37.04°N 76.29°W,,,,,
205,Columbia,South Carolina,"136,632","129,272",0.0569,133.5 sq mi,345.8 km2,"1,006/sq mi",388/km2,34.02°N 80.89°W,TRUE,2017,https://www.scstatehouse.gov/sess122_2017-2018/prever/173_20170309.htm,,
206,Kent,Washington,"136,588","92,411",0.478,33.7 sq mi,87.3 km2,"3,784/sq mi","1,461/km2",47.38°N 122.21°W,,,,,
207,Stamford,Connecticut,"135,470","122,643",0.1046,37.6 sq mi,97.4 km2,"3,434/sq mi","1,326/km2",41.07°N 73.54°W,Too Early,2011,,,
208,Lakewood,New Jersey,"135,158","92,843",0.4558,24.6 sq mi,63.7 km2,"3,778/sq mi","1,459/km2",40.08°N 74.21°W,,,,,
209,Victorville,California,"134,810","115,903",0.1631,73.3 sq mi,189.8 km2,"1,668/sq mi",644/km2,34.52°N 117.35°W,,,,,
210,Miramar,Florida,"134,721","122,041",0.1039,29.4 sq mi,76.1 km2,"4,709/sq mi","1,818/km2",25.97°N 80.33°W,,,,,
211,Coral Springs,Florida,"134,394","121,096",0.1098,23.8 sq mi,61.6 km2,"5,465/sq mi","2,110/km2",26.27°N 80.25°W,,,,,
212,Sterling Heights,Michigan,"134,346","129,699",0.0358,36.5 sq mi,94.5 km2,"3,628/sq mi","1,401/km2",42.58°N 83.03°W,,,,,
213,New Haven,Connecticut,"134,023","129,779",0.0327,18.7 sq mi,48.4 km2,"6,948/sq mi","2,683/km2",41.31°N 72.92°W,Too Early,2003,,,
214,Carrollton,Texas,"133,434","119,097",0.1204,36.3 sq mi,94.0 km2,"3,674/sq mi","1,419/km2",32.98°N 96.89°W,,,,,
215,Midland,Texas,"132,524","111,147",0.1923,74.4 sq mi,192.7 km2,"1,809/sq mi",698/km2,32.02°N 102.11°W,Too Early,1990,,,
216,Norman,Oklahoma,"128,026","110,925",0.1542,178.8 sq mi,463.1 km2,683/sq mi,264/km2,35.24°N 97.34°W,Too Early,2002,,,
217,Santa Clara,California,"127,647","116,468",0.096,18.4 sq mi,47.7 km2,"6,845/sq mi","2,643/km2",37.36°N 121.96°W,,,,,
218,Athens[y],Georgia,"127,315","115,452",0.1028,116.4 sq mi,301.5 km2,"1,060/sq mi",410/km2,33.94°N 83.37°W,Too Early,2000,,,
219,Thousand Oaks,California,"126,966","126,683",0.0022,55.2 sq mi,143.0 km2,"2,335/sq mi",902/km2,34.19°N 118.87°W,,,,,
220,Topeka,Kansas,"126,587","127,473",−0.70%,61.5 sq mi,159.3 km2,"2,062/sq mi",796/km2,39.03°N 95.69°W,Too Early,2007,,,
221,Simi Valley,California,"126,356","124,237",0.0171,41.5 sq mi,107.5 km2,"3,044/sq mi","1,175/km2",34.26°N 118.74°W,Too Early,,,,
222,Columbia,Missouri,"126,254","108,500",0.1636,65.0 sq mi,168.3 km2,"1,856/sq mi",717/km2,38.95°N 92.32°W,Too Early,2009,,,
223,Vallejo,California,"126,090","115,942",0.0875,30.7 sq mi,79.5 km2,"3,951/sq mi","1,525/km2",38.10°N 122.26°W,,,,,
224,Fargo,North Dakota,"125,990","105,549",0.1937,49.3 sq mi,127.7 km2,"2,450/sq mi",950/km2,46.86°N 96.82°W,,,,,
225,Allentown,Pennsylvania,"125,845","118,032",0.0662,17.5 sq mi,45.3 km2,"6,882/sq mi","2,657/km2",40.59°N 75.47°W,TRUE,2014,https://www.lvpnews.com/20190816/martin-praises-crisis-intervention-team-training/,,
226,Pearland,Texas,"125,828","91,252",0.3789,46.3 sq mi,119.9 km2,"2,453/sq mi",947/km2,29.55°N 95.32°W,,,,,
227,Concord,California,"125,410","122,067",0.0274,30.5 sq mi,79.0 km2,"4,221/sq mi","1,630/km2",37.97°N 122.00°W,,,,,
228,Abilene,Texas,"125,182","117,063",0.0694,106.7 sq mi,276.4 km2,"1,146/sq mi",442/km2,32.45°N 99.73°W,,,,,
229,Arvada,Colorado,"124,402","106,433",0.1688,38.6 sq mi,100.0 km2,"3,043/sq mi","1,175/km2",39.83°N 105.15°W,,,,,
230,Berkeley,California,"124,321","112,580",0.1043,10.5 sq mi,27.2 km2,"11,547/sq mi","4,458/km2",37.86°N 122.29°W,,,,,
231,Ann Arbor,Michigan,"123,851","113,934",0.087,28.1 sq mi,72.8 km2,"4,298/sq mi","1,659/km2",42.27°N 83.73°W,,,,,
232,Independence,Missouri,"123,011","116,830",0.0529,77.8 sq mi,201.5 km2,"1,504/sq mi",581/km2,39.08°N 94.35°W,,,,,
233,Rochester,Minnesota,"121,395","106,769",0.137,54.6 sq mi,141.4 km2,"2,088/sq mi",806/km2,44.01°N 92.47°W,,,,,
234,Lafayette[z],Louisiana,"121,374","120,623",0.0062,53.8 sq mi,139.3 km2,"2,372/sq mi",916/km2,30.20°N 92.02°W,,,,,
235,Hartford,Connecticut,"121,054","124,775",−2.98%,17.4 sq mi,45.1 km2,"7,083/sq mi","2,735/km2",41.76°N 72.68°W,,,,,
236,College Station,Texas,"120,511","93,857",0.284,51.0 sq mi,132.1 km2,"2,199/sq mi",849/km2,30.58°N 96.29°W,,,,,
237,Clovis,California,"120,124","95,631",0.2561,24.2 sq mi,62.7 km2,"4,404/sq mi","1,700/km2",36.82°N 119.68°W,,,,,
238,Fairfield,California,"119,881","105,321",0.1382,40.9 sq mi,105.9 km2,"2,806/sq mi","1,083/km2",38.25°N 122.03°W,,,,,
239,Palm Bay,Florida,"119,760","103,190",0.1606,65.7 sq mi,170.2 km2,"1,676/sq mi",647/km2,27.98°N 80.66°W,,,,,
240,Richardson,Texas,"119,469","99,223",0.204,28.6 sq mi,74.1 km2,"3,963/sq mi","1,530/km2",32.97°N 96.70°W,,,,,
241,Round Rock,Texas,"119,468","99,887",0.196,35.6 sq mi,92.2 km2,"3,396/sq mi","1,311/km2",30.52°N 97.66°W,,,,,
242,Cambridge,Massachusetts,"118,403","105,162",0.1259,6.4 sq mi,16.6 km2,"17,289/sq mi","6,675/km2",42.37°N 71.11°W,,,,,
243,Meridian,Idaho,"117,635","75,092",0.5665,29.8 sq mi,77.2 km2,"3,584/sq mi","1,384/km2",43.61°N 116.39°W,,,,,
244,West Palm Beach,Florida,"117,415","99,919",0.1751,55.1 sq mi,142.7 km2,"1,963/sq mi",758/km2,26.74°N 80.12°W,,,,,
245,Evansville,Indiana,"117,298","117,429",−0.11%,47.3 sq mi,122.5 km2,"2,526/sq mi",975/km2,37.98°N 87.53°W,,,,,
246,Clearwater,Florida,"117,292","107,685",0.0892,25.9 sq mi,67.1 km2,"4,415/sq mi","1,705/km2",27.97°N 82.76°W,,,,,
247,Billings,Montana,"117,116","104,170",0.1243,43.7 sq mi,113.2 km2,"2,525/sq mi",975/km2,45.78°N 108.54°W,,,,,
248,West Jordan,Utah,"116,961","103,712",0.1277,32.3 sq mi,83.7 km2,"3,520/sq mi","1,360/km2",40.60°N 112.00°W,,,,,
249,Richmond,California,"116,448","103,701",0.1229,30.1 sq mi,78.0 km2,"3,648/sq mi","1,409/km2",37.95°N 122.36°W,,,,,
250,Westminster,Colorado,"116,317","106,114",0.0962,31.7 sq mi,82.1 km2,"3,592/sq mi","1,387/km2",39.88°N 105.06°W,,,,,
251,Manchester,New Hampshire,"115,644","109,565",0.0555,33.1 sq mi,85.7 km2,"3,339/sq mi","1,289/km2",42.98°N 71.44°W,,,,,
252,Lowell,Massachusetts,"115,554","106,519",0.0848,13.6 sq mi,35.2 km2,"8,129/sq mi","3,139/km2",42.63°N 71.32°W,,,,,
253,Wilmington,North Carolina,"115,451","106,476",0.0843,51.6 sq mi,133.6 km2,"2,278/sq mi",880/km2,34.20°N 77.88°W,,,,,
254,Antioch,California,"115,291","102,372",0.1262,29.4 sq mi,76.1 km2,"3,772/sq mi","1,456/km2",37.97°N 121.79°W,,,,,
255,Beaumont,Texas,"115,282","118,296",−2.55%,82.1 sq mi,212.6 km2,"1,441/sq mi",556/km2,30.08°N 94.14°W,,,,,
256,Provo,Utah,"115,162","112,488",0.0238,41.7 sq mi,108.0 km2,"2,803/sq mi","1,082/km2",40.24°N 111.64°W,,,,,
257,North Charleston,South Carolina,"114,852","97,471",0.1783,73.7 sq mi,190.9 km2,"1,483/sq mi",573/km2,32.91°N 80.06°W,,,,,
258,Elgin,Illinois,"114,797","108,188",0.0611,37.4 sq mi,96.9 km2,"2,998/sq mi","1,158/km2",42.03°N 88.32°W,,,,,
259,Carlsbad,California,"114,746","105,328",0.0894,37.7 sq mi,97.6 km2,"3,023/sq mi","1,167/km2",33.12°N 117.28°W,,,,,
260,Odessa,Texas,"114,428","99,940",0.145,45.2 sq mi,117.1 km2,"2,608/sq mi","1,007/km2",31.88°N 102.34°W,,,,,
261,Waterbury,Connecticut,"114,403","110,366",0.0366,28.5 sq mi,73.8 km2,"3,799/sq mi","1,467/km2",41.55°N 73.03°W,,,,,
262,Springfield,Illinois,"114,394","116,250",−1.60%,60.1 sq mi,155.7 km2,"1,925/sq mi",743/km2,39.79°N 89.64°W,,,,,
263,League City,Texas,"114,392","83,560",0.369,51.2 sq mi,132.6 km2,"1,992/sq mi",769/km2,29.49°N 95.10°W,,,,,
264,Downey,California,"114,355","111,772",0.0231,12.4 sq mi,32.1 km2,"9,134/sq mi","3,527/km2",33.93°N 118.13°W,,,,,
265,Gresham,Oregon,"114,247","105,594",0.0819,23.3 sq mi,60.3 km2,"4,786/sq mi","1,848/km2",45.50°N 122.44°W,,,,,
266,High Point,North Carolina,"114,059","104,371",0.0928,55.2 sq mi,143.0 km2,"2,015/sq mi",778/km2,35.99°N 79.99°W,,,,,
267,Broken Arrow,Oklahoma,"113,540","98,850",0.1486,61.7 sq mi,159.8 km2,"1,741/sq mi",672/km2,36.03°N 95.78°W,,,,,
268,Peoria,Illinois,"113,150","115,007",−1.61%,48.2 sq mi,124.8 km2,"2,371/sq mi",915/km2,40.75°N 89.61°W,,,,,
269,Lansing,Michigan,"112,644","114,297",−1.45%,39.1 sq mi,101.3 km2,"2,967/sq mi","1,146/km2",42.71°N 84.55°W,,,,,
270,Lakeland,Florida,"112,641","97,422",0.1562,65.9 sq mi,170.7 km2,"1,615/sq mi",624/km2,28.05°N 81.95°W,,,,,
271,Pompano Beach,Florida,"112,046","99,845",0.1222,24.0 sq mi,62.2 km2,"4,558/sq mi","1,760/km2",26.24°N 80.13°W,,,,,
272,Costa Mesa,California,"111,918","109,960",0.0178,15.7 sq mi,40.7 km2,"7,186/sq mi","2,775/km2",33.66°N 117.91°W,,,,,
273,Pueblo,Colorado,"111,876","106,595",0.0495,53.6 sq mi,138.8 km2,"2,058/sq mi",795/km2,38.26°N 104.61°W,,,,,
274,Lewisville,Texas,"111,822","95,290",0.1735,36.7 sq mi,95.1 km2,"2,852/sq mi","1,101/km2",33.04°N 96.98°W,,,,,
275,Miami Gardens,Florida,"111,640","107,167",0.0417,18.2 sq mi,47.1 km2,"6,212/sq mi","2,398/km2",25.94°N 80.24°W,,,,,
276,Las Cruces,New Mexico,"111,385","97,618",0.141,76.9 sq mi,199.2 km2,"1,323/sq mi",511/km2,32.32°N 106.78°W,,,,,
277,Sugar Land,Texas,"111,026","78,817",0.4087,34.0 sq mi,88.1 km2,"3,488/sq mi","1,347/km2",29.59°N 95.61°W,,,,,
278,Murrieta,California,"110,949","103,466",0.0723,33.6 sq mi,87.0 km2,"3,324/sq mi","1,283/km2",33.57°N 117.19°W,,,,,
279,Ventura[aa],California,"110,763","106,433",0.0407,21.8 sq mi,56.5 km2,"5,027/sq mi","1,941/km2",34.26°N 119.25°W,,,,,
280,Everett,Washington,"110,629","103,019",0.0739,33.3 sq mi,86.2 km2,"3,275/sq mi","1,264/km2",47.95°N 122.19°W,,,,,
281,Temecula,California,"110,003","100,097",0.099,37.3 sq mi,96.6 km2,"3,031/sq mi","1,170/km2",33.49°N 117.13°W,,,,,
282,Dearborn,Michigan,"109,976","98,153",0.1205,24.5 sq mi,63.5 km2,"4,489/sq mi","1,733/km2",42.31°N 83.21°W,,,,,
283,Santa Maria,California,"109,707","99,553",0.102,22.8 sq mi,59.1 km2,"4,662/sq mi","1,800/km2",34.93°N 120.44°W,,,,,
284,West Covina,California,"109,501","106,098",0.0321,16.0 sq mi,41.4 km2,"6,740/sq mi","2,600/km2",34.05°N 117.90°W,,,,,
285,El Monte,California,"109,450","113,475",−3.55%,9.6 sq mi,24.9 km2,"12,063/sq mi","4,658/km2",34.07°N 118.02°W,,,,,
286,Greeley,Colorado,"108,795","92,889",0.1712,47.8 sq mi,123.8 km2,"2,176/sq mi",840/km2,40.41°N 104.76°W,,,,,
287,Sparks,Nevada,"108,445","90,264",0.2014,35.9 sq mi,93.0 km2,"2,810/sq mi","1,080/km2",39.55°N 119.73°W,,,,,
288,Centennial,Colorado,"108,418","100,377",0.0801,29.5 sq mi,76.4 km2,"3,727/sq mi","1,439/km2",39.59°N 104.86°W,,,,,
289,Boulder,Colorado,"108,250","97,385",0.1116,24.8 sq mi,64.2 km2,"4,358/sq mi","1,683/km2",40.02°N 105.25°W,,,,,
290,Sandy Springs,Georgia,"108,080","93,853",0.1516,37.7 sq mi,97.6 km2,"2,804/sq mi","1,083/km2",33.93°N 84.36°W,,,,,
291,Inglewood,California,"107,762","109,673",−1.74%,9.1 sq mi,23.6 km2,"12,160/sq mi","4,700/km2",33.95°N 118.34°W,,,,,
292,Edison,New Jersey,"107,588","99,967",0.0762,29.9 sq mi,77.4 km2,"3,339/sq mi","1,289/km2",40.52°N 74.41°W,,,,,
293,South Fulton,Georgia,"107,436",0,NA[ab],84.8 sq mi,219.6 km2,"1,147/sq mi",443/km2,33.59°N 84.67°W,,,,,
294,Green Bay,Wisconsin,"107,395","104,057",0.0321,45.4 sq mi,117.6 km2,"2,316/sq mi",894/km2,44.52°N 87.98°W,,,,,
295,Burbank,California,"107,337","103,340",0.0387,17.4 sq mi,45.1 km2,"6,003/sq mi","2,318/km2",34.19°N 118.32°W,,,,,
296,Renton,Washington,"106,785","90,927",0.1744,23.4 sq mi,60.6 km2,"4,314/sq mi","1,666/km2",47.47°N 122.19°W,,,,,
297,Hillsboro,Oregon,"106,447","91,611",0.1619,25.0 sq mi,64.7 km2,"4,207/sq mi","1,624/km2",45.52°N 122.93°W,,,,,
298,El Cajon,California,"106,215","99,478",0.0677,14.5 sq mi,37.6 km2,"7,156/sq mi","2,763/km2",32.80°N 116.96°W,,,,,
299,Tyler,Texas,"105,995","96,900",0.0939,56.6 sq mi,146.6 km2,"1,852/sq mi",715/km2,32.31°N 95.30°W,,,,,
300,Davie[ac],Florida,"105,691","91,992",0.1489,34.9 sq mi,90.4 km2,"2,919/sq mi","1,127/km2",26.07°N 80.28°W,,,,,
301,San Mateo,California,"105,661","97,207",0.087,12.1 sq mi,31.3 km2,"8,592/sq mi","3,317/km2",37.56°N 122.31°W,,,,,
302,Brockton,Massachusetts,"105,643","93,810",0.1261,21.5 sq mi,55.7 km2,"4,914/sq mi","1,897/km2",42.08°N 71.02°W,,,,,
303,Concord,North Carolina,"105,240","79,066",0.331,63.5 sq mi,164.5 km2,"1,657/sq mi",640/km2,35.40°N 80.60°W,,,,,
304,Jurupa Valley,California,"105,053",0,NA[ad],42.9 sq mi,111.1 km2,"2,414/sq mi",932/km2,34.00°N 117.46°W,,,,,
305,Daly City,California,"104,901","101,123",0.0374,7.6 sq mi,19.7 km2,"14,009/sq mi","5,409/km2",37.70°N 122.46°W,,,,,
306,Allen,Texas,"104,627","84,246",0.2419,27.1 sq mi,70.2 km2,"3,715/sq mi","1,434/km2",33.09°N 96.66°W,,,,,
307,Rio Rancho,New Mexico,"104,046","87,521",0.1888,103.7 sq mi,268.6 km2,"1,003/sq mi",387/km2,35.29°N 106.67°W,,,,,
308,Rialto,California,"104,026","99,171",0.049,22.3 sq mi,57.8 km2,"4,633/sq mi","1,789/km2",34.11°N 117.38°W,,,,,
309,Woodbridge,New Jersey,"103,639","99,585",0.0407,23.21 sq mi,60.1 km2,"4,290/sq mi","1,660/km2",40.56°N 74.28°W,,,,,
310,South Bend,Indiana,"103,453","101,168",0.0226,41.4 sq mi,107.2 km2,"2,457/sq mi",949/km2,41.67°N 86.26°W,,,,,
311,Spokane Valley,Washington,"102,976","89,755",0.1473,37.7 sq mi,97.6 km2,"2,681/sq mi","1,035/km2",47.67°N 117.23°W,,,,,
312,Norwalk,California,"102,773","105,549",−2.63%,9.7 sq mi,25.1 km2,"10,946/sq mi","4,226/km2",33.90°N 118.08°W,,,,,
313,Menifee,California,"102,527","77,519",0.3226,46.6 sq mi,120.7 km2,"2,200/sq mi",850/km2,33.69°N 117.19°W,,,,,
314,Vacaville,California,"102,386","92,428",0.1077,29.0 sq mi,75.1 km2,"3,449/sq mi","1,332/km2",38.35°N 121.97°W,,,,,
315,Wichita Falls,Texas,"102,316","104,553",−2.14%,72.2 sq mi,187.0 km2,"1,450/sq mi",560/km2,33.90°N 98.52°W,,,,,
316,Davenport,Iowa,"101,724","99,685",0.0205,62.9 sq mi,162.9 km2,"1,631/sq mi",630/km2,41.55°N 90.60°W,,,,,
317,Quincy,Massachusetts,"101,636","92,271",0.1015,26.9 sq mi,69.7 km2,"3,777/sq mi","1,458/km2",42.25°N 71.00°W,,,,,
318,Chico,California,"101,475","86,187",0.1774,33.3 sq mi,86.2 km2,"3,102/sq mi","1,198/km2",39.74°N 121.83°W,,,,,
319,Lynn,Massachusetts,"101,253","90,329",0.1209,13.5 sq mi,35.0 km2,"7,500/sq mi","2,900/km2",42.47°N 70.95°W,,,,,
320,Lee's Summit,Missouri,"101,108","91,364",0.1067,63.8 sq mi,165.2 km2,"1,557/sq mi",601/km2,38.92°N 94.37°W,,,,,
321,New Bedford,Massachusetts,"101,079","95,072",0.0632,24.1 sq mi,62.4 km2,"4,194/sq mi","1,619/km2",41.64°N 70.93°W,,,,,
322,Federal Way,Washington,"101,030","89,306",0.1313,23.7 sq mi,61.4 km2,"4,263/sq mi","1,646/km2",47.32°N 122.35°W,,,,,
323,Clinton,Michigan,"100,513","96,796",0.0384,28.1 sq mi,72.8 km2,"3,445/sq mi","1,330/km2",42.59°N 82.92°W,,,,,
324,Edinburg,Texas,"100,243","77,100",0.3002,37.6 sq mi,97.4 km2,"2,691/sq mi","1,039/km2",26.30°N 98.16°W,,,,,
325,Nampa,Idaho,"100,200","81,557",0.2286,33.0 sq mi,85.5 km2,"3,025/sq mi","1,168/km2",43.57°N 116.56°W,,,,,
326,Roanoke[m],Virginia,"100,011","97,032",0.0307,42.9 sq mi,111.1 km2,"2,331/sq mi",900/km2,37.27°N 79.93°W,,,,,
