"2020
rank",City,State[c],"2020
census","2010
census",Change,2016 land area,,2016 population density,,Location,CIT program,Start,Source,Other programs,
34,Fresno,California,"542,107","494,665",0.0959,114.4 sq mi,296.3 km2,"4,563/sq mi","1,762/km2",36.78°N 119.79°W,TRUE,2017,https://abc30.com/fresno-police-department-fax-bus/3091495/,,
35,Sacramento,California,"524,943","466,488",0.1253,97.9 sq mi,253.6 km2,"5,059/sq mi","1,953/km2",38.56°N 121.46°W,TRUE,2017,https://account.sacbee.com/paywall/subscriber-only?resume=127625414&intcid=ab_archive,,
36,Kansas City,Missouri,"508,090","459,787",0.1051,315.0 sq mi,815.8 km2,"1,528/sq mi",590/km2,39.12°N 94.55°W,,2010,,,
37,Mesa,Arizona,"504,258","439,041",0.1485,137.9 sq mi,357.2 km2,"3,514/sq mi","1,357/km2",33.40°N 111.71°W,TRUE,2019,https://www.mesaaz.gov/Home/Components/News/News/7621/16?locale=en,,
38,Atlanta,Georgia,"498,715","420,003",0.1874,133.5 sq mi,345.8 km2,"3,539/sq mi","1,366/km2",33.76°N 84.42°W,,2004,,,
39,Omaha,Nebraska,"486,051","408,958",0.1885,133.2 sq mi,345.0 km2,"3,356/sq mi","1,296/km2",41.26°N 96.04°W,,2006,,,
40,Colorado Springs,Colorado,"478,961","416,427",0.1502,195.6 sq mi,506.6 km2,"2,378/sq mi",918/km2,38.86°N 104.76°W,,2004,,,
41,Raleigh,North Carolina,"467,665","403,892",0.1579,145.1 sq mi,375.8 km2,"3,163/sq mi","1,221/km2",35.83°N 78.64°W,,2005,,,
42,Long Beach,California,"466,742","462,257",0.0097,50.3 sq mi,130.3 km2,"9,347/sq mi","3,609/km2",33.80°N 118.15°W,,2021,,,
43,Virginia Beach[m],Virginia,"459,470","437,994",0.049,244.7 sq mi,633.8 km2,"1,850/sq mi",710/km2,36.78°N 76.02°W,,2008,,,
44,Miami,Florida,"442,241","399,457",0.1071,36.0 sq mi,93.2 km2,"12,599/sq mi","4,865/km2",25.77°N 80.20°W,,2010,,,
45,Oakland,California,"440,646","390,724",0.1278,55.9 sq mi,144.8 km2,"7,514/sq mi","2,901/km2",37.76°N 122.22°W,FALSE,,,MACRO,2021
46,Minneapolis,Minnesota,"429,954","382,578",0.1238,54.0 sq mi,139.9 km2,"7,660/sq mi","2,960/km2",44.96°N 93.26°W,,2005,,,
47,Tulsa,Oklahoma,"413,066","391,906",0.054,196.8 sq mi,509.7 km2,"2,048/sq mi",791/km2,36.12°N 95.90°W,,2017,https://www.cityoftulsa.org/government/resilient-tulsa/justice-involved-supports/programs-and-resources/mental-health-services/,,
48,Bakersfield,California,"403,455","347,483",0.1611,148.8 sq mi,385.4 km2,"2,529/sq mi",976/km2,35.32°N 119.01°W,,2012,,,
49,Wichita,Kansas,"397,532","382,368",0.0397,160.4 sq mi,415.4 km2,"2,431/sq mi",939/km2,37.69°N 97.34°W,,UNCLEAR,,,
50,Arlington,Texas,"394,266","365,438",0.0789,95.8 sq mi,248.1 km2,"4,100/sq mi","1,600/km2",32.70°N 97.12°W,,2008,,,
51,Aurora,Colorado,"386,261","325,078",0.1882,153.5 sq mi,397.6 km2,"2,356/sq mi",910/km2,39.68°N 104.68°W,,2002,,,
52,Tampa,Florida,"384,959","335,709",0.1467,113.4 sq mi,293.7 km2,"3,326/sq mi","1,284/km2",27.97°N 82.47°W,,2020,,,
53,New Orleans[n],Louisiana,"383,997","343,829",0.1168,169.4 sq mi,438.7 km2,"2,311/sq mi",892/km2,30.05°N 89.93°W,TRUE,2015,"https://www.wdsu.com/article/nopd-graduates-new-class-of-officers-trained-in-mental-health-issues/3610990#:~:text=NEW%20ORLEANS%20%E2%80%94&text=Semi%2DTransparent-,The%20New%20Orleans%20Police%20Department%20began%20training%20its%20officers%20last,completed%20the%2040%20hour%20course.",,
54,Cleveland,Ohio,"372,624","396,815",−6.10%,77.7 sq mi,201.2 km2,"4,965/sq mi","1,917/km2",41.47°N 81.67°W,,,,,
55,Honolulu[b],Hawaii,"350,964","337,256",0.0406,60.5 sq mi,156.7 km2,"5,815/sq mi","2,245/km2",21.32°N 157.84°W,TRUE,2019,https://www.hawaiinewsnow.com/2019/10/10/hpds-new-crisis-intervention-team-is-trained-defuse-volatile-situations/,,
56,Anaheim,California,"346,824","336,265",0.0314,50.0 sq mi,129.5 km2,"7,021/sq mi","2,711/km2",33.85°N 117.76°W,TRUE,2016,http://www.pwdf.org/update-california-enacts-mental-health-training/,,
57,Lexington[o],Kentucky,"322,570","295,803",0.0905,283.6 sq mi,734.5 km2,"1,123/sq mi",434/km2,38.04°N 84.45°W,TRUE,2018,https://wake.nc.networkofcare.org/mh/news-article-detail.aspx?id=118520,,
58,Stockton,California,"320,804","291,707",0.0997,61.7 sq mi,159.8 km2,"4,977/sq mi","1,922/km2",37.97°N 121.31°W,Too Recent,2021,https://www.recordnet.com/in-depth/news/2021/03/22/stockton-ca-police-reform-new-911-system-crisis-intervention/4624585001/,CALL,
59,Corpus Christi,Texas,"317,863","305,215",0.0414,174.6 sq mi,452.2 km2,"1,866/sq mi",720/km2,27.75°N 97.17°W,TRUE,2018,https://www.caller.com/story/news/local/2019/06/06/crisis-intervention-team-taking-new-approach-mental-health/3250164002/,,
60,Henderson,Nevada,"317,610","257,729",0.2323,104.7 sq mi,271.2 km2,"2,798/sq mi","1,080/km2",36.00°N 115.03°W,,,,,
61,Riverside,California,"314,998","303,871",0.0366,81.2 sq mi,210.3 km2,"3,999/sq mi","1,544/km2",33.93°N 117.39°W,,,,,
62,Newark,New Jersey,"311,549","277,140",0.1242,24.1 sq mi,62.4 km2,"11,691/sq mi","4,514/km2",40.72°N 74.17°W,Too Early,2007,,,
63,Saint Paul,Minnesota,"311,527","285,068",0.0928,52.0 sq mi,134.7 km2,"5,815/sq mi","2,245/km2",44.94°N 93.10°W,Too Early,"""Officers have been training for years"" according to article published in 2017",,,3/2018
64,Santa Ana,California,"310,227","324,528",−4.41%,27.1 sq mi,70.2 km2,"12,333/sq mi","4,762/km2",33.73°N 117.88°W,FALSE,,,,
65,Cincinnati,Ohio,"309,317","296,943",0.0417,77.4 sq mi,200.5 km2,"3,860/sq mi","1,490/km2",39.14°N 84.50°W,,2007,,,
66,Irvine,California,"307,670","212,375",0.4487,65.6 sq mi,169.9 km2,"4,057/sq mi","1,566/km2",33.67°N 117.77°W,,2003,,,
67,Orlando,Florida,"307,573","238,300",0.2907,105.2 sq mi,272.5 km2,"2,635/sq mi","1,017/km2",28.41°N 81.27°W,,2005,,,
