OBJECTID,COUNTYNAME,COUNTYFIPS,COUNTYGNIS,NAME_UCASE,POP_1990,POP_2000,ACRES,SQ_MILES,CNTY_SEAT,CO_CLASS,ShapeSTArea,ShapeSTLength
96,Stoddard,207,758556,STODDARD,28895,29705,531263.101476,830.09859606,Bloomfield,3,2149609067.47144,252584.181084099
97,Mississippi,133,758521,MISSISSIPPI,14442,13427,274913.407463,429.55219916,Charleston,3,1124930953.66748,194939.628880155
98,Carter,035,758472,CARTER,5515,5941,325779.365794,509.03025905,Van Buren,3,1318224666.53613,162554.831211861
99,Christian,043,758476,CHRISTIAN,32644,54285,360510.742518,563.29803518,Ozark,1,1459076903.82043,187304.234017767
100,Douglas,067,758488,DOUGLAS,11876,13084,521125.416156,814.25846274,Ava,3,2108396158.15491,203104.405079229
101,Newton,145,758527,NEWTON,44445,52636,400837.12724,626.30801131,Neosho,2,1621859837.62878,164585.439112576
102,Howell,091,758500,HOWELL,31447,37238,593713.560692,927.67743858,West Plains,3,2402812105.19751,204890.41282916
103,Stone,209,758557,STONE,19078,28658,326498.134668,510.15333542,Galena,3,1321550170.27795,165317.681838039
104,Butler,023,758466,BUTLER,38765,40867,447729.775371,699.57777402,Poplar Bluff,3,1812002162.28564,234423.896113687
105,Barry,009,758459,BARRY,27547,34010,505778.259649,790.2785307,Cassville,3,2046482812.15894,183278.603046934
106,New Madrid,143,758526,NEW MADRID,20928,19760,446582.604252,697.78531914,New Madrid,3,1807352273.10547,267440.621925073
107,Oregon,149,758529,OREGON,9470,10344,506394.402546,791.24125398,Alton,3,2050017349.54517,185209.744328935
108,Ripley,181,758545,RIPLEY,12303,13509,404284.098626,631.6939041,Doniphan,3,1636091470.91284,169621.651243313
109,Taney,213,758559,TANEY,25561,39703,416701.40801,651.09595001,Forsyth,1,1686456500.33984,166449.028272116
110,Ozark,153,758531,OZARK,8598,9542,483030.353872,754.73492793,Gainesville,3,1954798248.28967,183620.658687386
111,McDonald,119,758518,MCDONALD,16938,21681,345102.871821,539.22323722,Pineville,3,1396928787.23071,155042.255480004
112,Dunklin,069,758489,DUNKLIN,33112,33155,350410.474198,547.51636593,Kennett,3,1418414743.93848,274321.961663591
113,Pemiscot,155,758532,PEMISCOT,21921,20047,326247.923468,509.76238042,Caruthersville,3,1320522409.95386,189371.277913121
114,Marion,127,758517,MARION,27682,28289,284331.719607,444.26831189,Palmyra,3,1150631565.81396,152114.138425803
115,Monroe,137,758523,MONROE,9104,9311,428556.385958,669.61935306,Paris,3,1734336777.72363,172133.702469064
